November 2026 Moms	नवंबर 2026 की माँएँ
Mothers due in November 2026, going through it together - week by week.	वे माँएँ जिनकी डिलीवरी नवंबर 2026 में है — हफ़्ते-दर-हफ़्ते, यह सफ़र साथ में।
Second Trimester	दूसरी तिमाही
The golden trimester - energy returns, the bump grows, the kicks begin.	सुनहरी तिमाही — ताक़त लौटती है, पेट बढ़ता है, और हलचल शुरू हो जाती है।
Delhi Moms	Delhi की माँएँ
Local mothers in Delhi - hospitals, doctors, services and meetups.	Delhi की माँएँ — अस्पताल, डॉक्टर, सेवाएँ और मिलना-जुलना।
First Time Moms	पहली बार माँ बनने वाली
Everything is new - ask anything, no question is too small here.	सब कुछ नया है — कुछ भी पूछिए, यहाँ कोई सवाल छोटा नहीं होता।
Pregnancy Nutrition	गर्भावस्था में खानपान
What to eat, what to skip, and real meal ideas for every trimester.	क्या खाएँ, किससे बचें, और हर तिमाही के लिए असली खाने के आइडिया।
Working Moms	नौकरी करने वाली माँएँ
Balancing pregnancy and work - leave, comfort and the road back.	गर्भावस्था और काम, दोनों साथ — छुट्टी, आराम और वापसी की राह।
Pregnancy Fitness	गर्भावस्था में fitness
Gentle, safe movement - prenatal yoga, walking and staying strong.	हल्की, सुरक्षित हलचल — prenatal योग, टहलना और मज़बूत बने रहना।
Breastfeeding Prep	स्तनपान की तैयारी
Get ready before baby arrives - latch, supply and the first week.	शिशु के आने से पहले तैयारी — latch, दूध की supply और पहला हफ़्ता।
Twin Pregnancy	जुड़वाँ गर्भावस्था
Two at once - extra scans, extra love, and parents who get it.	एक साथ दो — ज़्यादा scan, ज़्यादा प्यार, और वे माता-पिता जो यह समझते हैं।
High Risk Pregnancy	High Risk गर्भावस्था
Extra care, extra support - a gentle space to share and lean on others.	ज़्यादा देखभाल, ज़्यादा सहारा — कहने और टिक जाने की एक नरम जगह।
IVF Pregnancy	IVF गर्भावस्था
The long road that led here - a community that understands the journey.	वह लंबा रास्ता जो यहाँ तक लाया — एक ऐसा group जो यह सफ़र समझता है।
Brain Development	दिमाग़ का विकास
Nurturing your baby mind before birth and in the early years.	जन्म से पहले और शुरुआती सालों में शिशु के दिमाग़ को सँवारना।
Pregnancy Symptoms	गर्भावस्था के लक्षण
Labor	लेबर
Nutrition	पोषण
Breastfeeding	स्तनपान
Sleep	नींद
Vaccination	टीकाकरण
Anyone else having back pain in Week 24? How are you managing it through the day?	24वें हफ़्ते में किसी और को कमर दर्द हो रहा है? आप दिन भर इसे कैसे संभाल रही हैं?
Felt the first proper kicks today and cried happy tears. Best feeling in the world 💛	आज पहली बार ठीक से हलचल महसूस हुई और खुशी के आँसू निकल आए। दुनिया का सबसे प्यारा एहसास 💛
How many glasses of water are you actually managing in a day?	सच बताइए, दिन भर में कितने गिलास पानी हो पाता है?
Under 6	6 से कम
6 to 8	6 से 8
More than 8	8 से ज़्यादा
Is it normal to feel breathless climbing stairs at week 22? It started this week.	22वें हफ़्ते में सीढ़ियाँ चढ़ते हुए साँस फूलना normal है? इस हफ़्ते से शुरू हुआ है।
Lactation tip: start learning the latch positions now - it makes the first week so much easier.	स्तनपान की एक सलाह: latch की positions अभी से सीखना शुरू कर दीजिए — पहला हफ़्ता बहुत आसान हो जाता है।
Which hospital did you choose in Delhi for delivery? Looking for recommendations 🙏	Delhi में delivery के लिए आपने कौन सा अस्पताल चुना? सुझाव चाहिए 🙏
Packed my hospital bag at week 30 and felt so much calmer. Sharing my full checklist below.	30वें हफ़्ते में hospital bag पैक कर ली और मन कितना हल्का हो गया। पूरी checklist नीचे share कर रही हूँ।
My little prenatal yoga corner. Ten minutes a morning has done wonders for my mood.	मेरा छोटा सा prenatal योग वाला कोना। रोज़ सुबह के दस मिनट ने मेरा मूड ही बदल दिया है।
Question of the week: have you started feeling regular kicks?	इस हफ़्ते का सवाल: क्या आपको अब रोज़ हलचल महसूस होने लगी है?
Yes	हाँ
Sometimes	कभी-कभी
Not yet	अभी नहीं
Halfway there - completed my anomaly scan today and everything looks perfect 💛	आधा सफ़र पूरा — आज anomaly scan हो गया और सब कुछ बिलकुल ठीक है 💛
Craving everything fried lately 😅 has anyone found healthy swaps that actually satisfy?	इन दिनों बस तला-भुना खाने का मन करता है 😅 किसी को कोई ऐसा healthy विकल्प मिला जो सच में मन भर दे?
Told my manager today. Nervous but relieved. Any tips for the third trimester at work?	आज manager को बता दिया। घबराहट भी थी, और मन हल्का भी हुआ। तीसरी तिमाही में काम पर जाने के लिए कोई सलाह?
On bed rest this week. It is hard, but reading your stories keeps me going. Thank you all 💗	इस हफ़्ते bed rest पर हूँ। मुश्किल है, पर आप सबकी बातें पढ़कर हिम्मत बनी रहती है। आप सबका शुक्रिया 💗
Welcome to your November 2026 Moms community. Introduce yourself below 👇	नवंबर 2026 की माँएँ — आपके group में स्वागत है। नीचे अपना परिचय दीजिए 👇
My birth story 💕 After a long labour we did skin-to-skin right away and started feeding within the first hour. To every first-time mom reading this - trust your body, it truly knows the way.	मेरी birth story 💕 लंबे लेबर के बाद हमने तुरंत skin-to-skin किया और पहले घंटे में ही दूध पिलाना शुरू कर दिया। पहली बार माँ बन रही हर महिला से — अपने शरीर पर भरोसा रखिए, उसे रास्ता सच में पता है।
Reminder to every mama scrolling tonight: you are doing so much better than you think. Rest when you can 💛	आज रात scroll कर रही हर माँ के लिए: आप जितना सोचती हैं, उससे कहीं बेहतर कर रही हैं। जब मौका मिले, आराम कर लीजिए 💛
Quick iron tip: pair your dal, spinach or beans with something rich in vitamin C (lemon, tomato, orange) and keep tea/coffee away from meals - you absorb a lot more iron that way.	Iron की एक छोटी सलाह: दाल, पालक या बीन्स के साथ vitamin C वाली कोई चीज़ लीजिए (नींबू, टमाटर, संतरा) और खाने के आसपास चाय/कॉफ़ी से बचिए — Iron कहीं ज़्यादा अच्छे से लगता है।
How is everyone managing the third-trimester sleep struggle? Pillows everywhere and I still wake up at 3am 😅	तीसरी तिमाही की नींद का हाल सब कैसे संभाल रही हैं? चारों तरफ़ तकिए लगा लिए, फिर भी रात 3 बजे नींद खुल जाती है 😅
Lactation	स्तनपान सलाह
Pediatrics	बच्चों की चिकित्सा
Obstetrics	प्रसूति
Gynaecology	स्त्री रोग
Fetal Medicine	Fetal Medicine
Neonatology	नवजात चिकित्सा
Prenatal Nutrition	गर्भावस्था में पोषण
High-risk Pregnancy	High-risk गर्भावस्था
Prenatal Fitness	गर्भावस्था में fitness
Perinatal Mental Health	गर्भावस्था और उसके बाद का मन
Child Health	शिशु की सेहत
Maternal Medicine	माँ की चिकित्सा
Yes! Week 25 here. A warm compress and a pregnancy pillow helped me a lot.	हाँ! मैं 25वें हफ़्ते में हूँ। गरम सिंकाई और pregnancy pillow से मुझे बहुत आराम मिला।
Prenatal yoga changed everything for my back. Gentle cat-cow stretches every morning.	Prenatal योग से मेरी कमर का हाल ही बदल गया। रोज़ सुबह हल्के cat-cow stretches।
Thank you both, trying the pillow tonight 🙏	आप दोनों का शुक्रिया, आज रात pillow आज़माती हूँ 🙏
Congratulations! Such a magical moment 💛	बधाई हो! कितना जादुई पल है 💛
Wait till you feel the hiccups, even cuter!	हिचकियाँ महसूस होने का इंतज़ार कीजिए, वो तो और भी प्यारी लगती हैं!
Could you share the checklist please? Due in November too!	checklist share कर देंगी क्या? मेरी भी डिलीवरी नवंबर में है!
Just posted it inside First Time Moms 😊	अभी "पहली बार माँ बनने वाली" group में post कर दी है 😊
So happy for you! Halfway feels unreal.	आपके लिए बहुत खुशी हो रही है! आधा सफ़र पूरा — यक़ीन ही नहीं होता।
Congrats! Mine is next week, fingers crossed 🤞	बधाई! मेरा अगले हफ़्ते है, दुआ कीजिए 🤞
You are not alone	आप अकेली नहीं हैं
127 mothers are also due in November 2026.	नवंबर 2026 में 127 और माँओं की भी डिलीवरी है।
Question of the week	इस हफ़्ते का सवाल
Have you started feeling regular kicks?	क्या आपको अब रोज़ हलचल महसूस होने लगी है?
Trending discussion	चर्चा में
Anyone else having back pain in Week 24?	24वें हफ़्ते में किसी और को कमर दर्द हो रहा है?
Cohort benchmark	आपके group का हाल
68% of mothers in your cohort have completed their anomaly scan.	आपके group की 68% माँओं का anomaly scan हो चुका है।
Expert session	विशेषज्ञ के साथ session
Live tomorrow: Nutrition During the Third Trimester.	कल live: तीसरी तिमाही में खानपान।
Trying Naturally	क़ुदरती तरीक़े से कोशिश
The largest room, and the quietest. Months one to many - no advice unless it is asked for.	सबसे बड़ा कमरा, और सबसे शांत भी। पहला महीना हो या कई — जब तक कोई माँगे नहीं, कोई सलाह नहीं।
First Month	पहला महीना
Just started. Everything is new, and nobody here will tell you to relax.	अभी-अभी शुरुआत हुई है। सब कुछ नया है, और यहाँ कोई आपसे "बस relax कर लो" नहीं कहेगा।
Cycles, weight, medication and what actually helps - from people living it.	मासिक चक्र, वज़न, दवाइयाँ और सच में क्या काम आता है — उन्हीं से जो यह रोज़ जी रहे हैं।
Pain, diagnosis, and the long road to being believed.	दर्द, diagnosis, और उस लंबे रास्ते की बात जहाँ जाकर कोई यक़ीन करता है।
Male Fertility	पुरुष fertility
Half the picture, and rarely talked about. Semen analyses, lifestyle, and what changed.	आधी तस्वीर, जिस पर बात कम ही होती है। Semen analysis, रोज़मर्रा की आदतें, और क्या बदला।
Preparing, cycles, transfers, waiting - and the costs nobody quotes upfront.	तैयारी, cycles, transfer, इंतज़ार — और वे खर्चे जो कोई पहले नहीं बताता।
A gentler first step. What to expect, and what it actually felt like.	एक नरम पहला क़दम। क्या उम्मीद रखें, और सच में कैसा लगा।
Loss & Recovery	खोना, और उससे उबरना
Held gently. No timelines, no silver linings, no advice unless it is asked for.	यहाँ सब कुछ नरमी से थामा जाता है। कोई समय-सीमा नहीं, कोई "अच्छा ही हुआ" नहीं, और जब तक कोई माँगे नहीं, कोई सलाह नहीं।
Emotional Support	मन का सहारा
For the days that are simply hard, and the family gatherings that make them harder.	उन दिनों के लिए जो बस भारी होते हैं, और उन पारिवारिक समारोहों के लिए जो उन्हें और भारी कर देते हैं।
Indian kitchens, real food, no diet culture and no miracle powders.	भारतीय रसोई, असली खाना — न diet का दिखावा, न चमत्कारी powder।
Partner Lounge	साथी का कोना
For partners, in their own words. Not a support group for supporting her.	साथियों के लिए, उनके अपने शब्दों में। यह "उसका साथ कैसे दें" वाला group नहीं है।
Ask the Doctor	डॉक्टर से पूछिए
Verified specialists answer, publicly, so the answer helps more than one person.	जाँचे-परखे विशेषज्ञ खुलकर जवाब देते हैं, ताकि एक जवाब कई लोगों के काम आए।
Cycles	मासिक चक्र
Emotional	मन
Male fertility	पुरुष fertility
Loss	खोना
Partner	साथी
Medical	चिकित्सा
Fertility	Fertility
Fertility Counselling	Fertility से जुड़ी counselling
Month nine. What finally helped was deciding, together, that we would talk about it on Sunday walks and not the rest of the week. It did not make it easier to wait. It did make the house feel like a home again.	नौवाँ महीना। आख़िर में जो काम आया वह था साथ मिलकर यह तय करना कि हम इस बारे में सिर्फ़ रविवार की सैर पर बात करेंगे, बाक़ी पूरे हफ़्ते नहीं। इंतज़ार आसान नहीं हुआ। पर घर फिर से घर जैसा ज़रूर लगने लगा।
