babySnapshot.milestone	आधा सफ़र पूरा
babySnapshot.weekHeadline	आपकी गर्भावस्था का आधा सफ़र पूरा। यह गर्भावस्था के सबसे अहम हफ़्तों में से एक है — anatomy scan का हफ़्ता।
babySnapshot.size.fruit	एक केला
babySnapshot.size.length	लगभग 25.7 cm
babySnapshot.size.weight	लगभग 331 g
babySnapshot.reveal	माँ, हमारा आधा सफ़र पूरा हो गया। यह हमारे साथ के सबसे बड़े पड़ावों में से एक है।
babyDevelopment.whatImDoing	अब मैं आवाज़ें सुन सकता हूँ, एमनियोटिक द्रव निगल सकता हूँ और अपने हाथ-पैर सोच-समझकर हिला सकता हूँ। Anomaly scan में डॉक्टर ध्यान से देखेंगे कि मैं कैसे बढ़ रहा हूँ।
babyDevelopment.funFact	अब मैं आवाज़ों और हलचल पर ज़्यादा प्रतिक्रिया देने लगा हूँ, और मेरी रोज़ की सक्रियता बढ़ रही है।
momJourney.physicalChanges	आपकी बच्चेदानी अब लगभग नाभि के बराबर पहुँच गई है। बहुत सी माँओं को अब तेज़ लातें, खिंचाव और कभी-कभी round ligament की तकलीफ़ महसूस होती है।
momJourney.emotionalState	इस हफ़्ते उत्साह और घबराहट अक्सर साथ-साथ आते हैं। Anomaly scan अहम लगता है क्योंकि उसमें शिशु के विकास को बारीक़ी से देखा जाता है।
momJourney.commonSymptoms[0]	शिशु की तेज़ हलचल
momJourney.commonSymptoms[1]	कमर में तकलीफ़
momJourney.commonSymptoms[2]	पेट में खिंचाव
momJourney.commonSymptoms[3]	भूख बढ़ना
momJourney.selfCareTip	अगर इस हफ़्ते आपका anomaly scan है, तो बाक़ी दिन हल्का रखिए। इस अनुभव को समझने और इस पड़ाव को मनाने के लिए ख़ुद को समय दीजिए।
momJourney.reassurance	Anomaly scan से पहले घबराहट होना बिलकुल सामान्य है। ज़्यादातर स्कैन सामान्य होते हैं और यह भरोसा देते हैं कि शिशु ठीक बढ़ रहा है।
nutrition.nutritionTheme	दूसरे आधे सफ़र की ताक़त
nutrition.focusNutrients[0]	प्रोटीन
nutrition.focusNutrients[1]	आयरन
nutrition.whyNow	गर्भावस्था के दूसरे आधे हिस्से में विकास तेज़ हो जाता है और आपका शिशु तेज़ी से मांसपेशियाँ, अंग और ऊतक बना रहा है।
nutrition.foods[0]	पनीर
nutrition.foods[1]	राजमा
nutrition.foods[2]	काला चना
nutrition.foods[3]	पालक
nutrition.foods[4]	दही
nutrition.foods[5]	मूंग दाल
nutrition.indianSuperfoodOfTheWeek.food	काला चना
nutrition.indianSuperfoodOfTheWeek.benefit	प्रोटीन और आयरन दोनों देता है, जो गर्भावस्था के दूसरे आधे हिस्से की तेज़ बढ़त में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	काले चने की सब्ज़ी, उबले चने की चाट, या अंकुरित चना।
nutrition.mealIdea	पालक पनीर के साथ रोटी और एक कटोरी दही।
nutrition.tip	अब से ज़्यादा खाने पर नहीं, बल्कि पोषण से भरपूर खाने पर ध्यान दीजिए।
actionPlan.doThisWeek	आधा सफ़र पूरा होने का जश्न मनाइए, अपना anomaly scan कराइए, और उस याद को सँभालकर रखिए।
actionPlan.skipThisWeek	स्कैन से पहले या बाद में घंटों ऑनलाइन डरावनी कहानियाँ पढ़ना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, लगातार पानी जैसा स्राव, तेज़ सिरदर्द के साथ धुँधला दिखना, या हलचल का नियमित होने के बाद अचानक कम हो जाना — तो अपने डॉक्टर को फ़ोन कीजिए।
actionPlan.mythBuster.myth	Anomaly scan सिर्फ़ गड़बड़ी ढूँढने के लिए होता है।
actionPlan.mythBuster.truth	Anomaly scan हर गर्भावस्था में किया जाने वाला एक सामान्य परीक्षण है, और ज़्यादातर बार यह शिशु के विकास को लेकर भरोसा ही देता है।
garbhSanskar.affirmation	मेरा शिशु ख़ूबसूरती से बढ़ रहा है और मुझे इस सफ़र पर भरोसा है।
garbhSanskar.reflectionPrompt	आज अपने शिशु के बारे में जानी हुई सबसे ख़ूबसूरत बात क्या थी?
garbhSanskar.spokenLine	माँ, मैं आपकी आवाज़ पहचानने लगा हूँ।
reflectAndRemember.reflectionPrompt	आज अपने शिशु के बारे में जानी हुई सबसे ख़ूबसूरत बात क्या थी?
reflectAndRemember.journalPrompt	जब आप अपने शिशु से पहली बार मिलने की कल्पना करती हैं, तो आपके मन में क्या तस्वीर बनती है?
reflectAndRemember.photoPrompt	अपनी स्कैन रिपोर्ट हाथ में लेकर, या बंप पर हाथ रखकर एक तस्वीर लीजिए।
partnerCorner.whatSheMayFeel	उत्साहित, भावुक, थोड़ी घबराई हुई, और यह सुनने को बेताब कि सब ठीक चल रहा है।
partnerCorner.whatYouCanDo	हो सके तो anomaly scan पर साथ जाइए। बोलने से ज़्यादा सुनिए, और इस पड़ाव को मनाने में उसका साथ दीजिए।
partnerCorner.oneMission	उससे पूछिए कि स्क्रीन पर पहली बार शिशु को देखकर उसे कैसा लगा — और बिना किसी दख़ल के सुनिए।
partnerCorner.shareMessage	आधा सफ़र पूरा ❤ हमारा नन्हा अब एक केले जितना है और ख़ूबसूरती से बढ़ रहा है।
