babySnapshot.milestone	तेज़ी से बढ़ता हुआ
babySnapshot.weekHeadline	आपका शिशु और सक्रिय होता जा रहा है, और शरीर के कई ज़रूरी तंत्र अब साथ मिलकर काम करने लगे हैं।
babySnapshot.size.fruit	एक अंजीर
babySnapshot.size.length	लगभग 4.1 cm
babySnapshot.size.weight	लगभग 7 g
babySnapshot.reveal	माँ, मैं अंगड़ाई ले रहा हूँ, लात मार रहा हूँ और हर दिन मज़बूत हो रहा हूँ — भले ही आपको अभी मैं महसूस न होऊँ।
babyDevelopment.whatImDoing	मेरी उँगलियाँ और पैर की उँगलियाँ पूरी तरह अलग हो चुकी हैं, मेरी हड्डियाँ मज़बूत होने लगी हैं, और मैं अपनी नन्ही दुनिया में अंगड़ाई ले सकता हूँ, लात मार सकता हूँ और हिल-डुल सकता हूँ। मेरे चेहरे के नैन-नक्श हर दिन और साफ़ होते जा रहे हैं।
momJourney.physicalChanges	आपकी बच्चेदानी बढ़ती जा रही है, और आपका शरीर बढ़ते शिशु को पोषण देने के लिए और ज़्यादा ख़ून बना रहा है।
momJourney.emotionalState	कुछ हफ़्ते पहले से आप ज़्यादा आश्वस्त महसूस कर सकती हैं, पर बीच-बीच में चिंता और अनिश्चितता होना भी बिलकुल सामान्य है।
momJourney.commonSymptoms[0]	थकान
momJourney.commonSymptoms[1]	पेट फूलना
momJourney.commonSymptoms[2]	कब्ज़
momJourney.commonSymptoms[3]	मूड बदलते रहना
momJourney.selfCareTip	नींद, पानी और हल्की हलचल पर ध्यान दीजिए। छोटी आदतें ही आने वाले महीनों की मज़बूत नींव बनाती हैं।
momJourney.reassurance	हर माँ गर्भावस्था को अलग तरह से जीती है। महसूस करने का कोई एक 'सही' तरीक़ा नहीं होता।
nutrition.nutritionTheme	पाचन को आराम
nutrition.focusNutrients[0]	फ़ाइबर
nutrition.focusNutrients[1]	पर्याप्त पानी
nutrition.whyNow	गर्भावस्था के हॉर्मोन पाचन धीमा कर सकते हैं और कब्ज़ की संभावना बढ़ा सकते हैं।
nutrition.foods[0]	अमरूद
nutrition.foods[1]	ओट्स
nutrition.foods[2]	सब्ज़ियाँ
nutrition.foods[3]	साबुत अनाज
nutrition.foods[4]	पपीता
nutrition.indianSuperfoodOfTheWeek.food	अमरूद
nutrition.indianSuperfoodOfTheWeek.benefit	फ़ाइबर और विटामिन C से भरपूर, जो पाचन और रोग-प्रतिरोधक क्षमता दोनों में मदद करता है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	ताज़ी फाँकें नाश्ते में, या फ्रूट चाट में मिलाकर।
nutrition.mealIdea	सब्ज़ियों वाला ओट्स उपमा और साथ में अमरूद।
nutrition.tip	जब भी फ़ाइबर बढ़ाएँ, पानी भी उतना ही बढ़ा दीजिए।
actionPlan.doThisWeek	नींद को प्राथमिकता दें, सेहतमंद दिनचर्या जारी रखें, और यह मनाइए कि आप यहाँ तक पहुँच चुकी हैं।
actionPlan.skipThisWeek	अपने बंप के आकार, लक्षणों या बढ़ते वज़न की तुलना दूसरों से करना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, लगातार उल्टी, बुख़ार, चक्कर आकर गिरना, या शरीर में पानी की भारी कमी हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	हर गर्भावस्था का बंप एक जैसा दिखना चाहिए।
actionPlan.mythBuster.truth	बंप का आकार हर महिला और हर गर्भावस्था में काफ़ी अलग होता है।
garbhSanskar.affirmation	मैं इस सफ़र के हर छोटे पड़ाव को मनाती हूँ।
garbhSanskar.reflectionPrompt	अब तक गर्भावस्था की किस बात ने आपको सबसे ज़्यादा चौंकाया?
garbhSanskar.spokenLine	माँ, एक दिन मैं आपका हाथ थामूँगा।
reflectAndRemember.reflectionPrompt	अब तक गर्भावस्था की किस बात ने आपको सबसे ज़्यादा चौंकाया?
reflectAndRemember.journalPrompt	गर्भवती होने के बाद से आपके साथ हुई सबसे अनपेक्षित बात रिकॉर्ड कीजिए।
reflectAndRemember.photoPrompt	एक सहज तस्वीर लीजिए जो आपकी गर्भावस्था के इस दौर को दर्शाती हो।
partnerCorner.whatSheMayFeel	पहले से ज़्यादा आश्वस्त, पर बीच-बीच में भरोसे के दो शब्द भी चाहती हुई।
partnerCorner.whatYouCanDo	सिर्फ़ आगे के पड़ावों पर ध्यान देने के बजाय अब तक की तरक़्क़ी को मनाइए।
partnerCorner.oneMission	कोई छोटी सी ख़ुशी, बाहर घूमना या सरप्राइज़ प्लान कीजिए जिससे उसे लगे कि उसकी क़दर है।
partnerCorner.shareMessage	देखिए, हम साथ मिलकर यहाँ तक आ गए हैं ❤
