babySnapshot.milestone	एक नई शुरुआत
babySnapshot.weekHeadline	आपकी गर्भावस्था का सफ़र आधिकारिक रूप से शुरू हो चुका है। आपका शिशु अभी बहुत छोटा है, पर कमाल का विकास अभी से हो रहा है।
babySnapshot.size.fruit	खसखस का एक दाना
babySnapshot.size.length	लगभग 1 mm
babySnapshot.size.weight	1 g से कम
babySnapshot.reveal	माँ, मैं भले ही बहुत छोटा हूँ, पर मेरा सफ़र शुरू हो चुका है।
babyDevelopment.whatImDoing	मेरे दिमाग़, रीढ़ की हड्डी और नर्वस सिस्टम की नींव बनना शुरू हो गई है। मेरी कोशिकाएँ तेज़ी से बढ़ रही हैं और हर दिन एक बड़ा बदलाव लेकर आता है।
momJourney.physicalChanges	आपके शरीर ने गर्भावस्था के हॉर्मोन बड़ी मात्रा में बनाना शुरू कर दिया है, भले ही बाहर से अभी कोई बदलाव न दिखे।
momJourney.emotionalState	खुशी, यक़ीन न होना और थोड़ी घबराहट — ये सब अक्सर एक साथ आते हैं, जब आप इस ज़िंदगी बदल देने वाली ख़बर को समझ रही होती हैं।
momJourney.commonSymptoms[0]	पीरियड का मिस होना
momJourney.commonSymptoms[1]	स्तनों में हल्का दर्द
momJourney.commonSymptoms[2]	हल्की ऐंठन
momJourney.commonSymptoms[3]	थकान
momJourney.selfCareTip	आराम, पानी पीते रहना और अपनी prenatal vitamins नियमित रूप से लेना — इन पर ध्यान दें।
momJourney.reassurance	इस समय बहुत सी महिलाओं को ज़्यादा गर्भवती महसूस नहीं होता। यह बिलकुल सामान्य है।
nutrition.nutritionTheme	दिमाग़ की नींव
nutrition.focusNutrients[0]	Folate
nutrition.focusNutrients[1]	Vitamin B9
nutrition.whyNow	वह neural tube बन रही है जो आगे चलकर आपके शिशु का दिमाग़ और रीढ़ की हड्डी बनेगी।
nutrition.foods[0]	पालक
nutrition.foods[1]	मेथी
nutrition.foods[2]	अंकुरित मूंग
nutrition.foods[3]	काला चना
nutrition.foods[4]	संतरा
nutrition.indianSuperfoodOfTheWeek.food	काला चना
nutrition.indianSuperfoodOfTheWeek.benefit	Folate, आयरन और प्रोटीन से भरपूर, जो शुरुआती विकास में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	रात भर भिगोकर सुबह नाश्ते में या चाट बनाकर खाएँ।
nutrition.mealIdea	पालक दाल, रोटी और संतरे की फाँकें।
nutrition.tip	Folic acid की गोली ठीक वैसे ही लें जैसे डॉक्टर ने बताई है।
actionPlan.doThisWeek	Prenatal vitamins शुरू करें, अपनी पहली डॉक्टर अपॉइंटमेंट बुक करें और लक्षणों को नोट करना शुरू करें।
actionPlan.skipThisWeek	Folic acid छोड़ना, या घंटों ऑनलाइन दूसरों की गर्भावस्था से अपनी तुलना करना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, चक्कर आकर गिरना, या पेट के एक तरफ़ दर्द हो — तो तुरंत अपने डॉक्टर को फ़ोन करें।
actionPlan.mythBuster.myth	आपको अभी से दो लोगों जितना खाना चाहिए।
actionPlan.mythBuster.truth	शुरुआती गर्भावस्था में खाने की मात्रा से कहीं ज़्यादा मायने रखती है उसकी गुणवत्ता।
garbhSanskar.affirmation	मेरा शरीर जानता है कि इस नए जीवन को कैसे सँभालना है।
garbhSanskar.reflectionPrompt	आज माँ बनना आपके लिए क्या मायने रखता है?
garbhSanskar.spokenLine	माँ, मैं आ गया हूँ।
reflectAndRemember.reflectionPrompt	जब आपको पहली बार पता चला कि आप माँ बनने वाली हैं, तब आपको कैसा लगा था?
reflectAndRemember.journalPrompt	जिस दिन आपको अपनी गर्भावस्था का पता चला, उस दिन की कहानी लिखें या रिकॉर्ड करें।
reflectAndRemember.photoPrompt	अपने पॉज़िटिव प्रेगनेंसी टेस्ट, पहली डॉक्टर विज़िट के नोट्स, या किसी ऐसी चीज़ की तस्वीर लें जो इस नई शुरुआत को दर्शाती हो।
partnerCorner.whatSheMayFeel	उत्साहित, थोड़ी घबराई हुई, और अब भी इस सच्चाई को समझने की कोशिश में।
partnerCorner.whatYouCanDo	यह ख़बर उसके साथ मिलकर मनाइए और उसे भरोसा दिलाइए कि आप दोनों इसमें साथ हैं।
partnerCorner.oneMission	उससे पूछिए कि पॉज़िटिव टेस्ट देखकर उसे सबसे ज़्यादा खुशी किस बात की हुई।
partnerCorner.shareMessage	एक नन्हा-सा नया अध्याय शुरू हो गया है ❤
