Hinduism	हिन्दू धर्म
Nurturing the bond, calm and blessing.	जुड़ाव, शांति और आशीर्वाद को सींचते हुए।
Reflections inspired by the Gita	गीता से मिले कुछ विचार
Do your part, gently	अपना हिस्सा, धीरे से निभाइए
One idea many people draw from the Gita is to focus on doing your part with care, and to worry less about the outcome you can't fully control. In pregnancy that can be freeing: you nourish yourself, rest, and show up each day, and you let the rest unfold. It is a quiet kind of trust.	गीता से लोग अक्सर एक बात लेकर चलते हैं — अपना हिस्सा मन लगाकर कीजिए, और जो आपके हाथ में नहीं, उसका बोझ मत उठाइए। गर्भावस्था में यही बात मन हल्का कर देती है। आप खाती हैं, आराम करती हैं, हर दिन उठकर उतना करती हैं जितना कर सकती हैं — और बाक़ी अपने समय पर होता रहता है। यह चुपचाप निभाया जाने वाला भरोसा है।
A steady mind	ठहरा हुआ मन
A calm, steady mind is treasured in this tradition, not as something you force, but as something you return to again and again. When worries rise, you can simply notice them and come back to your breath. Your baby shares in that steadiness.	शांत और ठहरा हुआ मन इस परंपरा में बहुत क़ीमती माना गया है — ऐसा नहीं कि आप उसे ज़बरदस्ती बना लें, बल्कि ऐसा कि आप बार-बार उसी की ओर लौट आएँ। जब चिंता उठे, बस उसे देख लीजिए और अपनी साँस पर लौट आइए। आपका यह ठहराव आपके शिशु तक भी पहुँचता है।
Love without keeping score	बिना हिसाब रखे किया गया प्रेम
Acting out of love, rather than for reward, is a thread that runs through this teaching. The care you are already giving your baby, unseen and unthanked, is exactly this kind of love. It asks for nothing back.	प्रेम से काम करना, किसी बदले की उम्मीद से नहीं — यह बात इस सीख में हर जगह बुनी हुई है। जो देखभाल आप अभी अपने शिशु को दे रही हैं, जिसे कोई देखता नहीं और कोई शुक्रिया भी नहीं कहता, वह ठीक इसी तरह का प्रेम है। वह बदले में कुछ नहीं माँगता।
The calm that is already yours	वह शांति जो पहले से आपकी है
Much of this wisdom points inward: the peace you are looking for is often already within you, under the noise of the day. A few quiet minutes, hand on your bump, can be enough to find it again.	इस समझ का बड़ा हिस्सा भीतर की ओर इशारा करता है — जिस सुकून को आप ढूँढ़ रही हैं, वह अक्सर दिन के शोर के नीचे आपके भीतर ही बैठा होता है। कुछ शांत मिनट, पेट पर रखा हुआ हाथ — उसे दोबारा पा लेने के लिए इतना ही काफ़ी है।
Plant the seed, trust the season	बीज बो दीजिए, मौसम पर भरोसा रखिए
