Stories	कहानियाँ
Fables	नीति-कथाएँ
Mythology	पौराणिक कथाएँ
Story	कहानी
Fable	नीति-कथा
Myth	पौराणिक कथा
The Lighthouse Keeper	दीपस्तंभ का रखवाला
On a rocky shore stood a lighthouse, and in it lived a keeper who lit the lamp every single night. Some nights the sea was calm and no ships passed at all. "Why bother?" a gull once asked him. "No one is even out there." The keeper smiled and lit it anyway. "A light is not for the nights you can see the ships," he said. "It is for the one night a ship needs it - and you never know which night that is." So he kept his light steady, year after year, for travellers he would never meet. And every sailor who found their way home in a storm owed it to a small, faithful flame that simply refused to go out.	चट्टानी किनारे पर एक दीपस्तंभ खड़ा था, और उसमें रहता था एक रखवाला, जो हर रात दीया जलाता था। कुछ रातें समंदर बिलकुल शांत रहता, कोई जहाज़ गुज़रता ही नहीं। एक बार एक समुद्री पंछी ने पूछा, "इतनी मेहनत क्यों? यहाँ तो कोई है ही नहीं।" रखवाला मुस्कुराया और दीया फिर भी जला दिया। "रोशनी उन रातों के लिए नहीं होती जब जहाज़ दिख रहे हों," उसने कहा। "वह उस एक रात के लिए होती है जब किसी जहाज़ को उसकी ज़रूरत पड़ जाए — और वो कौन-सी रात होगी, यह कभी पता नहीं चलता।" तो साल दर साल वह अपनी रोशनी जलाए रखता रहा, उन मुसाफ़िरों के लिए जिनसे वह कभी मिला भी नहीं। और तूफ़ान में जिस भी नाविक को घर का रास्ता मिला, वह उस छोटी-सी, सच्ची लौ का कर्ज़दार था, जिसने बुझना बस मंज़ूर नहीं किया।
I'll be your steady light, little one - lit every night, whether you think you need it or not.	मैं तुम्हारी वो अटल रोशनी रहूँगा, नन्ही जान — हर रात जलती हुई, चाहे तुम्हें उसकी ज़रूरत लगे या न लगे।
The Boy Who Planted a Slow Tree	जिस लड़के ने धीमा पेड़ लगाया
A boy once asked his grandfather for a tree that would grow tall in a single week. The old man only smiled and handed him a small, slow seed instead. "This one takes a hundred years," he said. "Then plant it now," the boy laughed, "so it isn't even later!" So they dug together, and watered it, and the boy visited it every spring of his life. He never saw it reach its full height - but his children climbed it, and their children rested in its shade. The best things, the grandfather had known, are the ones we begin without needing to see them finished.	एक लड़के ने अपने दादा से ऐसा पेड़ माँगा जो एक ही हफ़्ते में ऊँचा हो जाए। बूढ़े दादा बस मुस्कुराए और उसे एक छोटा-सा, धीरे उगने वाला बीज थमा दिया। "इसे सौ साल लगते हैं," उन्होंने कहा। "तो अभी लगा देते हैं," लड़का हँसा, "ताकि और देर न हो!" दोनों ने मिलकर मिट्टी खोदी, पानी दिया, और लड़का ज़िंदगी की हर बहार में उस पेड़ से मिलने आता रहा। उसने उसे पूरी ऊँचाई तक पहुँचते कभी नहीं देखा — पर उसके बच्चे उस पर चढ़े, और उनके बच्चे उसकी छाँव में सुस्ताए। सबसे अच्छी चीज़ें, दादा जानते थे, वही होती हैं जिन्हें हम शुरू कर देते हैं, बिना इस ज़िद के कि उन्हें पूरा होते हुए भी देखें।
I'm planting slow trees for you, little one - things you'll enjoy long after you've forgotten who started them.	मैं तुम्हारे लिए धीमे पेड़ लगा रहा हूँ, नन्ही जान — ऐसी चीज़ें जिनका मज़ा तुम्हें तब भी मिलेगा, जब यह याद भी न रहेगा कि शुरू किसने की थीं।
The First Word	पहला शब्द
