babySnapshot.milestone	नन्ही हरकतें शुरू
babySnapshot.weekHeadline	आपका शिशु हिलने-डुलने, अंगड़ाई लेने और मचलने लगा है, भले ही आपको अभी यह महसूस न हो।
babySnapshot.size.fruit	एक हरा जैतून
babySnapshot.size.length	लगभग 2.3 cm
babySnapshot.size.weight	लगभग 2 g
babySnapshot.reveal	माँ, मैं अपनी नन्ही दुनिया में इधर-उधर हिलने-डुलने लगा हूँ।
babyDevelopment.whatImDoing	मेरे हाथ-पैर लंबे हो रहे हैं, मेरे जोड़ बन रहे हैं, और मैं छोटी-छोटी हरकतें करने लगा हूँ। मेरे दिल में अब चार कक्ष बन चुके हैं और वह हर दिन कड़ी मेहनत कर रहा है।
momJourney.physicalChanges	आपका शरीर बढ़ते शिशु के लिए ज़्यादा ख़ून बना रहा है। हॉर्मोन के बदलाव ऊर्जा और पाचन पर असर डालते रहते हैं।
momJourney.emotionalState	आप गर्भावस्था से और जुड़ाव महसूस कर सकती हैं, और साथ ही यह भी सोच सकती हैं कि आगे क्या होगा।
momJourney.commonSymptoms[0]	मितली
momJourney.commonSymptoms[1]	थकान
momJourney.commonSymptoms[2]	खाने से अरुचि
momJourney.commonSymptoms[3]	मूड बदलते रहना
momJourney.selfCareTip	अपने शरीर की सुनिए। जब आराम की ज़रूरत लगे तब आराम कीजिए, और धीमे पड़ने पर ख़ुद को दोषी मत मानिए।
momJourney.reassurance	बहुत सी माँएँ इसलिए चिंतित होती हैं कि उन्हें शिशु की हलचल महसूस नहीं होती। इस समय हरकतें इतनी नन्ही होती हैं कि पता ही नहीं चलतीं।
nutrition.nutritionTheme	दिमाग़ के विकास में मदद
nutrition.focusNutrients[0]	Choline
nutrition.focusNutrients[1]	प्रोटीन
nutrition.whyNow	आपके शिशु का दिमाग़ तेज़ी से बन रहा है और उसे लगातार पोषण चाहिए।
nutrition.foods[0]	सोयाबीन
nutrition.foods[1]	पनीर
nutrition.foods[2]	दूध
nutrition.foods[3]	मूँगफली
nutrition.foods[4]	मूंग दाल
nutrition.indianSuperfoodOfTheWeek.food	मूँगफली
nutrition.indianSuperfoodOfTheWeek.benefit	प्रोटीन, अच्छी वसा और choline देती है, जो शुरुआती दिमाग़ी विकास में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	भुनी मूँगफली नाश्ते में या चाट में मिलाकर।
nutrition.mealIdea	सोयाबीन पुलाव के साथ दही और सलाद।
nutrition.tip	अपने शिशु के तेज़ी से बनते दिमाग़ के लिए हर खाने में प्रोटीन का एक स्रोत शामिल कीजिए।
actionPlan.doThisWeek	Prenatal vitamins लेते रहें, पानी पीते रहें, और सोने का एक नियमित रूटीन बनाएँ।
actionPlan.skipThisWeek	लक्षण दिन-ब-दिन बदलने पर घबरा जाना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, चक्कर आकर गिरना, बुख़ार, या लगातार उल्टी से शरीर में पानी की कमी हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	अगर लक्षण कम हो जाएँ तो कुछ गड़बड़ है।
actionPlan.mythBuster.truth	गर्भावस्था के लक्षण स्वाभाविक रूप से घटते-बढ़ते रहते हैं और पहली तिमाही में अक्सर बदलते हैं।
garbhSanskar.affirmation	मैं डर के बजाय शांति चुनती हूँ, और चिंता के बजाय भरोसा।
garbhSanskar.reflectionPrompt	अनिश्चितता के पलों में आपको कौन सी चीज़ सुकून देती है?
garbhSanskar.spokenLine	माँ, मैं हिलने-डुलने लगा हूँ।
reflectAndRemember.reflectionPrompt	माता-पिता बनना आपके लिए क्या मायने रखता है?
reflectAndRemember.journalPrompt	लिखिए कि शिशु के आने के बाद आपकी ज़िंदगी कैसे बदल सकती है।
reflectAndRemember.photoPrompt	किसी ऐसी चीज़ की तस्वीर लीजिए जो आपके आने वाले परिवार को दर्शाती हो।
partnerCorner.whatSheMayFeel	भावनाओं में ऊपर-नीचे, क्योंकि हॉर्मोन, इंतज़ार और अनिश्चितता सब एक साथ मिल रहे हैं।
partnerCorner.whatYouCanDo	हर चिंता का हल निकालने के बजाय उसे भरोसा दिलाइए।
partnerCorner.oneMission	उसे एक बात बताइए जो आपको पसंद है — कि वह गर्भावस्था को कितनी अच्छी तरह सँभाल रही है।
partnerCorner.shareMessage	हर हफ़्ता हमें अपने नन्हे से मिलने के और क़रीब ले जा रहा है ❤
