babySnapshot.milestone	सफ़र के लिए तैयार
babySnapshot.weekHeadline	आपका शिशु जन्म की तैयारी करते हुए अपने ज़रूरी तंत्रों को आख़िरी रूप दे रहा है। इंतज़ार लगभग ख़त्म है।
babySnapshot.size.fruit	एक कद्दू
babySnapshot.size.length	लगभग 49.8 cm
babySnapshot.size.weight	लगभग 3100 g
babySnapshot.reveal	माँ, मैं अपनी ज़िंदगी के सबसे बड़े सफ़र के लिए तैयार हूँ — आपकी गोद में आने के लिए।
babyDevelopment.whatImDoing	मेरे फेफड़े तैयार हैं, मेरा दिमाग़ अब भी तेज़ी से बन रहा है, और मैं ताक़त व ऊर्जा जमा करता जा रहा हूँ। अब मेरा ज़्यादातर काम जन्म और गर्भ के बाहर की ज़िंदगी की तैयारी है।
babyDevelopment.funFact	मेरा दिमाग़ पहले साल में बहुत तेज़ी से बढ़ेगा, पर उसकी कई नींवें अभी से रखी जा चुकी हैं।
momJourney.physicalChanges	आपका शिशु पेल्विस में नीचे खिसक चुका हो सकता है, जिससे नीचे दबाव बढ़ता है पर कभी-कभी साँस लेना आसान हो जाता है।
momJourney.emotionalState	गर्भावस्था के अंत के क़रीब आते हुए आप उत्साहित, बेसब्र, भावुक या गहराई से सोचती हुई महसूस कर सकती हैं।
momJourney.commonSymptoms[0]	पेल्विस पर दबाव
momJourney.commonSymptoms[1]	Braxton Hicks संकुचन
momJourney.commonSymptoms[2]	सोने में दिक़्क़त
momJourney.commonSymptoms[3]	बार-बार पेशाब आना
momJourney.selfCareTip	जब भी मुमकिन हो, आराम कीजिए। आपका शरीर ज़िंदगी के सबसे मेहनत भरे और ख़ूबसूरत अनुभव की तैयारी कर रहा है।
momJourney.reassurance	आपका शिशु अंदर बिताया हर दिन अपने विकास और जन्म की तैयारी में लगाता है।
nutrition.nutritionTheme	प्रसव के लिए ऊर्जा
nutrition.focusNutrients[0]	जटिल कार्बोहाइड्रेट
nutrition.focusNutrients[1]	प्रोटीन
nutrition.whyNow	प्रसव किसी भी समय शुरू हो सकता है, इसलिए आपके शरीर को लगातार ऊर्जा का भंडार चाहिए।
nutrition.foods[0]	ओट्स
nutrition.foods[1]	ब्राउन राइस
nutrition.foods[2]	पनीर
nutrition.foods[3]	मूंग दाल
nutrition.foods[4]	केला
nutrition.indianSuperfoodOfTheWeek.food	मूंग दाल
nutrition.indianSuperfoodOfTheWeek.benefit	गर्भावस्था के आख़िरी हफ़्तों में आसानी से पचने वाला प्रोटीन और ऊर्जा देती है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	मूंग दाल खिचड़ी, सूप या चीला।
nutrition.mealIdea	मूंग दाल खिचड़ी के साथ दही और सब्ज़ियाँ।
nutrition.tip	ऐसा पौष्टिक खाना चुनिए जो आसानी से पचे और देर तक ऊर्जा दे।
actionPlan.doThisWeek	अपना अस्पताल बैग, मेडिकल काग़ज़ात और आने-जाने की योजना हर वक़्त तैयार रखिए।
actionPlan.skipThisWeek	घर के बड़े काम शुरू करना या ख़ुद को शारीरिक रूप से थका देना।
actionPlan.redFlags	अगर पानी जैसा स्राव, ब्लीडिंग, नियमित दर्द भरे संकुचन, शिशु की हलचल कम होना, तेज़ सिरदर्द या नज़र में बदलाव हो — तो तुरंत अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	चलने से प्रसव ज़बरदस्ती शुरू किया जा सकता है।
actionPlan.mythBuster.truth	हल्की चहलक़दमी आराम और शिशु की मुद्रा में मदद कर सकती है, पर प्रसव तभी शुरू होता है जब आपका शरीर और शिशु तैयार हों।
garbhSanskar.affirmation	मुझे अपने शरीर और अपने शिशु के समय पर भरोसा है।
garbhSanskar.reflectionPrompt	इस पूरी गर्भावस्था का सबसे ख़ूबसूरत हिस्सा क्या रहा?
garbhSanskar.spokenLine	माँ, मेरा सफ़र शुरू होने ही वाला है।
reflectAndRemember.reflectionPrompt	इस पूरी गर्भावस्था का सबसे ख़ूबसूरत हिस्सा क्या रहा?
reflectAndRemember.journalPrompt	गर्भावस्था की अपनी सबसे पसंदीदा याद लिखिए और यह भी कि आप उसे कभी भूलना क्यों नहीं चाहतीं।
reflectAndRemember.photoPrompt	शिशु के इंतज़ार में ख़ुद की, अपने साथी की या परिवार की एक तस्वीर लीजिए।
partnerCorner.whatSheMayFeel	उत्साहित, भावुक और शिशु से मिलने को तैयार, और साथ ही यह सोचती हुई कि प्रसव कब शुरू होगा।
partnerCorner.whatYouCanDo	लचीले, सहयोगी और तैयार रहिए। यह वक़्त भरोसा देने का है, समस्याएँ सुलझाने का नहीं।
partnerCorner.oneMission	अस्पताल का रास्ता, ज़रूरी नंबर और बाक़ी इंतज़ाम आख़िरी बार जाँच लीजिए।
partnerCorner.shareMessage	हर दिन हमें अपने शिशु को गोद में लेने के और क़रीब ले जा रहा है ❤
