babySnapshot.milestone	धड़कता हुआ दिल
babySnapshot.weekHeadline	आपके शिशु का दिल अब एक लय में धड़क रहा है, और मुख्य अंग बनना शुरू हो गए हैं।
babySnapshot.size.fruit	अनार का एक दाना
babySnapshot.size.length	लगभग 4-6 mm
babySnapshot.size.weight	1 g से कम
babySnapshot.reveal	माँ, मेरा नन्हा दिल लगातार धड़क रहा है और हर दिन मुझे और मज़बूत बना रहा है।
babyDevelopment.whatImDoing	मेरा दिल नियमित रूप से धड़क रहा है, मेरा दिमाग़ तेज़ी से बन रहा है, और मेरी आँखों, कानों और हाथ-पैरों की नींव पड़ने लगी है। मैं भले ही बहुत छोटा हूँ, पर कई ज़रूरी हिस्से अभी से बन रहे हैं।
momJourney.physicalChanges	गर्भावस्था के हॉर्मोन तेज़ी से बढ़ रहे हैं और आपका शरीर पर्दे के पीछे आपके बढ़ते शिशु के लिए कड़ी मेहनत कर रहा है।
momJourney.emotionalState	एक पल आप उत्साहित महसूस कर सकती हैं और अगले ही पल थकी हुई। इस हफ़्ते भावनाओं का ऊपर-नीचे होना आम बात है।
momJourney.commonSymptoms[0]	सुबह की मितली
momJourney.commonSymptoms[1]	खाने से अरुचि
momJourney.commonSymptoms[2]	गंध से परेशानी
momJourney.commonSymptoms[3]	बहुत ज़्यादा थकान
momJourney.selfCareTip	एक-एक दिन करके निकालने पर ध्यान दें। गर्भावस्था में आराम करना भी एक ज़रूरी काम है।
momJourney.reassurance	आपके लक्षण कितने तेज़ हैं, इससे यह तय नहीं होता कि आपकी गर्भावस्था कितनी स्वस्थ है।
nutrition.nutritionTheme	मितली से निपटना
nutrition.focusNutrients[0]	Vitamin B6
nutrition.focusNutrients[1]	पर्याप्त पानी
nutrition.whyNow	मितली अक्सर इसी दौर में सबसे ज़्यादा होती है, जबकि आपके शिशु के अंग तेज़ी से बनते रहते हैं।
nutrition.foods[0]	केला
nutrition.foods[1]	ओट्स
nutrition.foods[2]	मूँगफली
nutrition.foods[3]	नारियल पानी
nutrition.foods[4]	सादा बिस्किट
nutrition.indianSuperfoodOfTheWeek.food	सत्तू
nutrition.indianSuperfoodOfTheWeek.benefit	जब भूख कम लगे, तब प्रोटीन, आयरन और टिकाऊ ऊर्जा देता है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	पानी, नींबू और भुने जीरे के साथ मिलाकर एक ताज़गी भरा शरबत बनाएँ।
nutrition.mealIdea	केले वाला ओट्स का कटोरा और साथ में एक गिलास सत्तू का शरबत।
nutrition.tip	भूख लगने से पहले ही कुछ खा लें। खाली पेट अक्सर मितली और बढ़ा देता है।
actionPlan.doThisWeek	सूखे स्नैक्स पास रखें, थोड़ा-थोड़ा करके बार-बार खाएँ, और पानी पीते रहने को प्राथमिकता दें।
actionPlan.skipThisWeek	ज़बरदस्ती भारी खाना खाना, या शरीर में पानी की कमी के संकेतों को नज़रअंदाज़ करना।
actionPlan.redFlags	अगर 24 घंटे से ज़्यादा पानी भी पेट में न टिके, तेज़ उल्टियाँ हों, ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द या चक्कर आकर गिरना हो — तो अपने डॉक्टर को फ़ोन करें।
actionPlan.mythBuster.myth	जितनी ज़्यादा मितली, शिशु उतना ही स्वस्थ।
actionPlan.mythBuster.truth	गर्भावस्था के लक्षण हर महिला में अलग होते हैं और उनसे नतीजों का अंदाज़ा नहीं लगाया जा सकता।
garbhSanskar.affirmation	मुझे अपने शरीर की समझ पर भरोसा है।
garbhSanskar.reflectionPrompt	हाल ही में आपने अपने भीतर कौन सी ताक़त पहचानी है?
garbhSanskar.spokenLine	माँ, मेरा दिल धड़क रहा है।
reflectAndRemember.reflectionPrompt	इस हफ़्ते आपने अपने भीतर कौन सी ताक़त पहचानी?
reflectAndRemember.journalPrompt	इस हफ़्ते की एक मुश्किल और आपने उसे कैसे सँभाला — यह लिखिए।
reflectAndRemember.photoPrompt	कोई ऐसा साधारण पल क़ैद कीजिए जो आपको याद दिलाए कि आप कितनी मज़बूत होती जा रही हैं।
partnerCorner.whatSheMayFeel	थकी हुई, मिचली से परेशान, और इस बात से खीझी हुई कि रोज़ के काम अचानक मुश्किल लगने लगे हैं।
partnerCorner.whatYouCanDo	रोज़ के छोटे-छोटे काम अपने ज़िम्मे ले लीजिए और ध्यान रखिए कि उसके पास हमेशा पानी और कुछ खाने को हो।
partnerCorner.oneMission	इस हफ़्ते घर की एक ज़िम्मेदारी बिना कहे पूरी तरह अपने ऊपर ले लीजिए।
partnerCorner.shareMessage	हर मुश्किल दिन हमारे नन्हे को और मज़बूत बना रहा है ❤
