babySnapshot.milestone	सुनने की शुरुआत
babySnapshot.weekHeadline	आपका शिशु मज़बूत होता जा रहा है, और सुनने के लिए ज़रूरी नन्हे हिस्से और विकसित हो रहे हैं।
babySnapshot.size.fruit	एक एवोकाडो
babySnapshot.size.length	लगभग 11.6 cm
babySnapshot.size.weight	लगभग 100 g
babySnapshot.reveal	माँ, मैं हर दिन मज़बूत हो रहा हूँ और आपकी आवाज़ सुनने की तैयारी कर रहा हूँ।
babyDevelopment.whatImDoing	मेरी हड्डियाँ सख़्त हो रही हैं, मांसपेशियाँ मज़बूत हो रही हैं और मेरे कान तेज़ी से बन रहे हैं। जल्द ही मैं बाहर की दुनिया की आवाज़ों पर प्रतिक्रिया देने लगूँगा।
momJourney.physicalChanges	आपकी बच्चेदानी बढ़ती जा रही है, और आपका बंप अब साफ़ दिखने लगा होगा। कुछ माँओं को ज़्यादा ऊर्जा और गर्भावस्था का सेहतमंद निखार महसूस होता है।
momJourney.emotionalState	गर्भावस्था के इस दौर में बहुत सी माँएँ ज़्यादा आत्मविश्वास और भावनात्मक स्थिरता महसूस करती हैं।
momJourney.commonSymptoms[0]	बढ़ता हुआ बंप
momJourney.commonSymptoms[1]	भूख बढ़ना
momJourney.commonSymptoms[2]	कमर में तकलीफ़
momJourney.commonSymptoms[3]	कभी-कभी round ligament में दर्द
momJourney.selfCareTip	बैठने-खड़े होने के ढंग पर ध्यान दीजिए और सहारा देने वाले जूते पहनिए, क्योंकि शरीर का संतुलन धीरे-धीरे बदल रहा है।
momJourney.reassurance	हल्का दर्द और खिंचाव अक्सर इस बात की सामान्य निशानी है कि आपका शरीर गर्भावस्था के साथ ख़ुद को ढाल रहा है।
nutrition.nutritionTheme	मज़बूत हड्डियाँ
nutrition.focusNutrients[0]	कैल्शियम
nutrition.focusNutrients[1]	Vitamin D
nutrition.whyNow	आपके शिशु का ढाँचा तेज़ी से मज़बूत हो रहा है, क्योंकि नरम उपास्थि की जगह हड्डियाँ लेती जा रही हैं।
nutrition.foods[0]	रागी
nutrition.foods[1]	दूध
nutrition.foods[2]	पनीर
nutrition.foods[3]	दही
nutrition.foods[4]	तिल
nutrition.indianSuperfoodOfTheWeek.food	रागी
nutrition.indianSuperfoodOfTheWeek.benefit	कैल्शियम, आयरन और फ़ाइबर देती है, जो हड्डियों के स्वस्थ विकास में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	रागी डोसा, रागी का दलिया, या रागी की रोटी।
nutrition.mealIdea	रागी का चीला, दही और पुदीने की चटनी के साथ।
nutrition.tip	हड्डियाँ बनाने वाले पोषक तत्व तब सबसे बेहतर काम करते हैं जब उन्हें पूरे हफ़्ते नियमित रूप से लिया जाए।
actionPlan.doThisWeek	बाहर खुली हवा में समय बिताइए, रोज़ थोड़ी हलचल जारी रखिए, और अपने शिशु से नियमित रूप से बात करना शुरू कीजिए।
actionPlan.skipThisWeek	बिना रुके बहुत लंबे समय तक खड़े रहना।
actionPlan.redFlags	अगर ब्लीडिंग, पेट में तेज़ दर्द, पानी जैसा स्राव, तेज़ सिरदर्द, या अचानक सूजन हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	अगर अच्छा महसूस हो रहा है, तो अतिरिक्त आराम की ज़रूरत नहीं।
actionPlan.mythBuster.truth	लक्षण कम होने पर भी आपका शरीर बहुत बड़ा काम कर रहा होता है।
garbhSanskar.affirmation	हर दिन मेरे और मेरे शिशु के बीच का रिश्ता और गहरा होता है।
garbhSanskar.reflectionPrompt	आप चाहेंगी कि आपका शिशु आपके बारे में क्या जाने?
garbhSanskar.spokenLine	माँ, जल्द ही मैं आपकी आवाज़ सुनूँगा।
reflectAndRemember.reflectionPrompt	आप चाहेंगी कि आपका शिशु आपके बारे में क्या जाने?
reflectAndRemember.journalPrompt	अपने शिशु को बताइए कि आज आप कौन हैं — आपके सपने, आपकी ताक़तें, और आपके लिए सबसे ज़्यादा क्या मायने रखता है।
reflectAndRemember.photoPrompt	बाहर खुली जगह में एक सहज तस्वीर लीजिए जो आपके सफ़र के इस दौर को दर्शाती हो।
partnerCorner.whatSheMayFeel	ज़्यादा आत्मविश्वास से भरी, स्थिर और उत्साहित, क्योंकि गर्भावस्था अब साफ़ दिखने लगी है।
partnerCorner.whatYouCanDo	सेहतमंद दिनचर्या में साथ दीजिए और ज़रूरत पड़ने पर आराम के लिए प्रोत्साहित कीजिए।
partnerCorner.oneMission	साथ में टहलने जाइए और माता-पिता के रूप में अपने आने वाले कल के बारे में बात कीजिए।
partnerCorner.shareMessage	हमारा नन्हा हर दिन मज़बूत हो रहा है ❤
