Christianity	ईसाई धर्म
Hope, gratitude and prayer as a family welcomes new life.	आशा, कृतज्ञता और प्रार्थना — जब एक परिवार नए जीवन का स्वागत करता है।
Reflections & prayer	मनन और प्रार्थना
A gift to be thankful for	एक उपहार, जिसके लिए मन धन्यवाद कहे
A new pregnancy is often received as a gift and a reason for gratitude and hope. Even on tired days, a quiet thank-you can steady the heart.	नया गर्भ अक्सर एक उपहार की तरह लिया जाता है — कृतज्ञता और आशा की एक वजह। थकान भरे दिनों में भी मन ही मन कहा गया एक धन्यवाद दिल को थाम लेता है।
Praying simply	सीधी-सादी प्रार्थना
Prayer here is often just an honest conversation, asking for a healthy baby, a safe delivery and peace of mind. You do not need the perfect words; sincerity is enough.	यहाँ प्रार्थना अक्सर एक सच्ची बातचीत भर होती है — स्वस्थ शिशु, सुरक्षित प्रसव और मन की शांति की माँग। सही शब्द ढूँढ़ने की ज़रूरत नहीं; मन की सच्चाई काफ़ी है।
Peace that steadies	वह शांति जो थाम लेती है
Many lean on their faith for a peace that holds them through worry, a calm that does not depend on everything going right. On anxious days, that can be a real anchor.	बहुत से लोग अपनी आस्था का सहारा लेते हैं — ऐसी शांति के लिए जो चिंता के बीच भी थामे रखे, ऐसा ठहराव जिसके लिए सब कुछ ठीक होना ज़रूरी न हो। घबराहट वाले दिनों में यही मन को टिकाने की ज़मीन बन जाती है।
Hope as a quiet strength	आशा, एक चुपचाप ताक़त
Hope runs through this tradition, the trust that good is being woven even when you cannot see it. Holding gently to hope can lighten the heavier stretches.	इस परंपरा में आशा हर जगह बहती है — यह भरोसा कि भला कुछ बुना जा रहा है, भले ही वह आपको दिख न रहा हो। आशा को हल्के हाथों से थामे रखना भारी दिनों का बोझ कम कर देता है।
You are held	आप सँभाली हुई हैं
A comforting thread is the sense of being known, loved and cared for, just as you are. Whatever you are feeling today, you are not carrying it unseen.	एक तसल्ली देने वाला धागा यह है — कि आप जैसी हैं वैसी ही जानी जाती हैं, चाही जाती हैं, सँभाली जाती हैं। आज आप जो भी महसूस कर रही हैं, उसे किसी की नज़र से छूटकर अकेले नहीं उठा रहीं।
A reason for thanks	धन्यवाद कहने की एक वजह
A new pregnancy is often received as a gift and a cause for gratitude. Even on tired days, a quiet thank-you can steady the heart.	नया गर्भ अक्सर एक उपहार की तरह लिया जाता है, कृतज्ञता की एक वजह। थके हुए दिनों में भी चुपचाप कहा गया एक धन्यवाद दिल को थाम लेता है।
Honest, simple prayer	सच्ची, सीधी प्रार्थना
Prayer here is often just honest conversation, asking for health, a safe birth, and peace. You do not need perfect words; sincerity is enough.	यहाँ प्रार्थना अक्सर एक सच्ची बातचीत भर होती है — सेहत, सुरक्षित जन्म और शांति की माँग। सही शब्द ज़रूरी नहीं; मन की सच्चाई काफ़ी है।
A peace that holds	वह शांति जो टिकी रहती है
Many lean on faith for a calm that does not depend on everything going right. On anxious days, that can be a real anchor.	बहुत से लोग आस्था का सहारा ऐसे ठहराव के लिए लेते हैं जिसके लिए सब कुछ ठीक होना ज़रूरी न हो। घबराहट वाले दिनों में यही मन को टिकाने की ज़मीन बन जाता है।
Hope that lightens	आशा, जो बोझ हल्का करती है
Hope, the trust that good is being woven even unseen, runs deep here. Holding gently to it lightens the heavier stretches.	आशा — यह भरोसा कि भला कुछ बुना जा रहा है, भले दिखे नहीं — यहाँ बहुत गहरी है। उसे हल्के हाथों से थामे रखना भारी दिनों को हल्का कर देता है।
Casting your cares	फ़िक्रें सौंप देना
There is a comforting idea of handing your worries over rather than carrying them all. At night, you might set the day's fears down and rest.	एक तसल्ली देने वाला ख़याल यह है कि अपनी चिंताएँ सौंप दीजिए, सब ख़ुद ही मत उठाइए। रात को दिन भर के डर नीचे रखकर आराम कर लीजिए।
Thanks in small things	छोटी-छोटी बातों का शुक्रिया
Gratitude is encouraged even in ordinary moments, not only the big ones. A grateful glance at a quiet day counts.	कृतज्ञता सिर्फ़ बड़े मौक़ों की नहीं, मामूली पलों की भी होती है। एक शांत दिन पर डाली गई शुक्रगुज़ार नज़र भी गिनी जाती है।
Praying for your baby	अपने शिशु के लिए प्रार्थना
Many like to pray simply over their growing baby, for health and a good life. A hand on your bump and a sincere wish is a tender daily habit.	बहुत सी माएँ अपने बढ़ते शिशु के लिए सीधी-सी प्रार्थना करती हैं — सेहत की, एक अच्छे जीवन की। पेट पर हाथ और मन से निकली एक दुआ — यह रोज़ की एक कोमल आदत है।
Faith a little bigger than fear	डर से ज़रा-सा बड़ा भरोसा
You do not have to be fearless, only to let trust be a touch larger than the fear. That small margin can carry you a long way.	निडर होना ज़रूरी नहीं — बस भरोसा डर से ज़रा-सा बड़ा रहे, इतना काफ़ी है। यही थोड़ा-सा फ़र्क़ आपको बहुत दूर तक ले जाता है।
Rest for the weary	थके हुए मन के लिए आराम
There is a tender invitation to bring your tiredness and find rest. Letting yourself slow down is welcomed, not frowned upon.	यहाँ एक कोमल न्योता है — अपनी थकान लेकर आइए और आराम पाइए। धीमे पड़ जाना यहाँ स्वीकार है, उस पर कोई भौंहें नहीं चढ़ाता।
Praying with others	मिलकर की गई प्रार्थना
Sharing your hopes with people who will pray alongside you can ease the load. You are not meant to carry it solo.	अपनी उम्मीदें उन लोगों से बाँटिए जो आपके साथ प्रार्थना करेंगे — बोझ हल्का हो जाता है। यह सब अकेले उठाने के लिए नहीं है।
Grace on the hard days	मुश्किल दिनों की कृपा
