babySnapshot.milestone	दिमाग़ में नए-नए जोड़
babySnapshot.weekHeadline	आपके शिशु का दिमाग़ लाखों नए तंत्रिका-जोड़ बना रहा है, और सीखने की शुरुआत अभी से हो चुकी है।
babySnapshot.size.fruit	एक बड़ा आम
babySnapshot.size.length	लगभग 28.9 cm
babySnapshot.size.weight	लगभग 550 g
babySnapshot.reveal	माँ, मेरा दिमाग़ तेज़ी से बढ़ रहा है और मुझे अपने आस-पास की दुनिया समझने में मदद कर रहा है।
babyDevelopment.whatImDoing	मेरा दिमाग़ हैरान कर देने वाली रफ़्तार से बन रहा है। हर पल नए तंत्रिका-जोड़ बन रहे हैं, जो सीखने, याद रखने और हिलने-डुलने की नींव तैयार करते हैं। मेरी सुनने की शक्ति बेहतर होती जा रही है और मैं जानी-पहचानी आवाज़ें पहचान सकता हूँ।
babyDevelopment.funFact	जो आवाज़ मैं इस समय सबसे ज़्यादा सुनता हूँ, वह जन्म के बाद मेरी पहचानी हुई आवाज़ों में से एक बन सकती है।
momJourney.physicalChanges	आपका शिशु मज़बूत और ज़्यादा सक्रिय होता जा रहा है। लातें और हरकतें ज़्यादा साफ़ महसूस हो सकती हैं, और कभी-कभी बाहर से दिख भी सकती हैं।
momJourney.emotionalState	इस दौर में बहुत सी माँएँ गहरा जुड़ाव महसूस करती हैं, क्योंकि हलचल का ढर्रा जाना-पहचाना लगने लगता है।
momJourney.commonSymptoms[0]	साफ़ महसूस होती लातें
momJourney.commonSymptoms[1]	कमर में तकलीफ़
momJourney.commonSymptoms[2]	पैरों में ऐंठन
momJourney.commonSymptoms[3]	भूख बढ़ना
momJourney.selfCareTip	हर दिन कुछ शांत पल निकालकर अपने शिशु की हलचल महसूस कीजिए और इस जुड़ाव का आनंद लीजिए।
momJourney.reassurance	हलचल का ढर्रा अभी बन ही रहा है। कुछ दिन ज़्यादा सक्रिय और कुछ दिन शांत होना सामान्य है।
nutrition.nutritionTheme	स्वस्थ दिमाग़ की नींव
nutrition.focusNutrients[0]	Omega-3
nutrition.focusNutrients[1]	Choline
nutrition.whyNow	पूरी गर्भावस्था में दिमाग़ के सबसे तेज़ बढ़ने के दौरों में से एक अभी चल रहा है।
nutrition.foods[0]	अख़रोट
nutrition.foods[1]	अलसी
nutrition.foods[2]	सोयाबीन
nutrition.foods[3]	मूँगफली
nutrition.foods[4]	दूध
nutrition.indianSuperfoodOfTheWeek.food	अलसी
nutrition.indianSuperfoodOfTheWeek.benefit	वनस्पति से मिलने वाली Omega-3 वसा देती है, जो दिमाग़ के स्वस्थ विकास में मदद करती है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	पिसी हुई अलसी दही, आटे या स्मूदी में मिलाइए।
nutrition.mealIdea	दही का कटोरा, अलसी का पाउडर, अख़रोट और ताज़े फल।
nutrition.tip	रोज़ दोहराए गए छोटे-छोटे पोषण सुधार समय के साथ बड़ा फ़र्क़ बनाते हैं।
actionPlan.doThisWeek	हर दिन अपने शिशु से बात कीजिए, गाइए और पढ़कर सुनाइए।
actionPlan.skipThisWeek	यह मान लेना कि गर्भ के बाहर जो हो रहा है उसका शिशु को कुछ पता नहीं।
actionPlan.redFlags	अगर ब्लीडिंग, पानी जैसा स्राव, पेट में तेज़ दर्द, तेज़ सिरदर्द, नज़र में बदलाव या अचानक सूजन हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	सीखना जन्म के बाद ही शुरू होता है।
actionPlan.mythBuster.truth	आपके शिशु का दिमाग़ अभी से सीखने, याद रखने और पहचानने की नींव बना रहा है।
garbhSanskar.affirmation	मेरा भेजा हुआ हर प्यार भरा ख़याल मेरे शिशु तक पहुँचता है।
garbhSanskar.reflectionPrompt	एक माता-पिता के रूप में आपके लिए कौन से मूल्य सबसे ज़्यादा मायने रखते हैं?
garbhSanskar.spokenLine	माँ, मेरा दिमाग़ हर दिन नए जोड़ बना रहा है।
reflectAndRemember.reflectionPrompt	आपके परिवार में कौन से मूल्य सबसे ज़्यादा मायने रखते हैं?
reflectAndRemember.journalPrompt	लिखिए कि आप अपने बच्चे को कैसे घर और कैसे पारिवारिक माहौल में बड़ा होते देखना चाहती हैं।
reflectAndRemember.photoPrompt	किसी ऐसी चीज़ की तस्वीर लीजिए जो आपके लिए परिवार, प्यार या अपनेपन का मतलब रखती हो।
partnerCorner.whatSheMayFeel	उत्साहित, पर कभी-कभी आगे आने वाली सब बातों से थोड़ी घबराई हुई भी।
partnerCorner.whatYouCanDo	सब कुछ एक साथ सोचने के बजाय एक-एक क़दम पर ध्यान देने में उसकी मदद कीजिए।
partnerCorner.oneMission	उससे पूछिए कि शिशु के आने के बाद वह किस बात का सबसे ज़्यादा इंतज़ार कर रही है।
partnerCorner.shareMessage	हम साथ मिलकर एक ख़ूबसूरत कल बना रहे हैं ❤
