Best Overall	सबसे बेहतर
Soft, breathable fabric	नरम, साँस लेने वाला कपड़ा
Easy one-hand nursing access	एक हाथ से खुलने वाली, दूध पिलाने में आसान
Loved by ParentVeda parents	ParentVeda के माता-पिता की पसंद
Size up from your usual	अपने रोज़ के नाप से एक बड़ा
Two or three help for rotation	दो-तीन रखिए तो बदलती रहेंगी
Super absorbent, stay-dry	ख़ूब सोखने वाले, सूखा रखने वाले
Gentle on sensitive skin	नाज़ुक त्वचा पर हल्के
Disposable vs reusable is a personal choice	एक बार के या धुलने वाले — यह आपकी पसंद है
Extra-long, high absorbency	ज़्यादा लंबे, ज़्यादा सोखने वाले
Soft top layer for comfort	ऊपर की नरम परत, आराम के लिए
Made for post-delivery flow	डिलीवरी के बाद के दिनों के लिए बने
You will likely need more than you think	सोच से ज़्यादा लगेंगे
Soothes sore, sensitive skin	दुखती, नाज़ुक त्वचा को आराम
Safe for baby - no need to wipe off	शिशु के लिए सुरक्षित — पोंछने की ज़रूरत नहीं
A little goes a long way	थोड़ा सा ही बहुत है
Soft muslin, breathable	नरम मलमल, साँस लेने वाला
Keeps baby snug and calm	शिशु को लिपटा और शांत रखता है
Doubles as a nursing cover	दूध पिलाते वक़्त ओढ़नी का काम भी करता है
Muslin for warm weather, fleece for cold	गर्मी में मलमल, सर्दी में ऊनी
Gentle cotton on newborn skin	नवजात की त्वचा पर हल्का सूती
Easy snap changes	बटन से झट से बदलने वाला
A pack of everyday essentials	रोज़ की ज़रूरत का पूरा पैक
Newborn size is outgrown quickly - do not over-buy	नवजात का नाप जल्दी छोटा पड़ जाता है — ज़्यादा मत लीजिए
Soft, snug newborn fit	नवजात पर नरम और ठीक बैठने वाली
Wetness indicator	गीलेपन का संकेत
Gentle on the cord stump	नाभि की ठूँठ पर हल्की
Newborn size lasts only a few weeks	नवजात का नाप कुछ ही हफ़्ते चलता है
Loose nightwear / birthing gown	ढीले कपड़े / प्रसव गाउन
Warm socks	गर्म मोज़े
Lip balm	Lip balm
Hair ties / clip	रबर बैंड / क्लिप
Water bottle with straw	स्ट्रॉ वाली पानी की बोतल
Light snacks / energy drinks	हल्का नाश्ता / energy drinks
Glasses (if you wear them)	चश्मा (अगर आप लगाती हैं)
Calming music / playlist	सुकून देने वाला संगीत / playlist
Maternity pads	Maternity pads
Disposable / maternity underwear	एक बार के / maternity underwear
Nursing bra	Nursing bra
Breast pads	Breast pads
Nipple cream	Nipple cream
Comfortable going-home outfit	घर जाने के लिए आरामदेह कपड़े
Toiletries (toothbrush, etc.)	रोज़ के सामान (ब्रश वग़ैरह)
Towel	तौलिया
Slippers	चप्पल
Abdominal binder (if advised)	पेट की बेल्ट (अगर डॉक्टर कहें)
Newborn bodysuits	नवजात के bodysuits
Swaddle / receiving blanket	Swaddle / लपेटने वाला कपड़ा
Mittens & booties	दस्ताने और बूटी
Soft cap	नरम टोपी
Newborn diapers	नवजात के diapers
Baby wipes	Baby wipes
Soft baby blanket	नरम शिशु कंबल
Baby towel	शिशु का तौलिया
Mild baby lotion / oil	हल्का baby lotion / तेल
Going-home outfit	घर जाने के कपड़े
Change of clothes	बदलने के कपड़े
Snacks	नाश्ता
Phone charger / power bank	फ़ोन चार्जर / power bank
Cash & cards	नक़द और कार्ड
Toiletries	रोज़ के सामान
ID proof (Aadhaar / passport)	पहचान पत्र (Aadhaar / passport)
Hospital registration / admission papers	अस्पताल के registration / भर्ती के काग़ज़
Insurance / TPA card	Insurance / TPA card
Medical records & scan reports	इलाज के काग़ज़ और scan reports
Birth plan (if you have one)	Birth plan (अगर बनाया हो)
Doctor's contact number	डॉक्टर का नंबर
Your own pillow	अपना तकिया
Eye mask	Eye mask
A familiar, comforting scent	कोई जानी-पहचानी, सुकून देने वाली ख़ुशबू
Affirmation cards	हौसले के कार्ड
Nursing pillow	Nursing pillow
Extra newborn outfit	नवजात के लिए एक और जोड़ा
Compression socks	Compression socks
Handheld fan	छोटा पंखा
Portable speaker	छोटा speaker
Journal	डायरी
