placenta previa	cervix को ढकता placenta
low placenta	नीचे लगा placenta
breech baby	breech शिशु
baby position	शिशु की स्थिति
nuchal cord	गर्दन में लिपटी गर्भनाल
cord around neck	गर्दन के चारों ओर गर्भनाल
cord around baby	शिशु के चारों ओर गर्भनाल
gestational diabetes	गर्भावस्था की diabetes
high sugar	शक्कर ज़्यादा
low fluid	पानी की कमी
amniotic fluid	गर्भ का पानी
low water	गर्भ का पानी कम
pre eclampsia	गर्भावस्था का high bp
high bp	bp ज़्यादा
protein in urine	पेशाब में protein
high fluid	गर्भ का पानी ज़्यादा
excess fluid	ज़रूरत से ज़्यादा पानी
too much water	पानी बहुत ज़्यादा
afi high	afi ज़्यादा
short cervix	छोटा cervix
cervical length	cervix की लंबाई
placental calcification	placenta में calcification
placenta grade	placenta का grade
grade 3 placenta	grade 3 वाला placenta
twin pregnancy	जुड़वाँ गर्भावस्था
two babies	दो शिशु
low hemoglobin	haemoglobin की कमी
low hb	कम hb
reduced movements	हलचल कम होना
baby not moving	शिशु हिल नहीं रहा
less movement	कम हलचल
fetal movements	शिशु की हलचल
braxton hicks	Braxton Hicks संकुचन
practice contractions	अभ्यास वाले संकुचन
false labour	झूठा प्रसव दर्द
high blood pressure	ज़्यादा ब्लड प्रेशर
gestational hypertension	गर्भावस्था का hypertension
placenta moved	placenta ऊपर चला गया
low lying placenta resolved	नीचे लगा placenta ठीक हो गया
previa resolved	previa ठीक हो गया
small baby	छोटा शिशु
growth restriction	बढ़त में रुकावट
baby small	शिशु छोटा
large baby	बड़ा शिशु
big baby	ज़्यादा वज़न वाला शिशु
baby big	शिशु बड़ा
subchorionic hematoma	बच्चेदानी की दीवार के पास ख़ून जमना
bleed near sac	थैली के पास ख़ून जमना
vanishing twin	जुड़वाँ में से एक का न बढ़ना
lost twin	जुड़वाँ में से एक का रुक जाना
one sac	एक ही थैली
marginal cord insertion	किनारे पर जुड़ी गर्भनाल
cord insertion	गर्भनाल का जुड़ाव
marginal cord	किनारे वाली गर्भनाल
single umbilical artery	गर्भनाल में एक ही धमनी
two vessel cord	दो नली वाली गर्भनाल
one artery	एक ही धमनी
brain ventricles	दिमाग़ के ventricles
fluid in brain	दिमाग़ में तरल
mild ventriculomegaly	हल्का ventriculomegaly
echogenic intracardiac focus	दिल में चमकीला बिंदु
bright spot heart	दिल में चमकीला धब्बा
soft marker	स्कैन का soft marker
heart spot	दिल में धब्बा
soft markers	स्कैन में soft markers
scan markers	स्कैन के marker
uterus growth	बच्चेदानी में गाँठ
group b strep	Group B Strep का bacteria
rh negative	Rh negative ख़ून
rh-negative	Rh-negative गर्भावस्था
negative blood	negative ब्लड ग्रुप
anti d	anti-D इंजेक्शन
blood group	ब्लड ग्रुप
