Pineapple	अनानास
Coffee	कॉफ़ी
Crocin	Crocin
Flight travel	हवाई यात्रा
Hair colour	बालों का रंग
Sex	शारीरिक संबंध
Papaya	पपीता
Ripe papaya in small amounts is generally considered fine. Raw or unripe papaya is usually advised against.	पका पपीता थोड़ी मात्रा में आम तौर पर ठीक माना जाता है। कच्चा या अधपका पपीता आम तौर पर मना किया जाता है।
Fully ripe papaya is a nutritious fruit. Unripe or semi-ripe papaya contains more latex (papain), which is traditionally avoided in pregnancy. The riper it is, the gentler it is.	पूरी तरह पका पपीता एक पौष्टिक फल है। कच्चे या अधपके पपीते में ज़्यादा latex (papain) होता है, जिससे गर्भावस्था में परंपरागत रूप से बचा जाता है। जितना पका होगा, उतना नरम रहेगा।
Many mothers prefer to be extra cautious in the first trimester and skip raw papaya entirely.	कई माँएँ पहली तिमाही में ज़्यादा एहतियात बरतना पसंद करती हैं और कच्चा पपीता बिलकुल छोड़ देती हैं।
Raw papaya turns up in salads and some sabzis - that is the form to be careful with. Ripe, sweet papaya as fruit is the safer choice.	कच्चा पपीता सलाद और कुछ सब्ज़ियों में आता है — यही वह रूप है जिससे सावधान रहना है। पका, मीठा पपीता फल के रूप में ज़्यादा सुरक्षित विकल्प है।
raw papaya	कच्चा पपीता
ripe papaya	पका पपीता
Pineapple in normal food amounts is generally fine. Only very large quantities are best avoided.	आम खाने की मात्रा में अनानास आम तौर पर ठीक है। सिर्फ़ बहुत ज़्यादा मात्रा से बचना बेहतर है।
Pineapple contains an enzyme called bromelain, but the amount in a normal serving is tiny. You would need to eat a lot for it to matter, so everyday portions are considered okay.	अनानास में bromelain नाम का एक एंज़ाइम होता है, पर एक सामान्य हिस्से में इसकी मात्रा बहुत कम होती है। मायने रखने के लिए आपको बहुत ज़्यादा खाना पड़ेगा, इसलिए रोज़ की मात्रा ठीक मानी जाती है।
A few slices or a glass of fresh juice is fine. Skip the giant bowl-a-day habit.	कुछ टुकड़े या एक गिलास ताज़ा जूस ठीक है। रोज़ एक बड़ा कटोरा भर खाने की आदत छोड़ दीजिए।
Mango	आम
Mango is a nutritious fruit and fine in moderation.	आम एक पौष्टिक फल है और सीमित मात्रा में ठीक है।
Mango is rich in vitamins A and C and folate. It is also high in natural sugar, so keep portions reasonable - especially if your doctor is watching your blood sugar.	आम में Vitamin A और C तथा Folate भरपूर होते हैं। इसमें क़ुदरती चीनी भी ज़्यादा होती है, इसलिए मात्रा सीमित रखिए — ख़ासकर अगर आपके डॉक्टर आपकी blood sugar पर नज़र रख रहे हैं।
Wash well and enjoy in season. If you have (or are at risk of) gestational diabetes, ask your doctor about quantity.	अच्छी तरह धोकर मौसम में खाइए। अगर आपको gestational diabetes है (या ख़तरा है), तो मात्रा के बारे में डॉक्टर से पूछिए।
Banana	केला
Bananas are a great, easy pregnancy snack.	केला गर्भावस्था का एक बढ़िया, आसान स्नैक है।
They give quick energy and potassium, can settle early-pregnancy nausea, and help with constipation. A simple, reliable choice.	यह तुरंत ऊर्जा और Potassium देता है, शुरुआती गर्भावस्था की मतली शांत कर सकता है, और क़ब्ज़ में मदद करता है। एक सरल, भरोसेमंद विकल्प।
Paneer	पनीर
Paneer made from pasteurised milk and eaten fresh or cooked is fine. Avoid unpasteurised soft cheese.	Pasteurised दूध से बना पनीर, ताज़ा या पका हुआ खाया जाए तो ठीक है। बिना pasteurise किया soft cheese मत खाइए।
The concern with some soft cheeses is listeria, a bacteria that can grow in unpasteurised dairy. Paneer from pasteurised milk - cooked or freshly made - sidesteps that.	कुछ soft cheese के साथ चिंता listeria की होती है, एक bacteria जो बिना pasteurise किए दूध में पनप सकता है। Pasteurised दूध का पनीर — पका हुआ या ताज़ा बना — इससे बच जाता है।
Branded and most home-made paneer uses pasteurised milk. When in doubt, cook it (paneer bhurji, palak paneer) rather than eating it raw.	ब्रांडेड और ज़्यादातर घर का पनीर pasteurised दूध से बनता है। शक हो तो इसे कच्चा खाने के बजाय पका लीजिए (पनीर भुर्जी, पालक पनीर)।
cottage cheese	कॉटेज चीज़
Curd / Yoghurt	दही
Curd is safe and good for you in pregnancy.	दही गर्भावस्था में सुरक्षित है और आपके लिए अच्छा है।
Made from pasteurised milk, it is a good source of calcium and protein, and the probiotics can help digestion. Set curd at home or use packaged dahi.	Pasteurised दूध से बना, यह Calcium और प्रोटीन का अच्छा स्रोत है, और इसके probiotics पाचन में मदद कर सकते हैं। घर पर दही जमाइए या पैकेट वाला दही लीजिए।
Chocolate	चॉकलेट
Chocolate is fine to enjoy in moderation.	चॉकलेट सीमित मात्रा में खाना ठीक है।
Chocolate contains a little caffeine, so it counts towards your daily caffeine total. A few squares are a lovely treat - just keep the overall amount sensible.	चॉकलेट में थोड़ा caffeine होता है, इसलिए यह आपके रोज़ के caffeine में गिना जाता है। कुछ टुकड़े एक प्यारी ख़ुशी हैं — बस कुल मात्रा समझदारी से रखिए।
Street Food	स्ट्रीट फ़ूड
It depends entirely on hygiene and freshness - the risk is contamination, not the dish itself.	यह पूरी तरह साफ़-सफ़ाई और ताज़गी पर निर्भर करता है — ख़तरा दूषित होने का है, ख़ुद व्यंजन का नहीं।
