babySnapshot.milestone	नमस्ते, दूसरी तिमाही
babySnapshot.weekHeadline	दूसरी तिमाही में आपका स्वागत है। आपका शिशु तेज़ी से बढ़ रहा है और बहुत सी माँओं को अब ज़्यादा ऊर्जा महसूस होने लगती है।
babySnapshot.size.fruit	एक नींबू
babySnapshot.size.length	लगभग 7.4 cm
babySnapshot.size.weight	लगभग 23 g
babySnapshot.reveal	माँ, हमने साथ मिलकर एक बिलकुल नए अध्याय में क़दम रखा है।
babyDevelopment.whatImDoing	मेरी आवाज़ की नलियाँ बन रही हैं, मेरी उँगलियों के निशान उभरने लगे हैं, और मेरी हड्डियाँ लगातार मज़बूत हो रही हैं। मैं अपनी नन्ही दुनिया में आज़ादी से घूम सकता हूँ।
momJourney.physicalChanges	बहुत सी माँओं की मितली कम होने लगती है और ऊर्जा धीरे-धीरे लौटती है। आपकी बच्चेदानी पेल्विस से ऊपर की ओर बढ़ती जा रही है।
momJourney.emotionalState	पहली तिमाही की अनिश्चितता की जगह अक्सर राहत और उत्साह ले लेते हैं।
momJourney.commonSymptoms[0]	बेहतर ऊर्जा
momJourney.commonSymptoms[1]	मितली कम होना
momJourney.commonSymptoms[2]	भूख बढ़ना
momJourney.commonSymptoms[3]	कभी-कभी सिरदर्द
momJourney.selfCareTip	लौटती हुई ऊर्जा का इस्तेमाल ऐसी अच्छी आदतें बनाने में कीजिए जो पूरी दूसरी तिमाही में आपका साथ दें।
momJourney.reassurance	हर गर्भावस्था अलग रफ़्तार से चलती है। अगर आपके लक्षणों में अभी बहुत बदलाव नहीं आया, तो यह भी सामान्य है।
nutrition.nutritionTheme	दूसरी तिमाही को ताक़त
nutrition.focusNutrients[0]	आयरन
nutrition.focusNutrients[1]	प्रोटीन
nutrition.whyNow	आपके शिशु के बढ़ने की रफ़्तार तेज़ हो रही है और आपका शरीर पहले से कहीं ज़्यादा ख़ून बना रहा है।
nutrition.foods[0]	पालक
nutrition.foods[1]	पनीर
nutrition.foods[2]	राजमा
nutrition.foods[3]	काला चना
nutrition.foods[4]	दालें
nutrition.indianSuperfoodOfTheWeek.food	पालक
nutrition.indianSuperfoodOfTheWeek.benefit	आयरन, folate और एंटीऑक्सिडेंट देता है, जो स्वस्थ विकास में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	पालक दाल, पालक पनीर, या सूप में मिलाकर।
nutrition.mealIdea	पालक पनीर के साथ रोटी और खीरे का सलाद।
nutrition.tip	सिर्फ़ ज़्यादा खाने के बजाय पोषण की गुणवत्ता पर ध्यान देते रहिए।
actionPlan.doThisWeek	अपने बंप की पहली तस्वीर लीजिए, एक प्रेगनेंसी डायरी शुरू कीजिए, और दूसरी तिमाही में क़दम रखने का जश्न मनाइए।
actionPlan.skipThisWeek	अगर गर्भावस्था हमेशा जादुई या रोमांचक न लगे तो ख़ुद को दोषी मानना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, बुख़ार, तेज़ सिरदर्द, या अचानक सूजन हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	अच्छी माँएँ अपने शिशु से तुरंत जुड़ाव महसूस करती हैं।
actionPlan.mythBuster.truth	जुड़ाव हर किसी में अलग तरह से बनता है और अक्सर धीरे-धीरे गहरा होता है।
garbhSanskar.affirmation	मैं इस नए अध्याय का आत्मविश्वास और कृतज्ञता के साथ स्वागत करती हूँ।
garbhSanskar.reflectionPrompt	माता-पिता बनने की कौन सी बात आपको सबसे ज़्यादा उत्साहित करती है?
garbhSanskar.spokenLine	माँ, मेरी अपनी पहचान बनने लगी है।
reflectAndRemember.reflectionPrompt	माता-पिता बनने की कौन सी बात आपको सबसे ज़्यादा उत्साहित करती है?
reflectAndRemember.journalPrompt	अपने शिशु के साथ ज़िंदगी की पहली तस्वीर जो आपके मन में आती है, उसे लिखिए।
reflectAndRemember.photoPrompt	अपने बंप की पहली ख़ास तस्वीर लीजिए और उसे अपनी दूसरी तिमाही की शुरुआत के रूप में सँभालकर रखिए।
partnerCorner.whatSheMayFeel	ज़्यादा ऊर्जावान, आशावान, और आने वाले महीनों को लेकर उत्साहित।
partnerCorner.whatYouCanDo	उन अच्छी चीज़ों के लिए प्रोत्साहित कीजिए जो वह पहली तिमाही में शायद नहीं कर पाई।
partnerCorner.oneMission	साथ मिलकर बंप की पहली आधिकारिक तस्वीर लीजिए और दूसरी तिमाही में क़दम रखने का जश्न मनाइए।
partnerCorner.shareMessage	आज से एक नया अध्याय शुरू ❤ हमारा नन्हा ख़ूबसूरती से बढ़ रहा है।
