Morning Calm Raga	प्रभात शांति राग
Begin the day with calmness	दिन की शुरुआत शांति से कीजिए
Baby Bonding Raga	शिशु से जुड़ाव का राग
A melody to share with your baby	एक धुन, जो आप शिशु के साथ बाँट सकती हैं
Evening Raga	संध्या राग
Unwind as the day softens	दिन ढलते-ढलते मन भी हल्का कीजिए
Sleep Raga	निद्रा राग
Drift gently into rest	धीरे-धीरे नींद में उतर जाइए
Relaxation Raga	विश्राम राग
Let the tension melt away	तनाव को पिघलकर बह जाने दीजिए
Gentle Rain	हल्की बारिश
Soft, steady rainfall	नरम, लगातार बरसती बूँदें
Ocean Waves	समुद्र की लहरें
Slow rolling waves	धीरे-धीरे लुढ़कती लहरें
Forest Morning	जंगल की सुबह
Birdsong and a gentle breeze	चिड़ियों की चहचहाहट और हल्की हवा
Temple Bells	मंदिर की घंटियाँ
Soft, distant bells	दूर से आती धीमी घंटियाँ
Body Awareness Journey	शरीर को महसूस करने की यात्रा
A guided full-body relaxation	पूरे शरीर को शिथिल करने वाला निर्देशित अभ्यास
Curiosity	जिज्ञासा
The Child Who Asked Why	वह बच्चा जो पूछता था "क्यों"
A short reflection on curiosity, wonder and lifelong learning.	जिज्ञासा, विस्मय और जीवन भर सीखते रहने पर एक छोटा-सा विचार।
What quality would you most like your child to keep as they grow?	बड़े होते हुए आपका बच्चा कौन-सा गुण अपने भीतर बचाए रखे, यह आप सबसे ज़्यादा चाहेंगी?
Patience	धीरज
How Trees Grow Slowly Yet Strongly	पेड़ धीरे उगते हैं, पर मज़बूत उगते हैं
A gentle reminder that the strongest things take time.	एक कोमल याद — जो सबसे मज़बूत होता है, उसे समय लगता है।
Where in your life could you offer yourself a little more patience?	अपने जीवन में कहाँ आप ख़ुद को थोड़ा और धीरज दे सकती हैं?
Kindness	दयालुता
The Warmth of a Small Gesture	एक छोटे-से इशारे की गर्माहट
How the smallest kindnesses leave the deepest mark.	सबसे छोटी दयालुता सबसे गहरा निशान छोड़ जाती है।
What small kindness has stayed with you over the years?	कौन-सी छोटी-सी दयालुता बरसों से आपके मन में बसी है?
Gratitude	कृतज्ञता
Counting Quiet Blessings	चुपचाप मिली छोटी नेमतें गिनना
Finding the ordinary moments worth holding onto.	रोज़ के उन पलों को पहचानना, जिन्हें सँभालकर रखना अच्छा लगे।
What is one small thing from today you feel grateful for?	आज की कौन-सी एक छोटी बात के लिए आपका मन शुक्रगुज़ार है?
Courage	साहस
The Little Boat and the Big Sea	नन्ही नाव और बड़ा समंदर
Courage is not the absence of fear, but moving with it.	साहस डर का न होना नहीं है — डर के साथ चलते रहना है।
What is one small, brave step you can take this week?	इस हफ़्ते आप कौन-सा एक छोटा, हिम्मत भरा क़दम उठा सकती हैं?
Wonder	विस्मय
The Night Full of Stars	तारों से भरी रात
Remembering how to look at the world with fresh eyes.	दुनिया को फिर से नई आँखों से देखना याद कर लेना।
When did you last feel genuine wonder?	आपको आख़िरी बार सच्चा विस्मय कब महसूस हुआ था?
Compassion	करुणा
The Bird with the Tired Wing	थके पंख वाली चिड़िया
On caring for others - and for yourself.	दूसरों का ख़याल रखने पर — और अपना भी।
How could you be a little gentler with yourself today?	आज आप ख़ुद के साथ थोड़ा और नरम कैसे हो सकती हैं?
Resilience	लचीलापन
The River That Found Its Way	वह नदी जिसने अपना रास्ता ढूँढ़ लिया
How softness can be its own kind of strength.	नरमी भी अपने आप में एक तरह की ताक़त होती है।
What is something difficult you have already moved through?	कौन-सी मुश्किल है जिसे आप पहले ही पार कर चुकी हैं?
Bhramari Breath	भ्रामरी प्राणायाम
A calming humming breath	गुनगुनाहट वाली, मन शांत करती साँस
Breathe in	साँस लीजिए
Hum out softly	धीरे से गुनगुनाते हुए छोड़िए
Deep Belly Breathing	गहरी पेट की साँस
Slow, grounding belly breaths	धीमी, मन को टिका देने वाली पेट की साँसें
Hold	रोकिए
Breathe out	साँस छोड़िए
Box Breathing	चौकोर साँस
Steady, balancing square breath	बराबर लय वाली, संतुलन देती साँस
Rest	ठहरिए
Calm Breathing	शांत साँस
A simple settling breath	मन को थमा देने वाली सरल साँस
Guided Relaxation	निर्देशित विश्राम
Release tension, head to toe	सिर से पाँव तक तनाव छोड़िए
Little one, you are so wanted. I am becoming your mother, and my body already knows just what to do.	नन्ही जान, तुम्हें कितना चाहा गया है। मैं तुम्हारी माँ बन रही हूँ, और मेरा शरीर पहले से जानता है कि उसे क्या करना है।
My darling, every single day my heart makes a little more room for you. I am strong, and I am yours.	मेरी जान, हर एक दिन मेरा दिल तुम्हारे लिए थोड़ी और जगह बना लेता है। मैं मज़बूत हूँ, और मैं तुम्हारी हूँ।
Hello, tiny love. You are safe inside me. We are learning this journey together - you and I, side by side.	सुनो, मेरे नन्हे प्यार। तुम मेरे भीतर सुरक्षित हो। यह सफ़र हम दोनों मिलकर सीख रहे हैं — तुम और मैं, एक साथ।
Sweet baby, I welcome you with my whole heart. I trust my body, and I trust the gentle way you are growing.	मेरे प्यारे शिशु, मैं पूरे दिल से तुम्हारा स्वागत करती हूँ। मुझे अपने शरीर पर भरोसा है, और जिस नरमी से तुम बढ़ रहे हो, उस पर भी।
I am calm, and I am ready. Every change in me is making a soft, safe home for you, my little one.	मैं शांत हूँ, और मैं तैयार हूँ। मुझमें होने वाला हर बदलाव तुम्हारे लिए एक नरम, सुरक्षित घर बना रहा है, मेरी नन्ही जान।
You are already loved beyond measure. Today I am kind to myself, so I can be kind to you.	तुमसे कितना प्यार है, इसका कोई नाप नहीं। आज मैं ख़ुद के साथ नरम हूँ, ताकि तुम्हारे साथ भी नरम रह सकूँ।
Once upon a time, there was a tiny seed… who dreamed of touching the SKY. 'I'm far too small!' it sighed. But the soft rain whispered, 'Just grow - one little leaf at a time.' And do you know what happened, my love? That tiny seed became a GREAT, tall tree!	बहुत पहले की बात है — एक नन्हा-सा बीज था… जो आसमान को छूने का सपना देखता था। 'मैं तो बहुत छोटा हूँ!' उसने आह भरी। पर हल्की बारिश धीरे से बोली, 'बस बढ़ते रहो — एक बार में एक पत्ता।' और पता है फिर क्या हुआ, मेरी जान? वही नन्हा बीज एक बहुत बड़ा, ऊँचा पेड़ बन गया!
Knock, knock! Who's there? It's the morning sun, peeking through the window - 'Good morning, little one!' it calls. And the birds all answer, 'Tweet! Tweet! Wake UP - it's a beautiful day!'	खट, खट! कौन है भला? अरे, यह तो सुबह का सूरज है, खिड़की से झाँकता हुआ — 'सुप्रभात, नन्ही जान!' वह पुकारता है। और सारी चिड़ियाँ जवाब देती हैं, 'चीं! चीं! उठो — कितना प्यारा दिन है!'
Listen… can you hear me? My voice goes soft and low… and then - bright and HIGH! This is how we'll talk, you and I. One day you'll giggle right back - and oh, how I cannot WAIT to hear it!	सुनो… मेरी आवाज़ सुनाई दे रही है? कभी मैं धीरे से बोलती हूँ, बहुत नरम… और फिर — एकदम चहककर, ऊँचे सुर में! ऐसे ही तो बातें करेंगे हम, तुम और मैं। एक दिन तुम खिलखिलाकर जवाब दोगे — और उस हँसी को सुनने का मुझे कितना इंतज़ार है!
Let me tell you about a clever little crow. He was SO thirsty! He found a pot - but the water sat low, low, low. 'What shall I do?' he wondered… Then - plop! plop! PLOP! - in went the pebbles, and the water rose UP. Clever crow! We never give up, do we, my love?	सुनो, एक चतुर नन्हे कौवे की बात बताती हूँ। उसे बहुत, बहुत प्यास लगी थी! उसे एक घड़ा मिला — पर पानी नीचे, बहुत नीचे था। 'अब क्या करूँ?' उसने सोचा… और फिर — छपाक! छपाक! छपाक! — कंकड़ गिरते गए, और पानी ऊपर आ गया। वाह, चतुर कौवा! हम भी हार नहीं मानते, है ना, मेरी जान?
Round and round the garden hums a gentle bee. Buzz, buzz, BUZZ! 'Hello, flowers!' she sings. And every flower nods - 'Hello, busy bee!' What a happy, humming, wonderful day.	बगिया में गोल-गोल घूमती एक नन्ही मधुमक्खी गुनगुनाती है। भन्न, भन्न, भन्न! 'नमस्ते, फूलो!' वह गाती है। और हर फूल सिर हिलाकर कहता है — 'नमस्ते, मेहनती मधुमक्खी!' कितना ख़ुश, कितना गुनगुनाता, कितना प्यारा दिन।
Close your eyes with me, little one. Picture the day we meet - soft light, gentle hands, and the voice you already know so well. We will do this together, as a team.	मेरे साथ आँखें बंद करो, नन्ही जान। उस दिन को देखो जब हम मिलेंगे — हल्की रोशनी, नरम हाथ, और वही आवाज़ जिसे तुम पहले से इतना पहचानते हो। हम यह साथ मिलकर करेंगे, एक टीम की तरह।
Soon, my love, you will make your way toward my arms. I am strong, you are strong, and we move as one. I am right here, and I will welcome you.	जल्द ही, मेरी जान, तुम अपना रास्ता बनाते हुए मेरी बाँहों तक आओगे। मैं मज़बूत हूँ, तुम मज़बूत हो, और हम दोनों एक होकर चलते हैं। मैं यहीं हूँ, और मैं तुम्हारा स्वागत करूँगी।
Imagine it, sweet baby: the very first time I hold you on my chest. Your tiny breath and my steady heartbeat - the two sounds you have always known, finally together.	ज़रा सोचो, मेरे प्यारे शिशु — वह पहला पल जब मैं तुम्हें अपने सीने से लगाऊँगी। तुम्हारी नन्ही साँस और मेरे दिल की एकसार धड़कन — वही दो आवाज़ें जिन्हें तुम हमेशा से जानते हो, आख़िरकार एक साथ।
On your birth day, we are a team. When you are ready, you will show me the way, and I will breathe you gently into the world. I trust you, and I trust us.	तुम्हारे जन्म के दिन हम एक टीम हैं। जब तुम तैयार होगे, तुम मुझे रास्ता दिखाओगे, और मैं अपनी साँसों से तुम्हें नरमी से इस दुनिया में ले आऊँगी। मुझे तुम पर भरोसा है, और हम दोनों पर भी।
Picture us, little one - you nestled close, me holding you near. Whatever the day brings, we meet it together. You are not arriving alone; I am right here with you.	हम दोनों को देखो, नन्ही जान — तुम मुझसे सटे हुए, मैं तुम्हें अपने पास थामे हुए। वह दिन जो भी लेकर आए, हम उसका सामना साथ करेंगे। तुम अकेले नहीं आ रहे; मैं यहीं, तुम्हारे साथ हूँ।
Calming sound can ease early-pregnancy stress and help you settle into the day.	शांत करने वाली आवाज़ शुरुआती गर्भावस्था का तनाव हल्का कर सकती है और दिन में मन जमने में मदद करती है।
Your baby is beginning to hear - gentle melodies are soothing for you both.	आपका शिशु सुनना शुरू कर रहा है — कोमल धुनें आप दोनों के लिए सुकून भरी हैं।
Calming music may help create a relaxing environment as birth approaches.	जन्म पास आते-आते शांत संगीत एक सुकून भरा माहौल बनाने में मदद कर सकता है।
Begin gently; the smallest steady step still moves you forward.	नरमी से शुरू कीजिए; सबसे छोटा लेकिन थमा हुआ क़दम भी आगे ले जाता है।
You do not have to do everything at once - showing up softly is enough.	सब कुछ एक साथ करना ज़रूरी नहीं — बस धीरे से हाज़िर हो जाना काफ़ी है।
Consistency, not intensity, builds calm.	शांति ज़ोर से नहीं, निरंतरता से बनती है।
What is one small, kind thing you can do for yourself today?	आज आप अपने लिए कौन-सी एक छोटी, नरम बात कर सकती हैं?
A calm mind is a quiet gift you pass to your child.	शांत मन एक चुपचाप दिया गया तोहफ़ा है, जो आप अपने बच्चे तक पहुँचाती हैं।
Your peace becomes your baby's first felt experience of the world.	आपका सुकून ही वह पहला अनुभव है जिससे आपका शिशु दुनिया को महसूस करता है।
Tending to your own calm is also caring for your baby.	अपनी शांति सँभालना भी शिशु की देखभाल है।
What helped you feel most at ease this week?	इस हफ़्ते किस चीज़ ने आपको सबसे ज़्यादा सुकून दिया?
Trust the body that has carried you this far.	जिस शरीर ने आपको यहाँ तक पहुँचाया है, उस पर भरोसा रखिए।
As birth nears, confidence and rest matter as much as preparation.	जन्म पास आते-आते, तैयारी जितना ही ज़रूरी है भरोसा और आराम।
Strength can be soft - trusting is its own kind of courage.	ताक़त नरम भी हो सकती है — भरोसा करना अपने आप में एक साहस है।
What are you most looking forward to about meeting your baby?	शिशु से मिलने की बात सोचकर आपको सबसे ज़्यादा किसका इंतज़ार है?
Word Search	शब्द खोज
Find the hidden words - a quiet few minutes.	छिपे हुए शब्द ढूँढ़िए — कुछ शांत मिनट।
Sudoku	सुडोकू
A gentle number puzzle to settle a busy mind.	व्यस्त मन को थमाने के लिए एक हल्की अंक पहेली।
Logic Puzzle	तर्क पहेली
A light brain-teaser for focused calm.	ध्यान टिकाने वाली एक हल्की दिमाग़ी पहेली।
Memory Match	याददाश्त जोड़ी
A simple memory game to relax into.	आराम से खेलने लायक एक सरल याददाश्त का खेल।
Say these affirmations aloud - welcome your baby, and let your own confidence grow with every word.	ये संकल्प बोलकर कहिए — अपने शिशु का स्वागत कीजिए, और हर शब्द के साथ अपना भरोसा भी बढ़ने दीजिए।
Your baby's hearing is awake now. Read aloud with feeling - let your voice rise, fall and play, so they learn its music.	आपके शिशु की सुनने की शक्ति अब जाग चुकी है। भाव से बोलकर पढ़िए — आवाज़ को ऊपर उठने दीजिए, नीचे आने दीजिए, खेलने दीजिए, ताकि शिशु उसका संगीत पहचान ले।
Picture the day you meet, and speak it softly - you and your baby, a team getting ready together.	उस दिन की तस्वीर मन में लाइए जब आप मिलेंगे, और उसे धीरे से बोलिए — आप और आपका शिशु, साथ मिलकर तैयार होती एक टीम।
Move gently and stop if you feel dizzy or unwell.	नरमी से हिलिए-डुलिए, और चक्कर या तकलीफ़ लगे तो रुक जाइए।
Avoid lying flat on your back for long; keep movements slow.	देर तक सीधी पीठ के बल लेटने से बचिए; हरकतें धीमी रखिए।
Support your bump, go slow, and rest whenever you need to.	बंप को सहारा दीजिए, धीरे चलिए, और जब भी ज़रूरत लगे आराम कीजिए।
Sip water through the day and eat small, frequent meals.	दिन भर थोड़ा-थोड़ा पानी पीती रहिए और थोड़े-थोड़े अंतराल पर हल्का खाइए।
Steady hydration and small meals ease nausea and keep energy stable in the first trimester.	लगातार पानी और छोटे-छोटे आहार पहली तिमाही में मतली कम करते हैं और ऊर्जा एक-सी बनाए रखते हैं।
Lemon-ginger water with a few soaked almonds.	नींबू-अदरक का पानी और कुछ भीगे बादाम।
Swap one heavy meal for lighter, frequent snacks.	एक भारी भोजन की जगह हल्के, थोड़े-थोड़े नाश्ते ले लीजिए।
Keep a glass of water by your bed for the morning.	सुबह के लिए एक गिलास पानी बिस्तर के पास रख लीजिए।
Add a good source of protein and iron to today's meals.	आज के खाने में Protein और Iron का एक अच्छा स्रोत जोड़ लीजिए।
The second trimester is a growth phase - protein, iron and healthy fats support it.	दूसरी तिमाही बढ़त का दौर है — Protein, Iron और अच्छी वसा इसे सहारा देते हैं।
Moong dal khichdi with a side of curd.	मूँग दाल की खिचड़ी, साथ में दही।
Swap white rice for a dal-and-vegetable bowl.	सफ़ेद चावल की जगह दाल और सब्ज़ी का एक कटोरा लीजिए।
Pair iron-rich food with vitamin C (lemon, amla) for absorption.	Iron वाले खाने के साथ Vitamin C (नींबू, आँवला) लीजिए, ताकि वह अच्छे से सोखा जाए।
Focus on fibre and a light, early dinner.	फ़ाइबर पर ध्यान दीजिए और रात का खाना हल्का और जल्दी रखिए।
Fibre eases the constipation common late in pregnancy, and a light dinner supports sleep.	फ़ाइबर गर्भावस्था के आख़िरी दौर में आम कब्ज़ को आसान करता है, और हल्का रात का खाना नींद में मदद करता है।
Vegetable soup with a fruit for dessert.	सब्ज़ियों का सूप, और मीठे में एक फल।
Swap a late, heavy dinner for a lighter early one.	देर रात के भारी खाने की जगह जल्दी और हल्का खाना लीजिए।
Dim the lights and screens an hour before bed.	सोने से एक घंटा पहले रोशनी और स्क्रीन धीमी कर दीजिए।
Evening	शाम
Morning	सुबह
There was once a child who asked "why" about everything. Why is the sky blue? Why do birds sing in the morning? Why does the moon follow us home?\n\n	एक बच्चा था जो हर बात पर "क्यों" पूछता था। आसमान नीला क्यों है? चिड़ियाँ सुबह ही क्यों गाती हैं? चाँद हमारे साथ-साथ घर तक क्यों आता है?\n\n
At first the grown-ups answered quickly, and then they grew tired of answering at all. But the child kept asking - not to be difficult, but because the world felt endlessly interesting.\n\n	पहले बड़े जल्दी-जल्दी जवाब देते रहे, फिर जवाब देते-देते थक गए। पर बच्चा पूछता रहा — तंग करने के लिए नहीं, बल्कि इसलिए कि उसे यह दुनिया कभी ख़त्म न होने वाली दिलचस्प लगती थी।\n\n
Years later, that same curiosity became the child's greatest gift. It made them a careful listener, a patient learner, and someone who never stopped growing.\n\n	बरसों बाद वही जिज्ञासा उसकी सबसे बड़ी पूँजी बन गई। उसी ने उसे ध्यान से सुनने वाला, धीरज से सीखने वाला और कभी न रुकने वाला इंसान बनाया।\n\n
Every child is born with this spark. It does not need to be taught - only protected, welcomed, and answered with a little patience.	यह चिंगारी हर बच्चे के साथ जन्म लेती है। इसे सिखाना नहीं पड़ता — बस बचाना पड़ता है, अपनाना पड़ता है, और थोड़े धीरज से जवाब देना पड़ता है।
A tree does not rush. In its first year it may look like nothing more than a thin stem, easily bent by the wind.\n\n	पेड़ को कोई जल्दी नहीं होती। पहले साल में वह बस एक पतली-सी डंडी जैसा दिखता है, जिसे हवा भी झुका दे।\n\n
But beneath the soil, quietly and unseen, it is doing the most important work - sending roots deep and wide. Only later does it rise tall, and by then it can hold the weight of storms.\n\n	पर मिट्टी के नीचे, चुपचाप और किसी की नज़र से दूर, वह सबसे ज़रूरी काम कर रहा होता है — जड़ें गहरी और दूर तक फैला रहा होता है। ऊँचा वह बाद में उठता है, और तब तक तूफ़ानों का बोझ सँभालने लायक हो चुका होता है।\n\n
Pregnancy is a little like this. So much of what matters is happening quietly, unseen, day by day. You do not have to feel productive for important things to be growing.\n\n	गर्भावस्था भी कुछ ऐसी ही है। जो सबसे ज़रूरी है, वह चुपचाप, दिखे बिना, दिन-ब-दिन हो रहा है। कुछ बड़ा पनपने के लिए यह ज़रूरी नहीं कि आपको हर दिन कुछ करते हुए महसूस हो।\n\n
Slow is not the same as still. You and your baby are both becoming, a little more each day.	धीरे चलना रुक जाना नहीं होता। आप भी बन रही हैं और आपका शिशु भी — हर दिन थोड़ा और।
We often think kindness has to be grand - a big gift, a great sacrifice. But ask anyone about a kindness they still remember, and it is almost always something small.\n\n	हमें अक्सर लगता है कि दयालुता कोई बड़ी बात होनी चाहिए — कोई बड़ा तोहफ़ा, कोई बड़ा त्याग। पर किसी से भी पूछिए कि आज तक कौन-सी दयालुता याद है, तो जवाब लगभग हमेशा कोई छोटी-सी बात होती है।\n\n
A warm word on a hard day. Someone who waited. Someone who noticed. These tiny moments stay with us for years.\n\n	मुश्किल दिन पर कहा गया एक नरम शब्द। कोई जो रुककर इंतज़ार कर गया। कोई जिसने ध्यान दे दिया। ये नन्हे पल बरसों साथ रहते हैं।\n\n
Children learn kindness not from lectures but from feeling it, again and again, in ordinary moments. The way they are spoken to becomes the way they speak to the world.\n\n	बच्चे दयालुता उपदेश से नहीं सीखते, उसे बार-बार महसूस करके सीखते हैं — रोज़ के मामूली पलों में। जिस तरह उनसे बात की जाती है, वही तरीक़ा वे दुनिया से बात करने में अपनाते हैं।\n\n
Your gentleness, even now, is already shaping a gentle heart.	आपकी कोमलता, अभी से, एक कोमल दिल गढ़ रही है।
Gratitude is not about pretending everything is perfect. It is about noticing what is good, even alongside what is hard.\n\n	कृतज्ञता का मतलब यह दिखावा नहीं कि सब कुछ ठीक है। इसका मतलब है — जो मुश्किल है उसके साथ-साथ, जो अच्छा है उसे भी देख लेना।\n\n
