A moment to build the father you want to be.	एक पल, वैसा पिता बनने की ओर जैसा आप बनना चाहते हैं।	Wo pita banne ka ek pal, jo aap banna chahte hain.	lib/data/father\fatherDailyContent.json/0/intro
Becoming A Father	पिता बनना	Pita Banna	lib/data/father\fatherDailyContent.json/0/learn/module
Presence Over Provision	साथ होना, सिर्फ़ देना नहीं	Saath Hona, Sirf Dena Nahi	lib/data/father\fatherDailyContent.json/0/learn/title
Your presence is the first and greatest gift you will ever give. It lays the foundation for trust and security.	आपका साथ ही पहला और सबसे बड़ा तोहफ़ा है जो आप कभी देंगे। भरोसे और सुरक्षा की नींव यहीं से पड़ती है।	Aapka saath hi pehla aur sabse bada tohfa hai jo aap denge. Yahi bharose aur surakshakti ki neev rakhta hai.	lib/data/father\fatherDailyContent.json/0/learn/insight
Many men believe that being a good father means being a good provider. Providing matters — but a child rarely remembers the size of the house. They remember whether you were there. Presence is not grand or expensive. It is showing up, again and again, in small ordinary moments: a hand on the shoulder, a question asked and truly listened to, a bedtime you did not miss. The work you do to provide is one kind of love. The time you choose to give is the proof of it.	बहुत से पुरुष मानते हैं कि अच्छा पिता होने का मतलब है अच्छा कमाने वाला होना। कमाना ज़रूरी है — पर बच्चे को शायद ही याद रहता है कि घर कितना बड़ा था। उसे यह याद रहता है कि आप वहाँ थे या नहीं। साथ होना भारी या महँगा नहीं होता। यह बार-बार, छोटे-छोटे आम पलों में हाज़िर रहना है: कंधे पर एक हाथ, एक सवाल जो पूछा और सच में सुना गया, एक रात जो आपने नहीं छोड़ी। जो आप कमाने के लिए करते हैं, वह प्यार का एक रूप है। जो वक़्त आप देना चुनते हैं, वही उसका सबूत है।	Kai mard maante hain ki achha pita banne ka matlab hai achha kamaane wala banna. Dena zaroori hai — par bachcha shaayad hi ghar ka size yaad rakhta hai. Wo yeh yaad rakhta hai ki aap uske saath the ya nahi. Saath hona bhaari ya mehnga nahi hota. Yeh baar-baar chhote, aam palon mein haazir hona hai: kandhe par ek haath, ek sawaal jo poochha aur sach mein suna gaya, ek raat jo aapne miss nahi ki. Jo aap kamaane ke liye karte hain wo ek tarah ka pyaar hai. Jo waqt aap dena chunte hain, wahi uska saboot hai.	lib/data/father\fatherDailyContent.json/0/learn/expanded
Decades of work on child development point to one quiet truth: a child's sense of safety grows from a caregiver who is consistently present and responsive — not from what the family owns. Long before your baby can speak, they are quietly learning whether the world, and you, can be relied upon. The good news is gentle, not pressured: you do not have to be perfect or always available. You only have to keep returning. That steady returning is what your child will one day carry into the world as their own quiet confidence.	बच्चों के विकास पर दशकों की रिसर्च एक शांत सच की ओर इशारा करती है: बच्चे में सुरक्षा का एहसास उस इंसान से बढ़ता है जो लगातार साथ रहता है और जवाब देता है — इससे नहीं कि परिवार के पास क्या है। बोलना सीखने से बहुत पहले ही आपका शिशु चुपचाप यह सीख रहा होता है कि दुनिया, और आप, भरोसे लायक हैं या नहीं। अच्छी बात नरम है, दबाव वाली नहीं: आपको बेदाग़ या हर वक़्त मौजूद रहने की ज़रूरत नहीं। आपको बस लौटते रहना है। यही लगातार लौटना एक दिन आपका बच्चा अपने भीतर के शांत आत्मविश्वास की तरह दुनिया में ले जाएगा।	Bachchon ke vikaas par dashakon ki research ek shaant sach ki taraf ishaara karti hai: bachche ki surakshakti ka ehsaas us caregiver se badhta hai jo lagataar saath aur responsive ho — is se nahi ki parivaar ke paas kya hai. Aapka baby bolne se bahut pehle hi yeh seekh raha hota hai ki duniya, aur aap, bharose ke laayak hain ya nahi. Achhi baat pyaar bhari hai, pressure nahi: aapko perfect ya har waqt available rehne ki zaroorat nahi. Aapko bas baar-baar lautna hai. Yahi sthir lautna ek din aapka bachcha apne andar ke shaant aatmvishwaas ki tarah duniya mein le jayega.	lib/data/father\fatherDailyContent.json/0/learn/deepDive
A child remembers who showed up, not what was bought.	बच्चे को याद रहता है कि कौन साथ था, यह नहीं कि क्या ख़रीदा गया।	Bachche ko yaad rehta hai kaun saath tha, na ki kya khareeda gaya.	lib/data/father\fatherDailyContent.json/0/learn/remember
Your Biggest Life Lesson	आपकी ज़िंदगी का सबसे बड़ा सबक़	Aapki Zindagi Ka Sabse Bada Sabak	lib/data/father\fatherDailyContent.json/0/talkToBaby/title
Tell your baby about the one lesson that changed everything for you.	अपने शिशु को उस एक सबक़ के बारे में बताइए जिसने आपके लिए सब कुछ बदल दिया।	Apne baby ko us ek sabak ke baare mein bataayein jisne aap ke liye sab kuch badal diya.	lib/data/father\fatherDailyContent.json/0/talkToBaby/prompt
One day your child will stand at the same crossroads you once did — and your voice will already be there.	एक दिन आपका बच्चा उसी मोड़ पर खड़ा होगा जहाँ कभी आप थे — और आपकी आवाज़ पहले से वहाँ होगी।	Ek din aapka bachcha usi mod par khada hoga jahan kabhi aap the — aur aapki aawaz pehle se wahan hogi.	lib/data/father\fatherDailyContent.json/0/talkToBaby/motivation
The Quiet Support	ख़ामोश साथ	Khamosh Saath	lib/data/father\fatherDailyContent.json/0/mission/title
Bring her a glass of water or her favourite snack — without being asked.	उन्हें एक गिलास पानी या उनका पसंदीदा नाश्ता लाकर दीजिए — बिना माँगे।	Use ek glass paani ya uska pasandeeda snack laakar dein — bina maange.	lib/data/father\fatherDailyContent.json/0/mission/action
You found out. Now what?	आपको पता चल गया। अब आगे क्या?	Aapko pata chal gaya. Ab aage kya?	lib/data/father\journey_week_04.json/father_insight/title
Most fathers feel less than they expected to at this moment, and quietly worry about that. Nothing is wrong with you. For her it is already physical; for you it is still an idea. It becomes real later, and that is normal.	ज़्यादातर पिता इस पल पर उतना महसूस नहीं करते जितना उन्होंने सोचा था, और चुपचाप इसी बात से परेशान रहते हैं। आपमें कुछ ग़लत नहीं है। उनके लिए यह अभी से शरीर में है; आपके लिए अभी भी एक ख़याल है। यह बाद में सच लगने लगता है, और यह सामान्य है।	Zyadatar pita is pal par utna mehsoos nahi karte jitna unhone socha tha, aur chupke se pareshan hote hain. Aap mein kuch galat nahi hai. Uske liye yeh abhi se physical hai; aapke liye abhi bhi ek khayal hai. Yeh baad mein asli lagta hai, aur yeh normal hai.	lib/data/father\journey_week_04.json/father_insight/body
The waiting is the hard part	इंतज़ार ही मुश्किल हिस्सा है	Intezaar hi mushkil hissa hai	lib/data/father\journey_week_05.json/father_insight/title
