morning sickness	सुबह की मिचली
low energy	थकान
backPain	backPain
back ache	कमर दर्द
kamar dard	पीठ दर्द
sir dard	सिर दर्द
troubleSleeping	troubleSleeping
moodSwings	moodSwings
legCramps	legCramps
leg cramp	पैर में ऐंठन
babyHiccups	babyHiccups
baby movement	शिशु की हलचल
braxtonHicks	braxtonHicks
practice contractions	झूठे संकुचन
false labour	झूठा दर्द
reduced movement	हलचल कम
no movement	हलचल नहीं
severe headache	तेज सिर दर्द
tej sir dard	सिर में तेज दर्द
sudden swelling	अचानक सूजन
face swelling	चेहरे पर सूजन
achaanak soojan	अचानक सूजना
water broke	पानी फटना
fluid leak	पानी रिसना
