babySnapshot.milestone	सही मुद्रा में आना
babySnapshot.weekHeadline	आपका शिशु शायद सिर नीचे वाली मुद्रा में आ रहा है और जन्म की आख़िरी तैयारियाँ कर रहा है।
babySnapshot.size.fruit	एक ख़रबूज़ा
babySnapshot.size.length	लगभग 46.2 cm
babySnapshot.size.weight	लगभग 2500 g
babySnapshot.reveal	माँ, मैं उस बड़े दिन के लिए अपनी सबसे सही मुद्रा ढूँढ रहा हूँ। अब हम बहुत क़रीब हैं।
babyDevelopment.whatImDoing	मेरे फेफड़े लगभग परिपक्व हो चुके हैं, मेरा दिमाग़ तेज़ी से बनता जा रहा है, और मुझ पर हर दिन चर्बी चढ़ रही है। इस दौर में बहुत से शिशु सिर नीचे वाली मुद्रा में आने लगते हैं।
babyDevelopment.funFact	जन्म के बाद भी मेरा दिमाग़ तेज़ी से बढ़ता रहेगा, पर उसकी बहुत सी ज़रूरी नींव अभी रखी जा रही है।
momJourney.physicalChanges	शिशु के बढ़ने के साथ आपको पेल्विस पर ज़्यादा दबाव, बार-बार बाथरूम जाना और तेज़ खिंचाव महसूस हो सकता है।
momJourney.emotionalState	उत्साह और इंतज़ार के साथ अक्सर यह जिज्ञासा भी रहती है कि प्रसव कब शुरू होगा।
momJourney.commonSymptoms[0]	पेल्विस पर दबाव
momJourney.commonSymptoms[1]	बार-बार पेशाब आना
momJourney.commonSymptoms[2]	कमर दर्द
momJourney.commonSymptoms[3]	Braxton Hicks संकुचन
momJourney.selfCareTip	पानी पीती रहिए और जब भी शरीर माँगे, आराम कीजिए। अब ऊर्जा बचाकर रखना ज़रूरी है।
momJourney.reassurance	इस दौर में Braxton Hicks संकुचन आम हैं और अक्सर आपके शरीर का प्रसव के लिए तैयार होने का तरीक़ा होते हैं।
nutrition.nutritionTheme	ऊर्जा बनाए रखना
nutrition.focusNutrients[0]	प्रोटीन
nutrition.focusNutrients[1]	जटिल कार्बोहाइड्रेट
nutrition.whyNow	आपका शरीर कड़ी मेहनत कर रहा है और आप दोनों के लिए लगातार ऊर्जा चाहिए।
nutrition.foods[0]	ओट्स
nutrition.foods[1]	पनीर
nutrition.foods[2]	मूंग दाल
nutrition.foods[3]	ब्राउन राइस
nutrition.foods[4]	दही
nutrition.indianSuperfoodOfTheWeek.food	ओट्स
nutrition.indianSuperfoodOfTheWeek.benefit	धीरे-धीरे मिलने वाली ऊर्जा और फ़ाइबर देते हैं, जो पाचन और टिकाऊ ऊर्जा में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	ओट्स का दलिया, सब्ज़ी वाला ओट्स उपमा, या रातभर भिगोए ओट्स।
nutrition.mealIdea	सब्ज़ी वाला ओट्स उपमा, दही और भुनी मूँगफली।
nutrition.tip	अगर भारी खाना असहज लग रहा हो, तो थोड़ा-थोड़ा करके बार-बार खाइए।
actionPlan.doThisWeek	Braxton Hicks और असली प्रसव के संकुचनों में फ़र्क़ समझ लीजिए।
actionPlan.skipThisWeek	पेट में हर बार कसाव महसूस होने पर घबरा जाना।
actionPlan.redFlags	अगर पानी जैसा स्राव, नियमित दर्द भरे संकुचन, ब्लीडिंग, तेज़ सिरदर्द, नज़र में बदलाव, अचानक सूजन या शिशु की हलचल कम हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	हर संकुचन का मतलब है कि प्रसव शुरू हो गया।
actionPlan.mythBuster.truth	Braxton Hicks संकुचन आम हैं और अक्सर असली प्रसव के संकुचनों से अलग होते हैं।
garbhSanskar.affirmation	मेरा शरीर समझदारी से जन्म की तैयारी कर रहा है।
garbhSanskar.reflectionPrompt	अपनी गर्भावस्था के सफ़र की किस बात पर आपको सबसे ज़्यादा गर्व है?
garbhSanskar.spokenLine	माँ, मैं आपसे मिलने की तैयारी कर रहा हूँ।
reflectAndRemember.reflectionPrompt	अपनी गर्भावस्था के सफ़र की किस बात पर आपको सबसे ज़्यादा गर्व है?
reflectAndRemember.journalPrompt	गर्भावस्था में उभरे अपने सबसे मज़बूत रूप के बारे में लिखिए।
reflectAndRemember.photoPrompt	एक तस्वीर लीजिए जो दिखाए कि गर्भावस्था की शुरुआत से अब तक आप कितनी दूर आ गई हैं।
partnerCorner.whatSheMayFeel	उत्साहित, बेसब्र, और इस बात से सजग कि आने वाले हफ़्तों में प्रसव शुरू हो सकता है।
partnerCorner.whatYouCanDo	शांत, व्यवस्थित और भरोसा देने वाले बनिए। ग़ैर-ज़रूरी तनाव कम कीजिए।
partnerCorner.oneMission	साथ मिलकर प्रसव के लक्षण दोहराइए और ज़रूरी नंबर आसानी से मिलने वाली जगह रखिए।
partnerCorner.shareMessage	हम लगभग पहुँच ही गए हैं ❤
