0	मतली
1	बहुत आम, ख़ासकर पहली तिमाही में।
2	बढ़ते गर्भावस्था हार्मोन पेट को परेशान कर सकते हैं, अक्सर सुबह।
3	थोड़ा-थोड़ा, बार-बार खाइए।
4	Crackers जैसे सूखे स्नैक्स पास रखिए।
5	अदरक या नींबू पानी पीजिए।
6	अगर पानी भी न रुक पाए या वज़न गिर रहा हो, डॉक्टर से संपर्क कीजिए।
7	सीने में जलन
8	दूसरी और तीसरी तिमाही में बहुत आम।
9	हार्मोन पेट के valve को ढीला करते हैं, और बढ़ती बच्चेदानी दबाव डालती है।
10	छोटे भोजन खाइए।
11	खाने के तुरंत बाद मत लेटिए।
12	परेशान करने वाले खाने पहचानिए और उनसे बचिए।
13	अगर यह तेज़, लगातार हो या खाने-पीने में रुकावट दे, डॉक्टर से बात कीजिए।
14	क़ब्ज़
15	पूरी गर्भावस्था में आम।
16	गर्भावस्था के हार्मोन पाचन धीमा करते हैं, और Iron सप्लीमेंट इसमें जोड़ सकते हैं।
17	ख़ूब पानी पीजिए।
18	Fibre खाइए — फल, सब्ज़ियाँ, साबुत अनाज।
19	हल्की रोज़ाना हलचल मदद करती है।
20	अगर दर्द हो या इन उपायों के बाद भी रहे, डॉक्टर से पूछिए।
21	थकान
22	बहुत आम, ख़ासकर गर्भावस्था की शुरुआत और अंत में।
23	आपका शरीर शिशु की बढ़त के लिए बहुत मेहनत कर रहा है।
24	जब शरीर कहे, आराम कीजिए।
25	छोटी झपकी मदद करती है।
26	पानी पीती रहिए और समय पर खाइए।
27	अगर साँस फूले, चक्कर आए या बहुत ज़्यादा थकान हो, डॉक्टर को बताइए।
28	कमर दर्द
29	बंप बढ़ने के साथ आम।
30	ज़्यादा वज़न और बदलती मुद्रा कमर पर ज़ोर डालती है।
31	बैठते वक़्त कमर को सहारा दीजिए।
32	सपाट, आरामदायक जूते पहनिए।
33	हल्के stretches और चलना।
34	अगर दर्द तेज़, अचानक या दूसरे लक्षणों के साथ हो, डॉक्टर से संपर्क कीजिए।
35	सिर दर्द
36	काफ़ी आम, अक्सर गर्भावस्था की शुरुआत में।
37	हार्मोन, थकान और ख़ून के बहाव के बदलाव सिर दर्द ला सकते हैं।
38	शांत, अँधेरे कमरे में आराम कीजिए।
39	पानी पीती रहिए और समय पर खाइए।
40	गर्दन और कंधे को हल्का ढीला कीजिए।
41	तेज़ सिर दर्द, या धुँधली नज़र/सूजन के साथ हो, तो तुरंत मेडिकल मदद लीजिए।
42	नींद न आना
43	आम, ख़ासकर गर्भावस्था के बाद के हिस्से में।
44	बढ़ता बंप, हलचल और बार-बार पेशाब नींद ख़राब कर सकते हैं।
45	घुटनों के बीच तकिया रखिए।
46	सोने से पहले शांति से ढीला पड़िए।
47	दिन में जब मिले आराम कीजिए।
48	अगर नींद बिलकुल न आए या बहुत उदासी हो, डॉक्टर से बात कीजिए।
49	मन का बदलना
50	पूरी गर्भावस्था में बहुत आम।
51	हार्मोन के बदलाव और ज़िंदगी के बड़े बदलाव भावनाएँ बदल सकते हैं।
52	ख़ुद पर नरमी रखिए।
53	किसी अपने से बात कीजिए।
54	आराम और छोटी ख़ुशियाँ मदद करती हैं।
55	अगर लगातार उदासी, घबराहट या सँभालना मुश्किल लगे, डॉक्टर से ज़रूर बात कीजिए।
56	सूजन
57	तीसरी तिमाही में आम, ख़ासकर पैरों और टख़नों में।
58	शरीर ज़्यादा तरल रखता है, और बढ़ती बच्चेदानी ख़ून की वापसी धीमी करती है।
59	जब मिले पैर ऊपर रखिए।
60	पानी पीती रहिए।
61	लंबे समय खड़ी मत रहिए।
62	चेहरे/हाथों की अचानक सूजन, या सिर दर्द के साथ, तो तुरंत डॉक्टर की सलाह लीजिए।
63	टाँग की ऐंठन
64	आम, अक्सर रात को गर्भावस्था के बाद के दौर में।
65	रक्त-संचार और खनिजों के बदलाव मांसपेशियों में ऐंठन ला सकते हैं।
66	पिंडली को हल्का stretch कीजिए।
67	पानी पीती रहिए।
68	हल्की रोज़ाना हलचल।
69	अगर टाँग लाल, सूजी, गरम या दर्द भरी हो, तुरंत डॉक्टर से संपर्क कीजिए।
70	शिशु की हिचकी
71	आम और अक्सर तीसरी तिमाही में सेहतमंद संकेत।
72	आपका शिशु साँस का अभ्यास करता है, जो छोटी लयबद्ध कूद जैसी लग सकती है।
73	इस पल का आनंद लीजिए — यह अक्सर तसल्ली देने वाला संकेत है।
74	अगर कभी शिशु की हलचल में बदलाव की चिंता हो, मैटरनिटी यूनिट से संपर्क कीजिए।
75	Braxton Hicks
76	तीसरी तिमाही में आम।
77	आपकी बच्चेदानी अनियमित, अक्सर बिना दर्द के कसाव से "अभ्यास" करती है।
78	मुद्रा बदलिए या आराम कीजिए।
79	पानी पीजिए।
80	इनके दौरान धीरे साँस लीजिए।
81	अगर कसाव नियमित, दर्द भरे या बार-बार हों, डॉक्टर से संपर्क कीजिए।
82	तेज़ ब्लीडिंग
83	इस पर इंतज़ार नहीं, तुरंत क़दम उठाइए।
85	तेज़ vaginal bleeding के लिए तुरंत देखभाल चाहिए — अभी डॉक्टर या मैटरनिटी यूनिट से संपर्क कीजिए।
86	शिशु की हलचल कम
87	हमेशा जाँचने लायक़ — कभी मत सोचिए कि आप ज़्यादा प्रतिक्रिया कर रही हैं।
89	अगर शिशु की हलचल धीमी हो या साफ़ तौर पर बदले, तुरंत मैटरनिटी यूनिट से संपर्क कीजिए — कभी भी, दिन हो या रात।
90	तेज़ सिर दर्द
91	ख़ासकर नज़र में बदलाव या सूजन के साथ।
93	तेज़ सिर दर्द, ख़ासकर धुँधली नज़र या सूजन के साथ, गंभीर हो सकता है — तुरंत मेडिकल देखभाल लीजिए।
94	अचानक सूजन
95	चेहरे, हाथों या पैरों की अचानक सूजन।
97	अचानक सूजन के लिए तुरंत जाँच ज़रूरी हो सकती है — डॉक्टर से संपर्क कीजिए।
98	तरल का रिसाव
99	तरल का अचानक बहाव या लगातार रिसाव।
101	तरल का बहाव या रिसाव मतलब आपका पानी टूट सकता है — मैटरनिटी यूनिट से संपर्क कीजिए।
