babySnapshot.milestone	रोग-प्रतिरोधक क्षमता बनना
babySnapshot.weekHeadline	आपके शिशु का वज़न लगातार बढ़ रहा है और उसे आपसे ज़रूरी रोग-प्रतिरोधक सुरक्षा मिल रही है।
babySnapshot.size.fruit	एक अनानास
babySnapshot.size.length	लगभग 43.7 cm
babySnapshot.size.weight	लगभग 2100 g
babySnapshot.reveal	माँ, आप मुझे जन्म से पहले ही सुरक्षा देने लगी हैं।
babyDevelopment.whatImDoing	मेरा दिमाग़ और फेफड़े परिपक्व होते जा रहे हैं, और मुझे आपसे ऐसी एंटीबॉडीज़ मिल रही हैं जो जन्म के बाद मेरी रक्षा करेंगी। मुझ पर चर्बी चढ़ रही है और मैं हर दिन मज़बूत हो रहा हूँ।
babyDevelopment.funFact	नवजातों को बीमारियों से बचाने वाली बहुत सी एंटीबॉडीज़ उन्हें गर्भावस्था के आख़िरी हफ़्तों में अपनी माँ से मिलती हैं।
momJourney.physicalChanges	शिशु के बढ़ने से हरकतें ज़्यादा मज़बूत पर कम उछल-कूद वाली लग सकती हैं, क्योंकि बच्चेदानी में जगह कम होती जा रही है।
momJourney.emotionalState	आप उत्साहित, रक्षात्मक, और शिशु के आने की तैयारी पर ज़्यादा केंद्रित महसूस कर सकती हैं।
momJourney.commonSymptoms[0]	पेल्विस पर दबाव
momJourney.commonSymptoms[1]	साँस फूलना
momJourney.commonSymptoms[2]	कमर में तकलीफ़
momJourney.commonSymptoms[3]	थकान
momJourney.selfCareTip	जब भी शरीर माँगे, आराम कीजिए। आख़िरी हफ़्तों में ऊर्जा अक्सर घटती-बढ़ती रहती है।
momJourney.reassurance	अब धीमी, लुढ़कने जैसी हरकतें सामान्य हो सकती हैं, क्योंकि आपके शिशु के पास खुलकर हिलने की जगह कम है।
nutrition.nutritionTheme	रोग-प्रतिरोधक क्षमता में मदद
nutrition.focusNutrients[0]	विटामिन C
nutrition.focusNutrients[1]	प्रोटीन
nutrition.whyNow	आपके शिशु को ज़रूरी रोग-प्रतिरोधक सहारा मिल रहा है और उसकी तेज़ बढ़त जारी है।
nutrition.foods[0]	आँवला
nutrition.foods[1]	संतरा
nutrition.foods[2]	अमरूद
nutrition.foods[3]	पनीर
nutrition.foods[4]	मूंग दाल
nutrition.indianSuperfoodOfTheWeek.food	आँवला
nutrition.indianSuperfoodOfTheWeek.benefit	विटामिन C से भरपूर, जो रोग-प्रतिरोधक क्षमता बढ़ाता है और आयरन सोखने में मदद करता है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	ताज़ा, जूस के रूप में, या घर की चटनी में।
nutrition.mealIdea	मूंग दाल की खिचड़ी के साथ सलाद और ताज़ा आँवला।
nutrition.tip	विटामिन C वाली चीज़ें शरीर को आयरन ज़्यादा अच्छी तरह सोखने में मदद करती हैं।
actionPlan.doThisWeek	अपना अस्पताल बैग पूरा कीजिए और अगर कोई बर्थ प्लान है तो उसे एक बार देख लीजिए।
actionPlan.skipThisWeek	यह मान लेना कि शिशु का हर सामान जन्म से पहले ही ख़रीद लेना ज़रूरी है।
actionPlan.redFlags	अगर ब्लीडिंग, पानी जैसा स्राव, दर्द भरे संकुचन, तेज़ सिरदर्द, नज़र में बदलाव, अचानक सूजन या शिशु की हलचल कम हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	शिशु की रोग-प्रतिरोधक क्षमता जन्म के बाद ही बनती है।
actionPlan.mythBuster.truth	ज़रूरी सुरक्षा गर्भावस्था के दौरान ही शुरू हो जाती है, जब माँ से शिशु को एंटीबॉडीज़ मिलती हैं।
garbhSanskar.affirmation	मुझे अपने से पहले की पीढ़ियों की माँओं से ताक़त मिलती है।
garbhSanskar.reflectionPrompt	परिवार की कौन सी परंपरा आप अपने बच्चे को देना चाहेंगी?
garbhSanskar.spokenLine	माँ, आप जन्म से पहले ही मेरी रक्षा कर रही हैं।
reflectAndRemember.reflectionPrompt	परिवार की कौन सी परंपरा आप अपने बच्चे को देना चाहेंगी?
reflectAndRemember.journalPrompt	परिवार की कोई याद, त्योहार या परंपरा लिखिए जिसे आप अपने बच्चे के साथ बाँटना चाहती हैं।
reflectAndRemember.photoPrompt	परिवार की किसी निशानी, नुस्ख़े, परंपरा या चीज़ की तस्वीर लीजिए जो आपके लिए ख़ास मायने रखती हो।
partnerCorner.whatSheMayFeel	शिशु से मिलने को लेकर उत्साहित, पर कभी-कभी परवरिश और आगे की ज़िम्मेदारियों से घबराई हुई भी।
partnerCorner.whatYouCanDo	उसे याद दिलाइए कि अच्छे माता-पिता चलते-चलते सीखते हैं, और पहले दिन किसी के पास सारे जवाब नहीं होते।
partnerCorner.oneMission	परवरिश का एक ऐसा मूल्य तय कीजिए जो आप दोनों अपने बच्चे में देखना चाहते हैं।
partnerCorner.shareMessage	हमारे शिशु को परफ़ेक्ट माता-पिता नहीं, बस प्यार करने वाले चाहिए ❤
