0	आपका पहला अल्ट्रासाउंड ('dating' या 'viability' scan) आम तौर पर लगभग 6 से 9 हफ़्ते के बीच होता है। एक छोटा probe आपके शिशु को गर्भ में दिखाता है — यह पुष्टि करता है कि गर्भावस्था सही जगह है, धड़कन देखता है, कितने शिशु हैं यह देखता है, और सही डिलीवरी तारीख़ के लिए शिशु को नापता है।
1	Gestational sac
2	वह तरल से भरी जगह जिसमें शिशु बढ़ता है। इसे गर्भ में देखना पुष्टि करता है कि गर्भावस्था सही जगह है।
3	CRL (Crown–Rump Length)
4	आपके शिशु की सिर से नीचे तक की लंबाई। इतनी जल्दी गर्भावस्था की तारीख़ निकालने का यह सबसे सही तरीक़ा है।
5	FHR / धड़कन
6	आपके शिशु की धड़कन। धड़कन (अक्सर लगभग 6 हफ़्ते से) भरोसा देती है; उससे पहले यह दिखने में बस जल्दी हो सकती है।
7	Yolk sac
8	एक नन्ही शुरुआती रचना जो शुरू में शिशु को पोषण देती है। इसे देखना एक सामान्य शुरुआती संकेत है।
9	एक / जुड़वाँ
10	कितने शिशु बढ़ रहे हैं।
11	EDD (Estimated Due Date)
12	आपकी अनुमानित डिलीवरी तारीख़, नाप से निकाली गई। यह आपकी पीरियड की तारीख़ों से थोड़ी अलग हो सकती है।
13	NT (nuchal translucency) scan 11 से 14 हफ़्ते के बीच होता है। यह शिशु की गर्दन के पीछे के तरल को नापता है। एक blood test ('combined' या 'double marker' test) और आपकी उम्र के साथ, यह Down's syndrome जैसी स्थितियों की संभावना बताता है। एक नया blood test, NIPT, भी दिया जा सकता है। ये SCREENING टेस्ट हैं — ये संभावना बताते हैं, निदान नहीं।
14	NT measurement (mm)
15	गर्दन के पीछे का तरल। ज़्यादातर शिशु लगभग 3.5 mm से कम होते हैं। ज़्यादा मान संभावना बढ़ाता है पर कुछ पक्का नहीं करता।
16	Nasal bone
17	मौजूद या ग़ैर-मौजूद। Nasal bone न होना संभावना थोड़ी बढ़ा सकता है — अकेले में यह निदान नहीं है।
18	Free β-hCG / PAPP-A
19	Blood markers, अक्सर "MoM" में बताए जाते हैं। ये आपकी कुल संभावना में जाते हैं।
20	जोखिम / संभावना (जैसे 1 in 1500)
21	आपका screening नतीजा। "Low chance" (1 in 1500 जैसा बड़ा नंबर) भरोसा देता है; "higher chance" पर NIPT या diagnostic test दिया जा सकता है।
22	Anomaly scan (जिसे 20-week या mid-pregnancy scan भी कहते हैं) 18 से 22 हफ़्ते के बीच एक विस्तृत अल्ट्रासाउंड है। Sonographer शिशु के दिमाग़, चेहरे, रीढ़, दिल, सीने, पेट, kidney और हाथ-पैर को ग़ौर से देखते हैं, और placenta, तरल और शिशु की बढ़त जाँचते हैं।
23	"Appears normal" / NAD
24	वह हिस्सा स्कैन पर उम्मीद के मुताबिक़ दिखा। "NAD" यानी कोई गड़बड़ी नहीं मिली।
25	Placenta (स्थिति)
26	Placenta कहाँ है (जैसे anterior/posterior)। अगर अभी यह cervix के पास नीचे है, तो बाद के स्कैन में अक्सर यह ऊपर चला जाता है।
27	Amniotic fluid (AFI / liquor)
28	शिशु के आस-पास का तरल — सामान्य, ज़्यादा या कम बताया जाता है।
29	Biometry (BPD, HC, AC, FL)
30	सिर, पेट और जाँघ की हड्डी की नाप — बढ़त देखने और वज़न का अंदाज़ा लगाने के लिए।
31	Soft markers
32	छोटी बातें जो आम हैं और अकेले में अक्सर चिंता की बात नहीं। डॉक्टर इन्हें समझाएँगे।
