Sponsored · brand	प्रायोजित · ब्रांड
BABY ESSENTIALS,\nSORTED	शिशु की ज़रूरी चीज़ें,\nएक जगह
Trusted, tested picks for your little one — delivered.	आपके नन्हे के लिए भरोसेमंद, परखी हुई चीज़ें — घर तक।
FLAT 30% OFF your first order	पहले ऑर्डर पर सीधे 30% छूट
FREE delivery over ₹499	₹499 से ऊपर मुफ़्त डिलीवरी
Shop the sale	सेल देखिए
MATERNITY WEAR\nYOU\'LL LIVE IN	मैटरनिटी कपड़े\nजो रोज़ पहनना चाहेंगी
Soft, breathable, bump-friendly styles for every trimester.	हर तिमाही के लिए नरम, साँस लेने वाले, बंप के अनुकूल कपड़े।
FLAT ₹500 OFF your first look	पहली ख़रीद पर सीधे ₹500 छूट
Buy 2, get the 3rd at 50%	2 लीजिए, तीसरा 50% पर
Explore the edit	चुनी हुई चीज़ें देखिए
PRENATAL CARE,\nMADE SIMPLE	Prenatal देखभाल,\nअब आसान
Doctor-formulated folate + prenatal packs for these early weeks.	इन शुरुआती हफ़्तों के लिए डॉक्टर के बनाए Folate + prenatal पैक।
BUY 2 GET 1 FREE on prenatal packs	Prenatal पैक पर 2 लीजिए, 1 मुफ़्त
FREE nutrition consult on ₹999+	₹999+ पर मुफ़्त पोषण परामर्श
Start your pack	अपना पैक शुरू कीजिए
DIAPERS &\nWIPES, MONTHLY	नैपियाँ और\nवाइप्स, हर महीने
Never run out — soft, rash-free essentials on auto-refill.	कभी ख़त्म न हों — नरम, रैश-रहित चीज़ें अपने आप हर महीने।
TRIAL PACK at just ₹99	ट्रायल पैक सिर्फ़ ₹99 में
SAVE 20% on every subscription	हर सब्सक्रिप्शन पर 20% बचत
Grab the trial	ट्रायल लीजिए
ADD ₹600 → GET ₹60	₹600 जोड़िए → ₹60 पाइए
