babySnapshot.milestone	तीसरी तिमाही में स्वागत
babySnapshot.weekHeadline	आप तीसरी तिमाही में पहुँच गई हैं। आपका शिशु तेज़ी से बढ़ रहा है और गर्भ के बाहर की ज़िंदगी की तैयारी कर रहा है।
babySnapshot.size.fruit	एक फूलगोभी
babySnapshot.size.length	लगभग 36.6 cm
babySnapshot.size.weight	लगभग 1000 g
babySnapshot.reveal	माँ, हमने साथ मिलकर अपनी आख़िरी तिमाही में क़दम रखा है। मिलने का दिन क़रीब आ रहा है।
babyDevelopment.whatImDoing	मेरा दिमाग़, फेफड़े और नर्वस सिस्टम तेज़ी से परिपक्व हो रहे हैं। मैं साँस लेने की हरकतों का अभ्यास कर रहा हूँ, आँखें खोलता-बंद करता हूँ, और हर दिन मज़बूत हो रहा हूँ।
babyDevelopment.funFact	अगर मैं अभी पैदा हो जाऊँ, तो आज की चिकित्सा से मेरे बचने की संभावना काफ़ी अच्छी होगी — फिर भी मुझे बढ़ने के लिए और समय चाहिए।
momJourney.physicalChanges	आपका शिशु अब काफ़ी ज़्यादा जगह ले रहा है। आपको तेज़ लातें, खिंचाव और पेट में बढ़ता दबाव महसूस हो सकता है।
momJourney.emotionalState	आख़िरी तिमाही में क़दम रखते हुए बहुत सी माँएँ गर्व, उत्साह और थोड़ा बोझ — तीनों महसूस करती हैं।
momJourney.commonSymptoms[0]	शिशु की तेज़ हलचल
momJourney.commonSymptoms[1]	कमर में तकलीफ़
momJourney.commonSymptoms[2]	सीने में जलन
momJourney.commonSymptoms[3]	सोने के लिए आरामदायक मुद्रा न मिलना
momJourney.selfCareTip	बाईं करवट सोने की कोशिश कीजिए — घुटनों के बीच एक तकिया और बंप को सहारा देने के लिए दूसरा।
momJourney.reassurance	तीसरी तिमाही को लेकर उत्साह और घबराहट दोनों महसूस होना बिलकुल सामान्य है।
nutrition.nutritionTheme	तेज़ी से बढ़ते वज़न के लिए
nutrition.focusNutrients[0]	प्रोटीन
nutrition.focusNutrients[1]	आयरन
nutrition.whyNow	आपका शिशु गर्भावस्था के सबसे तेज़ वज़न बढ़ने वाले दौरों में से एक में क़दम रख रहा है।
nutrition.foods[0]	पनीर
nutrition.foods[1]	मूंग दाल
nutrition.foods[2]	राजमा
nutrition.foods[3]	काला चना
nutrition.foods[4]	दही
nutrition.indianSuperfoodOfTheWeek.food	पनीर
nutrition.indianSuperfoodOfTheWeek.benefit	अच्छी गुणवत्ता का प्रोटीन और कैल्शियम देता है, जो तीसरी तिमाही की तेज़ बढ़त में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	पनीर भुर्जी, पनीर की सब्ज़ी, या भुना हुआ पनीर।
nutrition.mealIdea	पनीर भुर्जी के साथ रोटी और एक कटोरी दही।
nutrition.tip	हर मुख्य भोजन में प्रोटीन का एक स्रोत रखने की कोशिश कीजिए।
actionPlan.doThisWeek	तीसरी तिमाही में पहुँचने का जश्न मनाइए और जन्म की तैयारी की एक सरल सूची बनाना शुरू कीजिए।
actionPlan.skipThisWeek	यह दबाव महसूस करना कि शिशु का सारा सामान अभी ख़रीद लेना है।
actionPlan.redFlags	अगर ब्लीडिंग, पानी जैसा स्राव, दर्द भरे संकुचन, तेज़ सिरदर्द, नज़र में बदलाव, शिशु की हलचल कम होना या अचानक सूजन हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	तीसरी तिमाही सिर्फ़ शिशु के आने का इंतज़ार करने के लिए होती है।
actionPlan.mythBuster.truth	तीसरी तिमाही विकास और दिमाग़ी बढ़त के सबसे अहम दौरों में से एक है।
garbhSanskar.affirmation	हम साथ मिलकर एक ताक़तवर नए दौर में क़दम रख रहे हैं।
garbhSanskar.reflectionPrompt	अपने बच्चे के लिए आपका कौन सा सपना है?
garbhSanskar.spokenLine	माँ, हमने तीसरी तिमाही में क़दम रख दिया।
reflectAndRemember.reflectionPrompt	अपने बच्चे के लिए आपका कौन सा सपना है?
reflectAndRemember.journalPrompt	एक ख़त लिखिए जिसमें बताइए कि आप अपने बच्चे को अपने लिए कैसा भविष्य बनाते देखना चाहती हैं।
reflectAndRemember.photoPrompt	कोई ऐसी तस्वीर लीजिए जो उम्मीद, संभावना, या अपने बच्चे के लिए आपके सोचे हुए कल को दर्शाती हो।
partnerCorner.whatSheMayFeel	तीसरी तिमाही तक पहुँचने पर गर्व से भरी, और साथ ही यह महसूस करती हुई कि डिलीवरी की तारीख़ कितनी तेज़ी से क़रीब आ रही है।
partnerCorner.whatYouCanDo	इस उपलब्धि को मनाइए और उसे याद दिलाइए कि वह कितनी दूर आ चुकी है।
partnerCorner.oneMission	तीसरी तिमाही का एक साधारण जश्न या कोई ख़ास याद साथ मिलकर बनाइए।
partnerCorner.shareMessage	तीसरी तिमाही भी आ गई ❤ देखिए, हम साथ मिलकर कितनी दूर आ गए।
