babySnapshot.milestone	जानी-पहचानी आवाज़ें
babySnapshot.weekHeadline	आपका शिशु आवाज़ों पर ज़्यादा प्रतिक्रिया देने लगा है और शायद जानी-पहचानी आवाज़ें और लय पहचानने भी लगा है।
babySnapshot.size.fruit	एक शलजम
babySnapshot.size.length	लगभग 34.6 cm
babySnapshot.size.weight	लगभग 760 g
babySnapshot.reveal	माँ, आपकी आवाज़ मेरे लिए जानी-पहचानी होती जा रही है, और हर दिन मैं अपनी दुनिया के बारे में थोड़ा और सीखता हूँ।
babyDevelopment.whatImDoing	मेरी सुनने की शक्ति और पैनी हो रही है और मैं अपने आस-पास की आवाज़ों पर प्रतिक्रिया देता हूँ। मेरा दिमाग़ तेज़ी से बनता जा रहा है, और मेरी हरकतें मज़बूत और बेहतर तालमेल वाली होती जा रही हैं।
babyDevelopment.funFact	शोध बताते हैं कि अगर शिशु गर्भावस्था में कुछ आवाज़ें नियमित रूप से सुनते हैं, तो जन्म के बाद वे उन्हें पहचान सकते हैं।
momJourney.physicalChanges	आपका शिशु तेज़ी से बढ़ रहा है और आपका बंप और उभरता जा रहा है। ख़ासकर शांत पलों में आपको तेज़ लातें और खिंचाव महसूस हो सकते हैं।
momJourney.emotionalState	जैसे-जैसे माँएँ अपने शिशु की अपनी ख़ास हलचल पहचानने लगती हैं, उन्हें गहरा जुड़ाव महसूस होता है।
momJourney.commonSymptoms[0]	तेज़ लातें
momJourney.commonSymptoms[1]	कमर में तकलीफ़
momJourney.commonSymptoms[2]	सीने में जलन
momJourney.commonSymptoms[3]	पैरों में ऐंठन
momJourney.selfCareTip	शिशु के सक्रिय पलों को रुककर जुड़ने और इस सफ़र का आनंद लेने के मौक़े की तरह लीजिए।
momJourney.reassurance	जैसे-जैसे शिशु बढ़ता है, तेज़ हरकतें स्वस्थ विकास की अच्छी निशानी हैं।
nutrition.nutritionTheme	तेज़ बढ़त में मदद
nutrition.focusNutrients[0]	प्रोटीन
nutrition.focusNutrients[1]	आयरन
nutrition.whyNow	आपके शिशु का वज़न लगातार बढ़ रहा है और उसे ऐसे पोषक तत्व चाहिए जो मांसपेशियों, ख़ून और अंगों के विकास में मदद करें।
nutrition.foods[0]	पनीर
nutrition.foods[1]	राजमा
nutrition.foods[2]	छोले
nutrition.foods[3]	पालक
nutrition.foods[4]	मूंग दाल
nutrition.indianSuperfoodOfTheWeek.food	छोले
nutrition.indianSuperfoodOfTheWeek.benefit	प्रोटीन, आयरन और फ़ाइबर देते हैं, जो स्वस्थ विकास में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	छोले की सब्ज़ी, रोटी या चावल के साथ।
nutrition.mealIdea	छोले के साथ रोटी, खीरे का सलाद और दही।
nutrition.tip	दिन भर में हर 3–4 घंटे पर प्रोटीन का एक स्रोत लेने की कोशिश कीजिए।
actionPlan.doThisWeek	रोज़ अपने शिशु से बात कीजिए, गाइए या पढ़कर सुनाइए, और उसकी हलचल के ढर्रे पर ध्यान देना शुरू कीजिए।
actionPlan.skipThisWeek	लगातार सीने की जलन या शरीर में पानी की कमी को नज़रअंदाज़ करना।
actionPlan.redFlags	अगर ब्लीडिंग, पानी जैसा स्राव, पेट में तेज़ दर्द, तेज़ सिरदर्द, नज़र में बदलाव या अचानक सूजन हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	शिशु अपने माता-पिता को जन्म के बाद ही पहचानना शुरू करते हैं।
actionPlan.mythBuster.truth	गर्भावस्था में बार-बार सुनी गई आवाज़ें शिशु के लिए जानी-पहचानी हो सकती हैं।
garbhSanskar.affirmation	रोज़ के छोटे-छोटे पलों से प्यार और गहरा होता है।
garbhSanskar.reflectionPrompt	अब तक गर्भावस्था की आपकी सबसे पसंदीदा याद कौन सी है?
garbhSanskar.spokenLine	माँ, आपकी आवाज़ मेरे लिए जानी-पहचानी होती जा रही है।
reflectAndRemember.reflectionPrompt	अब तक गर्भावस्था की आपकी सबसे पसंदीदा याद कौन सी है?
reflectAndRemember.journalPrompt	कोई ऐसा पल लिखिए जब आपने अपने शिशु से गहरा जुड़ाव महसूस किया।
reflectAndRemember.photoPrompt	किसी ऐसी चीज़ की तस्वीर लीजिए जो आपको अपने शिशु या अपने बढ़ते रिश्ते की याद दिलाती हो।
partnerCorner.whatSheMayFeel	शिशु से लगातार और जुड़ती हुई, और हर नई हरकत और पड़ाव से उत्साहित।
partnerCorner.whatYouCanDo	शिशु की हलचल को साथ मिलकर महसूस कीजिए और छोटे-छोटे पलों को मनाइए।
partnerCorner.oneMission	आज साथ मिलकर 10 शांत मिनट शिशु से बात करने में बिताइए।
partnerCorner.shareMessage	हर लात याद दिलाती है कि हमारा नन्हा मज़बूत हो रहा है ❤
