babySnapshot.milestone	नन्ही उँगलियाँ और पैर
babySnapshot.weekHeadline	आपके शिशु की उँगलियाँ, पैर की उँगलियाँ और नन्हे नैन-नक्श हर दिन और साफ़ होते जा रहे हैं।
babySnapshot.size.fruit	एक स्ट्रॉबेरी
babySnapshot.size.length	लगभग 3.1 cm
babySnapshot.size.weight	लगभग 4 g
babySnapshot.reveal	माँ, मेरी नन्ही उँगलियाँ और पैर की उँगलियाँ बन रही हैं, और मैं उस शिशु जैसा दिखने लगा हूँ जिससे आप एक दिन मिलेंगी।
babyDevelopment.whatImDoing	मेरी उँगलियाँ अलग-अलग होने लगी हैं, मेरा जबड़ा और चेहरे के नैन-नक्श बन रहे हैं, और मेरा दिमाग़ लगातार लाखों नए जोड़ बना रहा है। मैं छोटी-छोटी हरकतें भी कर लेता हूँ, भले ही आपको अभी वे महसूस न हों।
momJourney.physicalChanges	आपके शरीर में ख़ून की मात्रा बढ़ती जा रही है और वह आपके शिशु के तेज़ विकास के लिए कड़ी मेहनत कर रहा है। कुछ माँओं को अपने कपड़े अलग तरह से फ़िट होते महसूस होते हैं।
momJourney.emotionalState	आप गर्भावस्था से और जुड़ाव महसूस कर सकती हैं, और साथ ही आगे को लेकर अनिश्चितता भी।
momJourney.commonSymptoms[0]	थकान
momJourney.commonSymptoms[1]	मितली
momJourney.commonSymptoms[2]	बार-बार पेशाब आना
momJourney.commonSymptoms[3]	कुछ खाने का मन या अरुचि
momJourney.selfCareTip	सब कुछ बिलकुल सही करने की कोशिश के बजाय छोटी-छोटी अच्छी आदतों पर ध्यान दीजिए।
momJourney.reassurance	हर गर्भावस्था अलग दिखती है। अपने सफ़र की तुलना किसी और से करने से शायद ही कोई काम की बात मिलती है।
nutrition.nutritionTheme	हर दिन और मज़बूत
nutrition.focusNutrients[0]	प्रोटीन
nutrition.focusNutrients[1]	आयरन
nutrition.whyNow	आपका शिशु तेज़ी से ऊतक, मांसपेशियाँ और अंग बना रहा है, जिनके लिए लगातार प्रोटीन और आयरन चाहिए।
nutrition.foods[0]	पनीर
nutrition.foods[1]	दाल
nutrition.foods[2]	काला चना
nutrition.foods[3]	राजमा
nutrition.foods[4]	पालक
nutrition.indianSuperfoodOfTheWeek.food	पनीर
nutrition.indianSuperfoodOfTheWeek.benefit	अच्छी गुणवत्ता का प्रोटीन और कैल्शियम देता है, जो आपके शिशु के तेज़ विकास में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	पनीर भुर्जी, पनीर टिक्का, या सब्ज़ियों में मिलाकर।
nutrition.mealIdea	पनीर भुर्जी के साथ रोटी और खीरे का सलाद।
nutrition.tip	दिन भर ऊर्जा बनी रहे, इसके लिए नाश्ते में प्रोटीन शामिल करने की कोशिश कीजिए।
actionPlan.doThisWeek	अपनी मेडिकल रिपोर्ट्स सँभालकर रखें, सेहतमंद दिनचर्या बनाए रखें और prenatal vitamins लेते रहें।
actionPlan.skipThisWeek	लक्षण कम हो जाने पर supplements लेना छोड़ देना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, लगातार उल्टी के साथ पानी की कमी, बुख़ार, या चक्कर आकर गिरना हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	गर्भावस्था में कसरत करना ख़तरनाक है।
actionPlan.mythBuster.truth	ज़्यादातर स्वस्थ गर्भावस्थाओं में डॉक्टर की सलाह से की गई हलचल फ़ायदा ही करती है।
garbhSanskar.affirmation	मैं अपने शिशु के लिए एक सुरक्षित और प्यार भरा घर बना रही हूँ।
garbhSanskar.reflectionPrompt	परिवार का कौन सा मूल्य आप अपने बच्चे को सबसे ज़्यादा देना चाहेंगी?
garbhSanskar.spokenLine	माँ, मेरी नन्ही उँगलियाँ बन रही हैं।
reflectAndRemember.reflectionPrompt	परिवार का कौन सा मूल्य आप आगे देना चाहेंगी?
reflectAndRemember.journalPrompt	अपने बचपन की एक ऐसी सीख के बारे में लिखिए जिसने आपको आज का आप बनाया।
reflectAndRemember.photoPrompt	अपने बचपन की कोई ऐसी चीज़ क़ैद कीजिए जिसे आप एक दिन अपने शिशु के साथ बाँटना चाहेंगी।
partnerCorner.whatSheMayFeel	थकी हुई, पर उम्मीद से भरी — क्योंकि पहली तिमाही का अंत क़रीब आ रहा है।
partnerCorner.whatYouCanDo	अपॉइंटमेंट, रिपोर्ट्स और आने वाले पड़ावों को सँभालने में मदद कीजिए।
partnerCorner.oneMission	गर्भावस्था के सारे रिकॉर्ड और स्कैन रिपोर्ट्स के लिए एक फ़ोल्डर बनाइए।
partnerCorner.shareMessage	दस हफ़्ते बीत गए — प्यार, विकास और इंतज़ार के ❤
