babySnapshot.milestone	आपका इंतज़ार
babySnapshot.weekHeadline	आपका शिशु पूरी तरह विकसित है और बस उस सही पल का इंतज़ार कर रहा है जब वह आपकी गोद में आने का सफ़र शुरू करे।
babySnapshot.size.fruit	एक तरबूज़
babySnapshot.size.length	लगभग 50.7 cm
babySnapshot.size.weight	लगभग 3300 g
babySnapshot.reveal	माँ, मैं तैयार हूँ। जल्द ही मैं आपकी धड़कन अंदर से नहीं सुनूँगा — मैं आपके सीने पर होऊँगा।
babyDevelopment.whatImDoing	मेरे फेफड़े पहली साँस के लिए तैयार हैं, मेरी सजगताएँ बन चुकी हैं, और मैं थोड़ी और चर्बी व ऊर्जा जमा कर रहा हूँ। अब मेरा ज़्यादातर काम बस प्रसव की शुरुआत का इंतज़ार करना है।
babyDevelopment.funFact	मेरा दिमाग़ अब भी तेज़ी से बढ़ रहा है और जन्म के बाद ज़िंदगी के लगभग किसी भी दौर से तेज़ बनता रहेगा।
momJourney.physicalChanges	आपका शरीर प्रसव की आख़िरी तैयारियाँ कर रहा है। पेल्विस पर दबाव बढ़ सकता है, बेतरतीब संकुचन आ सकते हैं और ऊर्जा घटती-बढ़ती रह सकती है।
momJourney.emotionalState	एक ही दिन में आप उत्साहित, बेसब्र, भावुक और घबराई हुई महसूस कर सकती हैं। हर एहसास सामान्य है।
momJourney.commonSymptoms[0]	पेल्विस पर दबाव
momJourney.commonSymptoms[1]	Braxton Hicks संकुचन
momJourney.commonSymptoms[2]	सोने में दिक़्क़त
momJourney.commonSymptoms[3]	अचानक घर सँवारने की ऊर्जा
momJourney.selfCareTip	जब भी मुमकिन हो, आराम कीजिए। प्रसव एक लंबी मेहनत है और अभी ऊर्जा बचाकर रखना क़ीमती है।
momJourney.reassurance	ज़िंदगी के सबसे बड़े पलों में से एक के क़रीब आते हुए भावनाओं से भर जाना बिलकुल सामान्य है।
nutrition.nutritionTheme	प्रसव की तैयारी
nutrition.focusNutrients[0]	जटिल कार्बोहाइड्रेट
nutrition.focusNutrients[1]	पानी और तरल
nutrition.whyNow	प्रसव किसी भी समय शुरू हो सकता है, इसलिए शरीर को स्थिर ऊर्जा और पर्याप्त पानी चाहिए।
nutrition.foods[0]	ओट्स
nutrition.foods[1]	केला
nutrition.foods[2]	नारियल पानी
nutrition.foods[3]	ब्राउन राइस
nutrition.foods[4]	मूंग दाल
nutrition.indianSuperfoodOfTheWeek.food	नारियल पानी
nutrition.indianSuperfoodOfTheWeek.benefit	शरीर में पानी बनाए रखता है और क़ुदरती Electrolytes देता है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	डॉक्टर की सलाह हो तो दिन में एक ताज़ा गिलास।
nutrition.mealIdea	मूंग दाल खिचड़ी के साथ दही और नारियल पानी।
nutrition.tip	सरल और पौष्टिक खाना चुनिए जो ऊर्जा और पाचन दोनों में मदद करे।
actionPlan.doThisWeek	आराम, पानी, हल्की चहलक़दमी और मन को शांत रखने पर ध्यान दीजिए।
actionPlan.skipThisWeek	हर वक़्त यह ढूँढ़ते रहना कि प्रसव शुरू होने के संकेत आ गए या नहीं।
actionPlan.redFlags	अगर पानी जैसा स्राव, ब्लीडिंग, नियमित दर्द भरे संकुचन, शिशु की हलचल कम होना, तेज़ सिरदर्द या नज़र में बदलाव हो — तो तुरंत अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	अगर अब तक प्रसव शुरू नहीं हुआ, तो कुछ गड़बड़ है।
actionPlan.mythBuster.truth	बहुत सी स्वस्थ गर्भावस्थाएँ डॉक्टर की निगरानी में हफ़्ता 40 और उसके आगे तक चलती हैं।
garbhSanskar.affirmation	मुझे और मेरे शिशु को इस जन्म के समय पर भरोसा है।
garbhSanskar.reflectionPrompt	अपने शिशु से मिलने से पहले आप उससे क्या कहना चाहेंगी?
garbhSanskar.spokenLine	माँ, बस थोड़ा और इंतज़ार।
reflectAndRemember.reflectionPrompt	अपने शिशु से मिलने से पहले आप उससे क्या कहना चाहेंगी?
reflectAndRemember.journalPrompt	जन्म से पहले अपने शिशु के नाम आख़िरी ख़त लिखिए। बताइए कि उसका क्या इंतज़ार कर रहा है, वह कितना प्यारा है, और आप उससे मिलने के लिए कितनी उत्साहित हैं।
reflectAndRemember.photoPrompt	गर्भावस्था की आख़िरी तस्वीर लीजिए जो जन्म से पहले के आपके इंतज़ार और उत्साह को क़ैद कर ले।
partnerCorner.whatSheMayFeel	तैयार, भावुक, बेसब्र और पूरी तरह शिशु से मिलने पर केंद्रित।
partnerCorner.whatYouCanDo	साथ रहिए, शांत रहिए और सहारा दीजिए। आपका भरोसा उसे बहुत ताक़त दे सकता है।
partnerCorner.oneMission	उससे पूछिए कि प्रसव के दौरान वह किस तरह का साथ चाहती है, और ध्यान से सुनिए।
partnerCorner.shareMessage	जल्द ही हम उस नन्हे इंसान से मिलेंगे जिसके सपने हम देखते आए हैं ❤
