Forming	बनना शुरू
Ban raha	बन रहा
Beating	धड़क रहा है
Dhadak raha	धड़क रहा
Strong	मज़बूत
Mazboot	मज़बूत
Still developing	अभी विकास जारी
Abhi vikas ho raha	अभी विकास जारी
Maturing	लगभग तैयार
Pak raha	लगभग तैयार
Highly active	बहुत सक्रिय
Bahut sakriya	बहुत सक्रिय
Not yet	अभी नहीं
Abhi nahi	अभी नहीं
Developing	विकास जारी
Vikas ho rahe	विकास जारी
Pak rahe	लगभग तैयार
Ready	तैयार
Taiyaar	तैयार
Cartilage	नरम हड्डी
Naram haddi	नरम हड्डी
Hardening	सख़्त हो रही
Sakht ho rahi	सख़्त हो रही
Strengthening	मज़बूत हो रही
Mazboot ho rahi	मज़बूत हो रही
Active	सक्रिय
Sakriya	सक्रिय
Sharp	तेज़
Tez	तेज़
Vikas ho rahi	विकास जारी
Eyes opening	आँखें खुल रही हैं
Aankhein khul rahi	आँखें खुल रही हैं
Focusing	नज़र टिक रही
Focus kar raha	नज़र टिक रही
Ban rahi	बन रही
Growing	बढ़ रही
Badh rahi	बढ़ रही
Vikas ho raha	विकास जारी
Building	बनता जा रहा
