0	अपने anomaly scan का पूरा फ़ायदा लीजिए
1	लगभग 18–22 हफ़्ते में यह विस्तृत स्कैन शिशु के दिल, दिमाग़, रीढ़ और अंगों की बढ़त जाँचता है। आप अपने पार्टनर को साथ ला सकती हैं — और sonographer से यह पूछना बिलकुल ठीक है कि वे क्या माप रहे हैं। ज़्यादातर नतीजे राहत देने वाले होते हैं।
2	करवट पर सोना शुरू कीजिए
3	जैसे-जैसे बंप बढ़ता है, करवट (ख़ासकर बाईं) पर सोना ख़ून और पोषक तत्वों को शिशु तक आराम से पहुँचने में मदद करता है। घुटनों के बीच या बंप के नीचे तकिया रखने से आसानी होती है। अगर पीठ के बल जाग जाएँ तो चिंता मत कीजिए — बस वापस करवट पर आ जाइए।
4	Iron और Calcium अपनी थाली में रखिए
5	अभी आपका शरीर शिशु की हड्डियाँ और ख़ून बना रहा है। Iron (हरी सब्ज़ियाँ, दाल, गुड़) और Calcium (दूध, दही, पनीर) लीजिए, और Iron वाले खाने के साथ थोड़ा Vitamin C — जैसे नींबू या संतरा — लीजिए ताकि ज़्यादा सोखा जाए। डॉक्टर ने जो सप्लीमेंट दिए हैं वे लेते रहिए।
6	रोज़ाना Folic acid लीजिए — यह शिशु की बनती रीढ़ और दिमाग़ की रक्षा करता है।
7	शराब, धूम्रपान और कच्चे या अधपके खाने से बचिए।
8	अपने डॉक्टर के साथ पहली antenatal विज़िट बुक कीजिए।
9	शुरुआती मतली कम करने के लिए थोड़ा-थोड़ा, बार-बार खाइए।
10	दिन भर पानी पीजिए और जब भी थकान हो आराम कीजिए।
11	अपने पिछले पीरियड का पहला दिन नोट कीजिए — इससे डॉक्टर को गर्भावस्था की तारीख़ तय करने में मदद मिलती है।
12	अपना anomaly scan (लगभग 18–22 हफ़्ते) मत छोड़िए — यह शिशु की बढ़त और अंग जाँचता है।
13	बंप बढ़ने के साथ करवट पर सोना शुरू कीजिए।
14	Iron और Calcium से भरपूर खाना जारी रखिए।
