lib/screens/week_flow_screen.dart	4632	4658		What's happening this week	Is hafte kya ho raha hai
lib/screens/week_flow_screen.dart	7024	7134		I'm forming millions of new nerve connections every single day - my brain is working at an astonishing pace!	Main har din laakhon naye nerve connections bana raha hoon - mera dimaag gajab raftaar se kaam kar raha hai!
lib/screens/week_flow_screen.dart	7479	7611		I can curl my little fingers and sometimes grab the umbilical cord - I'm practising for our very first cuddles.	Main apni nanhi ungliyan mod sakta hoon aur kabhi gard-naal pakad leta hoon - main hamari pehli cuddles ki practice kar raha hoon.
lib/screens/week_flow_screen.dart	7883	7984		Sometimes you'll feel tiny rhythmic taps - that's just me having hiccups, and it's completely normal.	Kabhi aap chhoti taal-baddh thaap mehsoos karengi - yeh bas meri hichki hai, aur bilkul normal hai.
lib/screens/week_flow_screen.dart	8336	8432		My very own fingerprints - and footprints - are forming right now, patterns that will be mine alone for life.	Mere apne fingerprints - aur footprints - abhi ban rahe hain, jo zindagi bhar sirf mere honge.
lib/screens/week_flow_screen.dart	8763	8859		My heart is pumping hard, moving several litres of blood around my tiny body every single day.	Mera dil zor se pump kar raha hai, har din kai litre khoon mere nanhe sharir mein ghumata hai.
lib/screens/week_flow_screen.dart	9493	9523		We're halfway there! 🎉	Hum aadhe raaste par hain! 🎉
lib/screens/week_flow_screen.dart	9739	9916		We've reached the middle of our journey together! I'm growing quickly now, your bump is showing, and any day now you might feel me move for the very first time.	Hum apne safar ke aadhe raaste par pahunch gaye hain! Main ab tezi se badh raha hoon, aapka bump dikhne laga hai, aur kisi bhi din aap mujhe pehli baar mehsoos kar sakti hain.
lib/screens/week_flow_screen.dart	10225	10355		I'm about the size of a banana now - roughly 25 cm from my head to my heels and around 300 g. From this week, you'll measure me head-to-heel instead of head-to-bottom.	Main ab lagbhag ek kele jitna hoon - sir se edi tak takreeban 25 cm aur ~300 g. Is hafte se aap meri lambai sir-se-edi naapengi.
lib/screens/week_flow_screen.dart	10422	10449		You'll feel me move	Aap mujhe mehsoos karengi
lib/screens/week_flow_screen.dart	10766	11041		My first little flutters - called \"quickening\" - often start around now. They feel like bubbles or a gentle tap, and over the next few weeks they'll grow into clear kicks. If this is your first baby you might feel me a little later - that's completely normal.	Meri pehli halki harkatein - "quickening" - aksar is samay shuru hoti hain. Yeh bulbule ya halke tap jaisi lagti hain, aur agle kuch hafton mein saaf kicks ban jaayengi. Agar yeh aapka pehla baby hai to aap mujhe thodi der se mehsoos kar sakti hain - yeh bilkul normal hai.
lib/screens/week_flow_screen.dart	11416	11688		The tiny bones in my ears are in place, so I can hear your voice, your heartbeat and the world around us. When you talk, hum or sing to me, it helps us bond - and I'll often recognise your favourite tune after I'm born.	Mere kaano ki nanhi haddiyan ban gayi hain, isliye main aapki awaaz, aapki dhadkan aur aas-paas ki duniya sun sakta hoon. Jab aap mujhse baat karti, gungunaati ya gaati hain, to hamari bonding hoti hai - aur janm ke baad main aksar aapki pasandeeda dhun pehchaan loonga.
lib/screens/week_flow_screen.dart	11758	11796		I'm tasting your meals	Main aapke khaane ka swaad leta hoon
lib/screens/week_flow_screen.dart	12037	12240		I swallow a little amniotic fluid through the day, and my new taste buds pick up the flavours of whatever you eat. A varied, balanced diet now might even shape what I love to eat later!	Main din bhar thoda amniotic fluid nigalta hoon, aur meri nayi swaad-kaliyan aapke khaane ke flavours mehsoos karti hain. Abhi variety wali santulit diet aage chal kar mere swaad ko bhi bana sakti hai!
lib/screens/week_flow_screen.dart	12581	12767		A soft creamy coating called vernix and a layer of fine hair (lanugo) are protecting my delicate skin. Underneath, I'm building up the fat that will keep me warm and cosy after I'm born.	Vernix naam ki narm creamy parat aur mahin baal (lanugo) meri naazuk tvacha ko bacha rahe hain. Iske neeche main woh fat bana raha hoon jo janm ke baad mujhe garm aur aaramdeh rakhega.
lib/screens/week_flow_screen.dart	13073	13261		I'm settling into my own sleep-and-wake cycles, and I'm often most active just when you lie down to rest! Noticing my patterns is the start of you getting to know me.	Main apne sone-jaagne ke cycle mein aa raha hoon, aur aksar tab sabse zyada active hota hoon jab aap aaram karne letti hain! Mere patterns pehchaanna aapke mujhe jaan-ne ki shuruaat hai.
lib/screens/week_flow_screen.dart	14239	14339		Limit shark, swordfish and king mackerel - mercury can affect baby's developing brain.	Shark, swordfish aur king mackerel kam karein - mercury baby ke dimaag ko prabhavit kar sakta hai.
lib/screens/week_flow_screen.dart	15286	15398		Rich in calcium and protein - builds your baby's bones and teeth, and keeps yours strong too.	Calcium aur protein se bharpoor - baby ki haddiyan-daant banata hai aur aapki haddiyan bhi mazboot rakhta hai.
lib/screens/week_flow_screen.dart	16007	16093		Loaded with folate, iron and calcium - key for baby's growth and your own energy.	Folate, iron aur calcium se bharpoor - baby ke vikas aur aapki urja ke liye zaroori.
lib/screens/week_flow_screen.dart	16558	16655		Complete protein and choline, which supports your baby's brain development. Cook them well.	Poora protein aur choline, jo baby ke dimaag ke vikas mein madad karta hai. Achhe se pakaayein.
lib/screens/week_flow_screen.dart	17493	17738		If you haven't already, book or attend your 20-week scan. This gentle ultrasound checks baby's growth, heart, spine and organs - and you may catch a lovely glimpse of your little one. Take your partner along if you can.	Agar abhi tak nahi kiya, to apna 20-hafte ka scan book karein ya karwaayein. Yeh halka ultrasound baby ki growth, dil, reedh aur organs check karta hai - aur aapko apne nanhe ki jhalak bhi mil sakti hai. Ho sake to partner ko saath le jaayein.
