ParentVeda Birthing Gown	ParentVeda प्रसव गाउन
ParentVeda Grip Socks	ParentVeda पकड़ वाले मोज़े
ParentVeda Lip Balm	ParentVeda Lip Balm
ParentVeda Soft Scrunchies	ParentVeda नरम Scrunchies
ParentVeda Straw Bottle	ParentVeda स्ट्रॉ वाली बोतल
ParentVeda Energy Bites	ParentVeda Energy Bites
ParentVeda Maternity Pads	ParentVeda Maternity Pads
ParentVeda Maternity Briefs	ParentVeda Maternity Briefs
ParentVeda Nursing Bra	ParentVeda Nursing Bra
ParentVeda Breast Pads	ParentVeda Breast Pads
ParentVeda Nipple Cream	ParentVeda Nipple Cream
ParentVeda Going-Home Set	ParentVeda घर जाने का सेट
ParentVeda Travel Kit	ParentVeda सफ़र किट
ParentVeda Soft Towel	ParentVeda नरम तौलिया
ParentVeda Slip-ons	ParentVeda आरामदेह चप्पल
ParentVeda Belly Binder	ParentVeda पेट की बेल्ट
ParentVeda Newborn Bodysuits	ParentVeda नवजात Bodysuits
ParentVeda Muslin Swaddle	ParentVeda मलमल का Swaddle
ParentVeda Mittens & Booties	ParentVeda दस्ताने और बूटी
ParentVeda Soft Cap	ParentVeda नरम टोपी
ParentVeda Newborn Diapers	ParentVeda नवजात Diapers
ParentVeda Water Wipes	ParentVeda Water Wipes
ParentVeda Baby Blanket	ParentVeda शिशु कंबल
ParentVeda Hooded Towel	ParentVeda टोपी वाला तौलिया
ParentVeda Baby Lotion	ParentVeda Baby Lotion
ParentVeda First Outfit	ParentVeda पहला जोड़ा
ParentVeda Snack Pack	ParentVeda नाश्ते का पैक
ParentVeda Power Bank	ParentVeda Power Bank
ParentVeda Eye Mask	ParentVeda Eye Mask
ParentVeda Affirmation Cards	ParentVeda हौसले के कार्ड
ParentVeda Nursing Pillow	ParentVeda Nursing Pillow
ParentVeda Extra Outfit	ParentVeda एक और जोड़ा
ParentVeda Compression Socks	ParentVeda Compression Socks
ParentVeda Mini Fan	ParentVeda छोटा पंखा
ParentVeda 	ParentVeda 
Everyday 	साधारण 
Everyday option	साधारण विकल्प
${itemId}_pv	${itemId}_pv
ParentVeda pick	ParentVeda की पसंद
${itemId}_value	${itemId}_value
Amazon	Amazon
FirstCry	FirstCry
${itemId}_$key	${itemId}_$key
