babySnapshot.milestone	आवाज़ों की दुनिया
babySnapshot.weekHeadline	आपके शिशु के कान और विकसित हो रहे हैं, और उसका दिमाग़ तेज़ी से ऐसे जोड़ बना रहा है जो सीखने और याद रखने में मदद करेंगे।
babySnapshot.size.fruit	एक शकरकंद
babySnapshot.size.length	लगभग 14.2 cm
babySnapshot.size.weight	लगभग 190 g
babySnapshot.reveal	माँ, मैं आपकी आवाज़ सुनने और अपने आस-पास की दुनिया से सीखने की तैयारी कर रहा हूँ।
babyDevelopment.whatImDoing	मेरे कान तेज़ी से बन रहे हैं और मेरा दिमाग़ लाखों नए तंत्रिका-जोड़ बना रहा है। अब मैं अपने हाथ-पैर ज़्यादा क़ाबू से हिला पाता हूँ और मेरा नर्वस सिस्टम और परिपक्व होता जा रहा है।
babyDevelopment.funFact	जो रास्ते मुझे सुनने, सीखने और याद रखने में मदद करेंगे, वे अभी तेज़ी से बन रहे हैं।
momJourney.physicalChanges	आपकी बच्चेदानी बढ़ती जा रही है और शरीर का संतुलन धीरे-धीरे बदल रहा है। बहुत सी माँओं को अपने चलने-बैठने और संतुलन में बदलाव महसूस होने लगता है।
momJourney.emotionalState	जैसे-जैसे anomaly scan क़रीब आता है, उत्साह बढ़ता जाता है और शिशु पहले से कहीं ज़्यादा सच्चा महसूस होने लगता है।
momJourney.commonSymptoms[0]	कमर में तकलीफ़
momJourney.commonSymptoms[1]	बढ़ता हुआ बंप
momJourney.commonSymptoms[2]	भूख बढ़ना
momJourney.commonSymptoms[3]	कभी-कभी चक्कर आना
momJourney.selfCareTip	बैठने-खड़े होने के ढंग पर ध्यान दीजिए और बहुत देर तक एक ही मुद्रा में खड़े मत रहिए।
momJourney.reassurance	Anomaly scan से पहले उत्साह और घबराहट दोनों महसूस होना बिलकुल सामान्य है।
nutrition.nutritionTheme	तेज़ दिमाग़ की नींव
nutrition.focusNutrients[0]	Omega-3
nutrition.focusNutrients[1]	अच्छी वसा
nutrition.whyNow	आपके शिशु का दिमाग़ और नर्वस सिस्टम तेज़ी से बन रहे हैं, जिन्हें अच्छी वसा से फ़ायदा होता है।
nutrition.foods[0]	अलसी
nutrition.foods[1]	अख़रोट
nutrition.foods[2]	चिया बीज
nutrition.foods[3]	सोयाबीन
nutrition.foods[4]	मूँगफली
nutrition.indianSuperfoodOfTheWeek.food	अलसी
nutrition.indianSuperfoodOfTheWeek.benefit	Omega-3 वसा के सबसे अच्छे शाकाहारी स्रोतों में से एक, जो दिमाग़ के विकास में मदद करती है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	पिसी हुई अलसी आटे, दही या स्मूदी में मिलाकर लें।
nutrition.mealIdea	दही का कटोरा, ऊपर से अलसी का पाउडर, अख़रोट और मौसमी फल।
nutrition.tip	साबुत अलसी के मुक़ाबले पिसी हुई अलसी शरीर कहीं बेहतर तरीक़े से सोखता है।
actionPlan.doThisWeek	Anomaly scan के लिए अपने सवाल तैयार कीजिए, और अपने शिशु से बात करना या उसे पढ़कर सुनाना जारी रखिए।
actionPlan.skipThisWeek	ऑनलाइन घंटों गर्भावस्था की डरावनी कहानियाँ खोजते रहना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, पानी जैसा स्राव, बुख़ार, तेज़ सिरदर्द या अचानक सूजन हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	Anomaly scan मुख्य रूप से शिशु का लिंग जानने के लिए होता है।
actionPlan.mythBuster.truth	Anomaly scan मुख्य रूप से आपके शिशु के विकास और बनावट को जाँचने के लिए किया जाता है।
garbhSanskar.affirmation	मेरे और मेरे शिशु के बीच प्यार अभी से बह रहा है।
garbhSanskar.reflectionPrompt	कौन सा गीत, कहानी या परंपरा आप अपने बच्चे के साथ बाँटना चाहेंगी?
garbhSanskar.spokenLine	माँ, मैं आपकी आवाज़ सुनने की तैयारी कर रहा हूँ।
reflectAndRemember.reflectionPrompt	कौन सा गीत, किताब या कहानी आप चाहेंगी कि आपका बच्चा उसके साथ बड़ा हो?
reflectAndRemember.journalPrompt	बचपन की कोई पसंदीदा याद लिखिए और यह भी कि आप क्यों चाहती हैं कि आपका बच्चा भी कुछ वैसा ही जिए।
reflectAndRemember.photoPrompt	बचपन की कोई पसंदीदा किताब, खिलौना, गानों का संग्रह या पारिवारिक परंपरा — जिसे आप एक दिन बाँटना चाहती हैं — उसकी तस्वीर लीजिए।
partnerCorner.whatSheMayFeel	आने वाले anomaly scan पर ध्यान लगाए हुए, और शिशु के विकास के बारे में और जानने को उत्सुक।
partnerCorner.whatYouCanDo	सवाल तैयार करने में मदद कीजिए, और अगर वह घबराई हुई हो तो भरोसा दिलाइए।
partnerCorner.oneMission	हो सके तो anomaly scan पर साथ जाइए और बाद में इस पड़ाव को साथ मिलकर मनाइए।
partnerCorner.shareMessage	हम अपने नन्हे के बारे में और जानने के लिए बेताब हैं ❤
