Apples are a great everyday fruit in pregnancy.	गर्भावस्था में सेब रोज़ का एक बढ़िया फल है।
Good fibre and vitamins that help digestion and energy. Wash well before eating.	अच्छा fibre और विटामिन, जो पाचन और ऊर्जा में मदद करते हैं। खाने से पहले अच्छी तरह धो लीजिए।
Oranges and citrus fruits are a healthy choice.	संतरा और खट्टे फल एक सेहतमंद विकल्प हैं।
Rich in vitamin C and water, they support immunity and hydration.	इनमें Vitamin C और पानी भरपूर है, जो रोग-प्रतिरोधक क्षमता और शरीर में पानी बनाए रखने में मदद करते हैं।
Grapes are fine in moderation, washed well.	अंगूर अच्छी तरह धोकर, सीमित मात्रा में ठीक हैं।
A good source of vitamins; rinse thoroughly and keep portions modest due to natural sugar.	विटामिन का अच्छा स्रोत; अच्छी तरह धोइए और क़ुदरती चीनी की वजह से मात्रा सीमित रखिए।
Watermelon is hydrating and safe.	तरबूज़ सुरक्षित है और शरीर में पानी बनाए रखता है।
Mostly water with helpful minerals; great in heat. Eat it freshly cut at home, not pre-cut from outside.	ज़्यादातर पानी, साथ में काम के खनिज; गर्मी में बढ़िया। घर पर ताज़ा काटकर खाइए, बाहर का कटा हुआ नहीं।
Muskmelon is a safe, hydrating fruit.	ख़रबूज़ा एक सुरक्षित फल है जो शरीर में पानी बनाए रखता है।
Light and water-rich; wash the rind and eat it freshly cut at home.	हल्का और पानी से भरपूर; छिलका धोइए और घर पर ताज़ा काटकर खाइए।
Guava is a nutritious, high-fibre fruit.	अमरूद एक पौष्टिक फल है जिसमें fibre ख़ूब है।
Rich in fibre and vitamin C; helps with constipation. Wash well.	इसमें fibre और Vitamin C भरपूर है; क़ब्ज़ में मदद करता है। अच्छी तरह धोइए।
Pomegranate is a healthy choice in pregnancy.	गर्भावस्था में अनार एक सेहतमंद विकल्प है।
Full of iron-supporting nutrients and antioxidants; a gentle, nourishing fruit.	Iron में मदद करने वाले पोषक तत्वों और antioxidants से भरा; एक सौम्य, पोषक फल।
Chikoo is fine in moderation.	चीकू सीमित मात्रा में ठीक है।
Sweet and energy-giving; enjoy in modest amounts as it is high in natural sugar.	मीठा और ऊर्जा देने वाला; क़ुदरती चीनी ज़्यादा है इसलिए थोड़ी मात्रा में खाइए।
Custard apple is fine in moderation.	शरीफ़ा सीमित मात्रा में ठीक है।
Nutritious and energy-rich; keep portions modest due to its sweetness.	पौष्टिक और ऊर्जा से भरपूर; मिठास की वजह से मात्रा सीमित रखिए।
Litchi is fine in small amounts.	लीची थोड़ी मात्रा में ठीक है।
Refreshing and sweet; eat ripe ones in moderation and not on an empty stomach.	ताज़गी भरी और मीठी; पकी हुई सीमित मात्रा में खाइए, ख़ाली पेट नहीं।
Ripe jackfruit is fine in moderation.	पका कटहल सीमित मात्रा में ठीक है।
Enjoy ripe jackfruit in modest amounts; there is no good reason to fear it in normal quantities.	पका कटहल थोड़ी मात्रा में खाइए; आम मात्रा में इससे डरने की कोई ख़ास वजह नहीं है।
Dates are a wonderful pregnancy snack.	खजूर गर्भावस्था का एक बेहतरीन स्नैक है।
Rich in iron and natural energy, and often suggested later in pregnancy. Enjoy a few a day.	इसमें Iron और क़ुदरती ऊर्जा भरपूर है, और गर्भावस्था के बाद के दौर में अक्सर सुझाया जाता है। रोज़ कुछ खाइए।
Figs are nutritious and safe.	अंजीर पौष्टिक और सुरक्षित है।
Good for fibre, calcium and iron, and helpful for digestion. Fresh or soaked dried figs both work.	fibre, Calcium और Iron के लिए अच्छा, और पाचन में मददगार। ताज़ा या भिगोया हुआ सूखा अंजीर, दोनों चलेंगे।
Strawberries and berries are a healthy choice.	स्ट्रॉबेरी और बेरी एक सेहतमंद विकल्प हैं।
Rich in vitamin C and antioxidants; wash thoroughly before eating.	इनमें Vitamin C और antioxidants भरपूर हैं; खाने से पहले अच्छी तरह धोइए।
Kiwi is a safe, vitamin-rich fruit.	कीवी एक सुरक्षित फल है, विटामिन से भरपूर।
High in vitamin C and fibre, and gentle on digestion.	इसमें Vitamin C और fibre ज़्यादा हैं, और यह पाचन पर नरम है।
Pears are a safe, gentle fruit.	नाशपाती एक सुरक्षित, सौम्य फल है।
Good fibre and hydration, and easy on the stomach. Wash well.	अच्छा fibre और पानी, और पेट पर आसान। अच्छी तरह धोइए।
Dried fruits and nuts are a great snack.	सूखे मेवे और नट्स एक बढ़िया स्नैक हैं।
Nutrient-dense energy with iron and good fats; keep portions sensible.	Iron और अच्छे fats के साथ पोषण से भरी ऊर्जा; मात्रा समझदारी से रखिए।
Almonds are a healthy daily snack.	बादाम रोज़ का एक सेहतमंद स्नैक है।
Good fats, protein and vitamin E; a handful a day is lovely. Soaked almonds are easy to digest.	अच्छे fats, protein और Vitamin E; दिन में एक मुट्ठी बढ़िया है। भीगे बादाम आसानी से पच जाते हैं।
Walnuts are nourishing in pregnancy.	गर्भावस्था में अख़रोट पोषण देता है।
A good source of omega-3 fats that support development; a few a day is plenty.	Omega-3 fats का अच्छा स्रोत, जो शिशु के विकास में मदद करते हैं; दिन में कुछ ही काफ़ी हैं।
Cashews are fine in moderation.	काजू सीमित मात्रा में ठीक हैं।
Tasty and nutritious; keep to a small handful as they are calorie-rich.	स्वादिष्ट और पौष्टिक; कैलोरी ज़्यादा है इसलिए एक छोटी मुट्ठी तक रखिए।
Peanuts are safe unless you are allergic.	मूँगफली सुरक्षित है, बशर्ते आपको allergy न हो।
A good plant protein; avoid only if you have a known peanut allergy.	एक अच्छा वनस्पति protein; सिर्फ़ तभी बचिए जब आपको मूँगफली से allergy होना पता हो।
Makhana (fox nuts) is a great light snack.	मखाना एक बढ़िया हल्का स्नैक है।
Low in fat and good for a roasted, guilt-free nibble.	इसमें fat कम है — भुना हुआ मखाना बिना किसी झिझक के खाया जा सकता है।
Sabudana is safe and easy to digest.	साबूदाना सुरक्षित है और आसानी से पच जाता है।
A gentle source of energy, popular during fasts; cook it well.	ऊर्जा का एक सौम्य स्रोत, व्रत में ख़ूब चलता है; अच्छी तरह पकाइए।
