babySnapshot.milestone	मेरी आँखें खुल गई हैं
babySnapshot.weekHeadline	आपका शिशु अब अपनी आँखें खोल और बंद कर सकता है, और उसके दिमाग़ का विकास तेज़ी से बढ़ रहा है।
babySnapshot.size.fruit	एक बड़ा बैंगन
babySnapshot.size.length	लगभग 37.6 cm
babySnapshot.size.weight	लगभग 1200 g
babySnapshot.reveal	माँ, अब मेरी आँखें खुल गई हैं और मैं अपने आस-पास की दुनिया को और महसूस करने लगा हूँ।
babyDevelopment.whatImDoing	मैं अपनी आँखें खोल-बंद कर सकता हूँ, पलक झपका सकता हूँ और रोशनी पर प्रतिक्रिया दे सकता हूँ। मेरा दिमाग़ तेज़ी से बन रहा है और मेरे फेफड़े बाहर की ज़िंदगी की तैयारी करते जा रहे हैं।
babyDevelopment.funFact	अगर आपके पेट पर तेज़ रोशनी पड़े, तो हो सकता है मैं उसकी तरफ़ मुड़ जाऊँ।
momJourney.physicalChanges	आपका शिशु तेज़ी से बढ़ रहा है और ज़्यादा जगह ले रहा है। आपको तेज़ लातें, पेट में बढ़ता दबाव और आराम से सोने में ज़्यादा दिक़्क़त महसूस हो सकती है।
momJourney.emotionalState	बहुत सी माँएँ अब शिशु से मिलने के उत्साह और प्रसव के ख़यालों — दोनों के बीच संतुलन बनाने लगती हैं।
momJourney.commonSymptoms[0]	शिशु की तेज़ हलचल
momJourney.commonSymptoms[1]	कमर दर्द
momJourney.commonSymptoms[2]	सीने में जलन
momJourney.commonSymptoms[3]	नींद में ख़लल
momJourney.selfCareTip	नींद को प्राथमिकता दीजिए और सोने से पहले एक शांत रूटीन बनाइए, जो बदलते शरीर का साथ दे।
momJourney.reassurance	तीसरी तिमाही में नींद की दिक़्क़तें आम होती जाती हैं और आमतौर पर गर्भावस्था का सामान्य हिस्सा हैं।
nutrition.nutritionTheme	दिमाग़ की बढ़त को ताक़त
nutrition.focusNutrients[0]	Omega-3
nutrition.focusNutrients[1]	प्रोटीन
nutrition.whyNow	आपके शिशु का दिमाग़ अपने सबसे अहम विकास दौरों में से एक से गुज़र रहा है।
nutrition.foods[0]	अख़रोट
nutrition.foods[1]	अलसी
nutrition.foods[2]	सोयाबीन
nutrition.foods[3]	पनीर
nutrition.foods[4]	दही
nutrition.indianSuperfoodOfTheWeek.food	अख़रोट
nutrition.indianSuperfoodOfTheWeek.benefit	अच्छी वसा देते हैं, जो दिमाग़ के तेज़ विकास में मदद करती है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	रोज़ 2–4 अख़रोट की फाँकें नाश्ते में।
nutrition.mealIdea	दही का कटोरा, अख़रोट, अलसी का पाउडर और फल।
nutrition.tip	परफ़ेक्शन से ज़्यादा नियमितता मायने रखती है। रोज़ के छोटे अच्छे चुनाव मिलकर बड़ा फ़र्क़ बनाते हैं।
actionPlan.doThisWeek	शिशु की हलचल पर ध्यान देना सीखना शुरू कीजिए और हर दिन उससे बात करती रहिए।
actionPlan.skipThisWeek	लगातार नींद की दिक़्क़त या बहुत ज़्यादा थकान को नज़रअंदाज़ करना।
actionPlan.redFlags	अगर ब्लीडिंग, पानी जैसा स्राव, दर्द भरे संकुचन, तेज़ सिरदर्द, नज़र में बदलाव, अचानक सूजन या शिशु की हलचल कम हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	शिशु जन्म तक आँखें बंद ही रखते हैं।
actionPlan.mythBuster.truth	इस दौर तक शिशु अपनी आँखें खोल-बंद कर सकते हैं और रोशनी पर प्रतिक्रिया दे सकते हैं।
garbhSanskar.affirmation	मैं ख़ुद को शांति, आत्मविश्वास और प्यार के साथ तैयार कर रही हूँ।
garbhSanskar.reflectionPrompt	आप कैसी माता-पिता बनना चाहती हैं?
garbhSanskar.spokenLine	माँ, अब मेरी आँखें खुल गई हैं।
reflectAndRemember.reflectionPrompt	आप कैसी माता-पिता बनना चाहती हैं?
reflectAndRemember.journalPrompt	लिखिए कि आप कैसी माता-पिता बनना चाहती हैं और कौन से मूल्य रोज़ जीना चाहती हैं।
reflectAndRemember.photoPrompt	अपने बढ़ते बंप की तस्वीर लीजिए और एक बात लिखिए जिस पर आपको एक होने वाली माँ के रूप में गर्व है।
partnerCorner.whatSheMayFeel	इस बात से ज़्यादा सजग कि प्रसव क़रीब आ रहा है, और शिशु के आने की तैयारी पर ध्यान लगाए हुए।
partnerCorner.whatYouCanDo	शिशु की हलचल पर ध्यान देना सीखिए और उसकी रोज़ की दिनचर्या में साथ दीजिए।
partnerCorner.oneMission	साथ मिलकर 10 मिनट शिशु की हरकतों को महसूस कीजिए और उन्हें मनाइए।
partnerCorner.shareMessage	ये नन्ही लातें हमारे शिशु का हमें 'नमस्ते' कहने का तरीक़ा हैं ❤
