babySnapshot.milestone	पहली तिमाही पूरी
babySnapshot.weekHeadline	आप एक बड़े पड़ाव पर पहुँच गई हैं। आपके शिशु के अंग बन चुके हैं और पहली तिमाही ख़त्म होने को है।
babySnapshot.size.fruit	एक नींबू
babySnapshot.size.length	लगभग 5.4 cm
babySnapshot.size.weight	लगभग 14 g
babySnapshot.reveal	माँ, हमने कर दिखाया। हमने साथ मिलकर अपना पहला बड़ा अध्याय पूरा कर लिया।
babyDevelopment.whatImDoing	मेरे ज़्यादातर मुख्य अंग बन चुके हैं और काम करने लगे हैं। मैं अपने हाथ-पैर हिला सकता हूँ, अपनी नन्ही उँगलियाँ खोल-बंद कर सकता हूँ, और मेरी सजगता हर दिन बढ़ रही है।
momJourney.physicalChanges	आपकी बच्चेदानी अब पहले से काफ़ी बड़ी हो चुकी है और आपका शरीर बढ़ते शिशु को सँभालने के लिए ख़ुद को काफ़ी ढाल चुका है।
momJourney.emotionalState	पहली तिमाही के अंत तक पहुँचकर बहुत सी माँओं को राहत, कृतज्ञता और एक नया आत्मविश्वास महसूस होता है।
momJourney.commonSymptoms[0]	थकान
momJourney.commonSymptoms[1]	कभी-कभी मितली
momJourney.commonSymptoms[2]	बार-बार पेशाब आना
momJourney.commonSymptoms[3]	स्तनों में बदलाव
momJourney.selfCareTip	एक पल रुककर यह महसूस कीजिए कि पिछले तीन महीनों में आपके शरीर ने कितना कुछ कर दिखाया है।
momJourney.reassurance	पहली तिमाही लंबी और थका देने वाली लग सकती है। यहाँ तक पहुँचना सचमुच मनाने लायक़ है।
nutrition.nutritionTheme	सेहतमंद ख़ून बनाना
nutrition.focusNutrients[0]	आयरन
nutrition.focusNutrients[1]	विटामिन C
nutrition.whyNow	आपके शरीर में ख़ून की मात्रा तेज़ी से बढ़ रही है ताकि बढ़ते शिशु और प्लेसेंटा को सँभाला जा सके।
nutrition.foods[0]	पालक
nutrition.foods[1]	राजमा
nutrition.foods[2]	काला चना
nutrition.foods[3]	गुड़
nutrition.foods[4]	आँवला
nutrition.indianSuperfoodOfTheWeek.food	आँवला
nutrition.indianSuperfoodOfTheWeek.benefit	विटामिन C से भरपूर, जो आयरन सोखने में मदद करता है और रोग-प्रतिरोधक क्षमता बढ़ाता है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	ताज़ा, जूस के रूप में, या चटनी में मिलाकर।
nutrition.mealIdea	राजमा-चावल के साथ सलाद और ताज़ा आँवला।
nutrition.tip	आयरन वाले खाने के साथ विटामिन C वाली चीज़ें लीजिए, ताकि आयरन बेहतर सोखा जाए।
actionPlan.doThisWeek	पहली तिमाही पूरी होने का जश्न मनाइए, आने वाली अपॉइंटमेंट देख लीजिए, और अच्छी आदतें जारी रखिए।
actionPlan.skipThisWeek	सिर्फ़ इसलिए सेहतमंद दिनचर्या छोड़ देना कि कुछ लक्षण कम होने लगे हैं।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, लगातार उल्टी के साथ पानी की कमी, बुख़ार, तेज़ सिरदर्द या चक्कर आकर गिरना हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	अब मुश्किल हिस्सा ख़त्म हो गया।
actionPlan.mythBuster.truth	हर तिमाही अपने नए अनुभव, पड़ाव और चुनौतियाँ लेकर आती है।
garbhSanskar.affirmation	हमने साथ मिलकर अपना पहला ख़ूबसूरत पड़ाव पूरा किया है।
garbhSanskar.reflectionPrompt	अपनी पहली तिमाही के सफ़र को आप कैसे बयान करेंगी?
garbhSanskar.spokenLine	माँ, हमने अपना पहला पड़ाव पार कर लिया।
reflectAndRemember.reflectionPrompt	पहली तिमाही ने आपको कैसे बदला?
reflectAndRemember.journalPrompt	अपने आने वाले कल को एक ख़त लिखिए — इस पल के बारे में और अब तक जो कुछ आपने सीखा।
reflectAndRemember.photoPrompt	पहली तिमाही पूरी होने का जश्न मनाती एक ख़ास तस्वीर लीजिए।
partnerCorner.whatSheMayFeel	राहत महसूस करती हुई, गर्व से भरी, भावुक, और पहली तिमाही पूरी करने के लिए आभारी।
partnerCorner.whatYouCanDo	उसने जो कुछ झेला है उसे स्वीकारिए, और इस अहम पड़ाव को मनाइए।
partnerCorner.oneMission	उसे बताइए कि पहली तिमाही के सफ़र में आपको उस पर सबसे ज़्यादा गर्व किस बात का है।
partnerCorner.shareMessage	पहली तिमाही पूरी ❤ देखिए, हम साथ मिलकर यहाँ तक आ गए हैं।
