babySnapshot.milestone	जन्म का अभ्यास
babySnapshot.weekHeadline	आपका शिशु साँस लेने और सोने का अभ्यास कर रहा है, और गर्भ के बाहर की ज़िंदगी की तैयारी कर रहा है।
babySnapshot.size.fruit	एक शलजम जैसा कंद
babySnapshot.size.length	लगभग 42.4 cm
babySnapshot.size.weight	लगभग 1900 g
babySnapshot.reveal	माँ, मैं उन हुनरों का अभ्यास कर रहा हूँ जिनकी ज़रूरत हमारे मिलने पर होगी।
babyDevelopment.whatImDoing	मैं साँस लेने की हरकतों का अभ्यास कर रहा हूँ, चक्रों में सो रहा हूँ, और मेरे फेफड़े और नर्वस सिस्टम परिपक्व होते जा रहे हैं। मेरा शरीर जन्म के बाद के लिए ज़रूरी पोषक तत्व और ऊर्जा जमा कर रहा है।
babyDevelopment.funFact	भले ही मैं अभी हवा में साँस नहीं लेता, फिर भी एमनियोटिक द्रव से साँस लेने की हरकतों का नियमित अभ्यास करता हूँ।
momJourney.physicalChanges	आपका शिशु पहले से कहीं ज़्यादा जगह ले रहा है। आपको पसलियों, मूत्राशय और पेल्विस पर बढ़ा हुआ दबाव महसूस हो सकता है।
momJourney.emotionalState	बहुत सी माँएँ मन ही मन प्रसव की तैयारी करने लगती हैं और नवजात के साथ ज़िंदगी की कल्पना करती हैं।
momJourney.commonSymptoms[0]	बार-बार पेशाब आना
momJourney.commonSymptoms[1]	साँस फूलना
momJourney.commonSymptoms[2]	कमर में तकलीफ़
momJourney.commonSymptoms[3]	सोने में दिक़्क़त
momJourney.selfCareTip	दिन भर में थोड़े-थोड़े ब्रेक लीजिए और आरामदायक मुद्रा में आराम को प्राथमिकता दीजिए।
momJourney.reassurance	तीसरी तिमाही के कई लक्षण बस इस बात की निशानी हैं कि आपका शिशु बढ़ रहा है और जन्म की तैयारी कर रहा है।
nutrition.nutritionTheme	जन्म की तैयारी
nutrition.focusNutrients[0]	आयरन
nutrition.focusNutrients[1]	प्रोटीन
nutrition.whyNow	आपका शिशु आयरन और पोषक तत्व जमा कर रहा है, जो जन्म के बाद पहले महीनों में उसके काम आएँगे।
nutrition.foods[0]	पालक
nutrition.foods[1]	राजमा
nutrition.foods[2]	काला चना
nutrition.foods[3]	पनीर
nutrition.foods[4]	मूंग दाल
nutrition.indianSuperfoodOfTheWeek.food	पालक
nutrition.indianSuperfoodOfTheWeek.benefit	आयरन, folate और एंटीऑक्सिडेंट देता है, जो ख़ून बनने में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	पालक दाल, पालक पनीर, या पालक का सूप।
nutrition.mealIdea	पालक पनीर के साथ रोटी और ताज़ा सलाद।
nutrition.tip	आयरन वाले खाने के साथ नींबू, आँवला या संतरा लीजिए, ताकि आयरन बेहतर सोखा जाए।
actionPlan.doThisWeek	अपना अस्पताल बैग तैयार करना शुरू कीजिए और ज़रूरी काग़ज़ात आसानी से मिलने वाली जगह रखिए।
actionPlan.skipThisWeek	प्रसव शुरू होने का इंतज़ार करके तब अस्पताल का सामान जुटाना।
actionPlan.redFlags	अगर ब्लीडिंग, पानी जैसा स्राव, दर्द भरे संकुचन, तेज़ सिरदर्द, नज़र में बदलाव, अचानक सूजन या शिशु की हलचल कम हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	शिशु जन्म की तैयारी सिर्फ़ प्रसव के दौरान करता है।
actionPlan.mythBuster.truth	आपका शिशु महीनों से जन्म की तैयारी कर रहा है — साँस के अभ्यास, बढ़त और अंगों के विकास के ज़रिए।
garbhSanskar.affirmation	मैं एक-एक दिन करके जन्म की तैयारी कर रही हूँ।
garbhSanskar.reflectionPrompt	शिशु के आने के बाद आप किस बात का सबसे ज़्यादा इंतज़ार कर रही हैं?
garbhSanskar.spokenLine	माँ, मैं साँस लेने का अभ्यास कर रहा हूँ।
reflectAndRemember.reflectionPrompt	शिशु के आने के बाद आप किस बात का सबसे ज़्यादा इंतज़ार कर रही हैं?
reflectAndRemember.journalPrompt	अपने नवजात के साथ घर पर पहले दिन का वर्णन कीजिए। आपको लगता है वह कैसा महसूस होगा?
reflectAndRemember.photoPrompt	अपने शिशु के लिए तैयार की गई कोई चीज़ क़ैद कीजिए — कपड़े, कमरा, किताबें, या कोई ख़ास निशानी।
partnerCorner.whatSheMayFeel	जन्म की तैयारी पर ध्यान लगाए हुए, और उत्साह व घबराहट के बीच संतुलन बनाती हुई।
partnerCorner.whatYouCanDo	अस्पताल बैग और व्यावहारिक तैयारियों को सँभालने में मदद कीजिए।
partnerCorner.oneMission	अपना भी अस्पताल-दिन का सामान तैयार कीजिए और साथ मिलकर अस्पताल का रास्ता देख लीजिए।
partnerCorner.shareMessage	हम अपनी ज़िंदगी के सबसे बड़े दिन की तैयारी कर रहे हैं ❤
