babySnapshot.milestone	चेहरे के हाव-भाव शुरू
babySnapshot.weekHeadline	आपके शिशु का चेहरा और भावभरा होता जा रहा है, और दिन भर नन्ही हरकतें होती रहती हैं।
babySnapshot.size.fruit	एक आड़ू
babySnapshot.size.length	लगभग 8.7 cm
babySnapshot.size.weight	लगभग 43 g
babySnapshot.reveal	माँ, मैं नन्हे-नन्हे हाव-भाव बनाने लगा हूँ और हर दिन थोड़ा और 'मैं' बनता जा रहा हूँ।
babyDevelopment.whatImDoing	मेरे चेहरे की मांसपेशियाँ बन रही हैं, जिनसे मैं नन्हे हाव-भाव बना पाता हूँ। मेरी गर्दन मज़बूत हो रही है, और पहली बार मेरा शरीर मेरे सिर से तेज़ी से बढ़ रहा है।
momJourney.physicalChanges	आपकी बच्चेदानी लगातार बढ़ रही है और आपका बंप अब ज़्यादा दिखने लगेगा। बहुत सी माँओं को ऊर्जा बेहतर महसूस होती है।
momJourney.emotionalState	जैसे-जैसे गर्भावस्था दुनिया को दिखने लगती है, आप अपने शिशु से और जुड़ाव महसूस कर सकती हैं।
momJourney.commonSymptoms[0]	बेहतर ऊर्जा
momJourney.commonSymptoms[1]	भूख बढ़ना
momJourney.commonSymptoms[2]	Round ligament में खिंचाव
momJourney.commonSymptoms[3]	नाक हल्की बंद रहना
momJourney.selfCareTip	अपने बैठने-खड़े होने के ढंग पर ध्यान दीजिए, क्योंकि शरीर का संतुलन धीरे-धीरे बदल रहा है।
momJourney.reassurance	अगर बंप अभी साफ़ नहीं दिख रहा तो यह बिलकुल सामान्य है। हर शरीर गर्भावस्था को अलग तरह से दिखाता है।
nutrition.nutritionTheme	मज़बूत हड्डियाँ
nutrition.focusNutrients[0]	कैल्शियम
nutrition.focusNutrients[1]	प्रोटीन
nutrition.whyNow	आपके शिशु की हड्डियाँ मज़बूत हो रही हैं और उन्हें लगातार कैल्शियम और प्रोटीन चाहिए।
nutrition.foods[0]	दूध
nutrition.foods[1]	पनीर
nutrition.foods[2]	दही
nutrition.foods[3]	रागी
nutrition.foods[4]	तिल
nutrition.indianSuperfoodOfTheWeek.food	रागी
nutrition.indianSuperfoodOfTheWeek.benefit	भारत में कैल्शियम के सबसे भरपूर प्राकृतिक स्रोतों में से एक, और साथ में फ़ाइबर और आयरन भी देती है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	रागी डोसा, रागी का दलिया, या रागी की रोटी।
nutrition.mealIdea	रागी डोसा के साथ दही और सब्ज़ी की चटनी।
nutrition.tip	कैल्शियम वाली चीज़ें दिन भर में बाँटकर लीजिए, ताकि शरीर उन्हें बेहतर सोख सके।
actionPlan.doThisWeek	हर हफ़्ते बंप की तस्वीर लीजिए, हल्की कसरत जारी रखिए, और सेहतमंद दिनचर्या बनाए रखिए।
actionPlan.skipThisWeek	ऑनलाइन दिखने वाला हर बेबी प्रोडक्ट ख़रीद लेना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, लगातार सिरदर्द, बुख़ार, या पानी जैसा स्राव हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	बड़ा बंप मतलब बड़ा शिशु।
actionPlan.mythBuster.truth	बंप का आकार कई बातों पर निर्भर करता है और उससे शिशु के आकार का भरोसेमंद अंदाज़ा नहीं लगता।
garbhSanskar.affirmation	मेरा शिशु हर दिन मेरा प्यार महसूस करता है।
garbhSanskar.reflectionPrompt	आप चाहती हैं कि आपका शिशु आपसे क्या सीखे?
garbhSanskar.spokenLine	माँ, मैं नन्हे-नन्हे हाव-भाव बना रहा हूँ।
reflectAndRemember.reflectionPrompt	आप चाहती हैं कि आपका शिशु आपसे क्या सीखे?
reflectAndRemember.journalPrompt	दूसरों के वे गुण लिखिए जिनकी आप सबसे ज़्यादा क़द्र करती हैं और आगे देना चाहेंगी।
reflectAndRemember.photoPrompt	अपने बढ़ते बंप की तस्वीर लीजिए और इस हफ़्ते की एक याद सँभालिए।
partnerCorner.whatSheMayFeel	उत्साहित, क्योंकि गर्भावस्था अब दिखने और सच्ची लगने लगी है।
partnerCorner.whatYouCanDo	उसके बदलते शरीर को प्यार और हौसले के साथ देखिए और सराहिए।
partnerCorner.oneMission	आज उसकी किसी ऐसी बात की सच्ची तारीफ़ कीजिए जिसका दिखने से कोई लेना-देना न हो।
partnerCorner.shareMessage	हमारा छोटा सा परिवार हर तरह से बढ़ रहा है ❤
