Islam	इस्लाम
Gratitude, gentle care for the mother, heartfelt prayer.	शुक्र, माँ की नरम देखभाल, और दिल से निकली दुआ।
Gratitude & heartfelt prayer	शुक्र और दिल से निकली दुआ
A trust to be grateful for	एक अमानत, जिसका शुक्र बनता है
Pregnancy is often received as a gift and a trust, something precious placed in your care. Pausing to feel grateful, even on a tired day, can soften the worry and steady the heart.	गर्भावस्था को अक्सर एक तोहफ़ा और एक अमानत माना जाता है — कुछ बेशक़ीमती, जो आपके भरोसे सौंपा गया है। थकान भरे दिन में भी दो पल ठहरकर शुक्र कर लेना फ़िक्र को नरम कर देता है और मन को थाम लेता है।
Praying in your own words	अपने ही लफ़्ज़ों में दुआ
Heartfelt prayer does not need to be formal; many simply speak to God from the heart, asking for a healthy baby and a safe delivery. Whatever words come to you, said sincerely, are enough.	दुआ के लिए कोई तयशुदा साँचा ज़रूरी नहीं — बहुत लोग बस दिल से ख़ुदा से बात कर लेते हैं, बच्चे की सेहत और सही-सलामत जन्म की दुआ माँग लेते हैं। जो लफ़्ज़ आपके मन से निकलें, सच्चे दिल से कहे जाएँ, वही काफ़ी हैं।
Patience as strength	सब्र ही एक ताक़त है
Patience through discomfort and waiting is deeply valued, and seen as a quiet strength rather than weakness. The long days are not wasted; they are part of what you are building.	तकलीफ़ और इंतज़ार में जो सब्र रखा जाता है, उसकी बड़ी क़द्र है — उसे कमज़ोरी नहीं, चुपचाप निभाई गई ताक़त माना जाता है। ये लंबे दिन बेकार नहीं जा रहे; ये भी उसी का हिस्सा हैं जो आप गढ़ रही हैं।
Hope after hardship	मुश्किल के बाद आसानी
A reassuring idea is that ease tends to follow hardship, that hard stretches do not last forever. Holding gently to that hope can carry you through the heavier days.	एक बात मन को तसल्ली देती है — मुश्किल के पीछे-पीछे आसानी आती है, कठिन दौर हमेशा नहीं रहता। इस उम्मीद को हल्के हाथ से थामे रहना भारी दिनों से पार लगा देता है।
Small thanks, often	छोटा शुक्र, बार-बार
Gratitude is encouraged not as a grand gesture but as a habit, small thanks given often. A whispered thank-you for a kick, a meal, a good scan, all add up.	शुक्र को कोई बड़ा आयोजन नहीं, एक आदत माना गया है — छोटा-छोटा शुक्र, बार-बार। एक लात के लिए, एक थाली के लिए, एक अच्छे स्कैन के लिए धीरे से कहा गया शुक्रिया — सब जुड़ता जाता है।
Thanking your body	अपने शरीर का शुक्रिया
Your body is quietly working day and night to grow your baby, and that is worth a moment of thanks. Even when it aches, you can rest a hand where it hurts and gently thank it for carrying on.	आपका शरीर दिन-रात चुपचाप आपके बच्चे को बड़ा कर रहा है — इतना तो एक पल के शुक्रिया का हक़ रखता ही है। जहाँ दर्द हो वहीं हाथ रखकर आप धीरे से उसका शुक्रिया कह सकती हैं कि वह फिर भी लगा हुआ है।
A prayer to begin the day	दिन की शुरुआत, एक दुआ के साथ
Some like to start the morning with a few heartfelt words, asking for ease and strength for the hours ahead. It need only be a breath and a sentence, offered before the day rushes in.	कुछ लोग सुबह की शुरुआत दिल से कहे दो-चार लफ़्ज़ों से करते हैं — आगे आने वाले घंटों के लिए आसानी और हिम्मत माँग लेते हैं। इसके लिए एक साँस और एक वाक्य ही काफ़ी है, दिन के भागने से पहले कह लीजिए।
A prayer to close the day	दिन का अंत, एक दुआ के साथ
Ending the day with a quiet word of thanks settles the heart for rest. You might simply name one good thing and hand the rest of your worries over for the night.	दिन को शुक्र के एक शांत लफ़्ज़ के साथ बंद करना मन को आराम के लिए तैयार कर देता है। आप बस एक अच्छी बात का नाम ले लीजिए, और बाक़ी फ़िक्रें रात भर के लिए सौंप दीजिए।
Turning worry into a wish	फ़िक्र को दुआ में बदल देना
When anxiety rises, it can help to turn it gently into a prayer, a wish for safety rather than a loop of fear. The worry becomes something you place in kinder hands.	जब घबराहट उठे, तो उसे धीरे से एक दुआ में बदल देना मदद करता है — डर के चक्कर की जगह सलामती की एक ख़्वाहिश। फिर वह फ़िक्र वह चीज़ बन जाती है जिसे आप किसी नरम हाथों में रख देती हैं।
Grateful for the first flutters	पहली हलचल का शुक्र
The first small movements are an easy thing to give thanks for, a quiet hello from your baby. Pausing to notice them turns an ordinary moment into a small blessing.	पहली नन्ही हलचलों का शुक्र करना सबसे आसान है — यह आपके बच्चे का चुपचाप कहा गया नमस्ते है। दो पल ठहरकर उन्हें महसूस कर लेना एक मामूली लम्हे को छोटी-सी रहमत बना देता है।
Thankful for the helpers	मदद करने वालों का शुक्र
Gratitude naturally widens to include the people who care for you, the ones who cook, drive, and check in. A silent thank-you for them is part of a grateful heart.	शुक्र अपने आप फैलकर उन लोगों तक पहुँच जाता है जो आपका ख़याल रखते हैं — जो खाना बनाते हैं, गाड़ी चलाते हैं, हाल पूछ लेते हैं। उनके लिए मन ही मन कहा गया शुक्रिया भी शुक्रगुज़ार दिल का हिस्सा है।
A heart at ease	चैन से भरा दिल
It is often felt that a grateful heart is a calmer one, less gripped by what is missing. Counting what is good, even briefly, can loosen the hold of a hard day.	अक्सर कहा जाता है कि शुक्रगुज़ार दिल ज़्यादा शांत रहता है, जो नहीं है उसकी पकड़ में कम आता है। जो अच्छा है उसे थोड़ी देर के लिए भी गिन लेना किसी भारी दिन की जकड़ ढीली कर देता है।
Asking for a gentle birth	आसान जन्म की दुआ
Many quietly ask for a safe and gentle arrival, returning to that hope whenever the day ahead feels daunting. Shaping your own short wish for it can be steadying.	बहुत-सी माएँ चुपचाप एक सलामत और आसान आगमन की दुआ माँगती हैं, और जब भी आने वाला दिन डरा दे, उसी उम्मीद पर लौट आती हैं। इसके लिए अपनी एक छोटी-सी दुआ गढ़ लेना मन को थाम लेता है।
Thanks for ordinary days	आम दिनों का शुक्र
