babySnapshot.milestone	नन्हे नैन-नक्श बनने लगे
babySnapshot.weekHeadline	आपके शिशु का चेहरा आकार लेने लगा है और नन्हे हाथ-पैर बनते जा रहे हैं।
babySnapshot.size.fruit	एक ब्लूबेरी
babySnapshot.size.length	लगभग 10 mm
babySnapshot.size.weight	1 g से कम
babySnapshot.reveal	माँ, मैं हर दिन थोड़ा और शिशु जैसा दिखने लगा हूँ।
babyDevelopment.whatImDoing	मेरा दिमाग़ तेज़ी से बढ़ रहा है। हाथों और पैरों की नन्ही कलियाँ बन रही हैं, और मेरी आँखों, कानों और नाक की बनावट साफ़ होती जा रही है। मेरा दिल मज़बूती से धड़कता रहता है।
momJourney.physicalChanges	आपकी बच्चेदानी बढ़ रही है, भले ही अभी बाहर से न दिखे। हॉर्मोन के बदलाव आपकी ऊर्जा, पाचन और भूख पर असर डालते रहते हैं।
momJourney.emotionalState	एक पल आप उत्साहित महसूस कर सकती हैं और अगले ही पल चिंतित। शुरुआती गर्भावस्था में भावनाओं का ऊपर-नीचे होना सामान्य है।
momJourney.commonSymptoms[0]	मितली
momJourney.commonSymptoms[1]	कुछ खाने का मन या अरुचि
momJourney.commonSymptoms[2]	बार-बार पेशाब आना
momJourney.commonSymptoms[3]	थकान
momJourney.selfCareTip	पानी पीते रहने पर ध्यान दें, और ज़्यादा आराम की ज़रूरत महसूस हो तो उसके लिए ख़ुद को दोषी न मानें।
momJourney.reassurance	हर गर्भावस्था अलग होती है। कुछ महिलाओं को बहुत सारे लक्षण होते हैं, तो कुछ को बहुत कम।
nutrition.nutritionTheme	सबसे पहले पानी
nutrition.focusNutrients[0]	तरल पदार्थ
nutrition.focusNutrients[1]	Electrolytes
nutrition.whyNow	उल्टी और मितली से शरीर का पानी ज़्यादा निकल जाता है, इसलिए इस समय पानी पीते रहना ख़ास तौर पर ज़रूरी है।
nutrition.foods[0]	तरबूज़
nutrition.foods[1]	खीरा
nutrition.foods[2]	नारियल पानी
nutrition.foods[3]	नींबू पानी
nutrition.foods[4]	खरबूजा
nutrition.indianSuperfoodOfTheWeek.food	नारियल पानी
nutrition.indianSuperfoodOfTheWeek.benefit	पेट पर हल्का रहते हुए शरीर को पानी और प्राकृतिक electrolytes देता है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	दिन में एक बार, सुबह के बाद एक ताज़ा गिलास।
nutrition.mealIdea	खीरे का सलाद, नारियल पानी और ताज़े फल।
nutrition.tip	एक साथ ज़्यादा पानी पीने के बजाय दिन भर थोड़े-थोड़े घूँट लेते रहें।
actionPlan.doThisWeek	पानी पीते रहें, prenatal supplements जारी रखें, और अगर ठीक लगे तो थोड़ी देर टहलें।
actionPlan.skipThisWeek	अपने लक्षणों या अपनी गर्भावस्था की तुलना दूसरों से करना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, लगातार उल्टी, बुख़ार, या शरीर में पानी की कमी के लक्षण दिखें — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	हर गर्भवती महिला को एक जैसे लक्षण होने चाहिए।
actionPlan.mythBuster.truth	स्वस्थ गर्भावस्थाओं में भी लक्षण बहुत अलग-अलग हो सकते हैं।
garbhSanskar.affirmation	मैं इस सफ़र का प्यार और धीरज के साथ स्वागत करती हूँ।
garbhSanskar.reflectionPrompt	आप अपने शिशु के लिए कैसा बचपन बनाना चाहेंगी?
garbhSanskar.spokenLine	माँ, मैं धीरे-धीरे आप जैसा दिखने लगा हूँ।
reflectAndRemember.reflectionPrompt	आप अपने शिशु के लिए कैसा बचपन बनाना चाहेंगी?
reflectAndRemember.journalPrompt	अपने आने वाले बच्चे के साथ अपने सपनों के एक दिन का वर्णन कीजिए।
reflectAndRemember.photoPrompt	किसी ऐसी जगह की तस्वीर लीजिए जहाँ आपको सुकून मिलता है और जहाँ आप एक दिन अपने बच्चे के साथ वक़्त बिताना चाहेंगी।
partnerCorner.whatSheMayFeel	इस बात को लेकर चिंतित कि सब ठीक चल रहा है या नहीं, और साथ ही आगे के सफ़र को लेकर उत्साहित भी।
partnerCorner.whatYouCanDo	ध्यान से सुनिए, हर चिंता का तुरंत हल निकालने की कोशिश किए बिना।
partnerCorner.oneMission	उससे पूछिए कि अभी उसे सबसे ज़्यादा किस बात की चिंता है — और बस सुनिए।
partnerCorner.shareMessage	हम हर दिन साथ-साथ सीख रहे हैं और बढ़ रहे हैं ❤
