babySnapshot.milestone	पूरा समय क़रीब
babySnapshot.weekHeadline	आपका शिशु अपने विकास को आख़िरी रूप दे रहा है। सफ़र अपने आख़िरी पड़ाव में पहुँच रहा है।
babySnapshot.size.fruit	एक पपीता
babySnapshot.size.length	लगभग 47.4 cm
babySnapshot.size.weight	लगभग 2700 g
babySnapshot.reveal	माँ, मैं तैयार हो रहा हूँ। जल्द ही हमें एक-दूसरे से मिलने के लिए कल्पना की ज़रूरत नहीं पड़ेगी।
babyDevelopment.whatImDoing	मेरे फेफड़े लगभग पूरी तरह परिपक्व हो चुके हैं, मेरा दिमाग़ तेज़ी से बनता जा रहा है, और मैं उन सजगताओं का अभ्यास कर रहा हूँ जो जन्म के बाद काम आएँगी — जैसे चूसना और पकड़ना।
babyDevelopment.funFact	हो सकता है मैं अभी से वे आवाज़ें, गाने और ध्वनियाँ पहचानने लगा हूँ जो गर्भावस्था में बार-बार सुनी हैं।
momJourney.physicalChanges	आपका शिशु पेल्विस में नीचे की ओर खिसकने लगेगा, जिससे पेल्विस पर दबाव बढ़ेगा पर कभी-कभी साँस लेना थोड़ा आसान हो सकता है।
momJourney.emotionalState	जैसे-जैसे डिलीवरी की तारीख़ क़रीब आती है, उत्साह, बेसब्री और इंतज़ार और गहरे होते जाते हैं।
momJourney.commonSymptoms[0]	पेल्विस पर दबाव
momJourney.commonSymptoms[1]	चाल में लड़खड़ाहट
momJourney.commonSymptoms[2]	बार-बार पेशाब आना
momJourney.commonSymptoms[3]	Braxton Hicks संकुचन
momJourney.selfCareTip	अपना अस्पताल बैग तैयार रखिए और रोज़ की दिनचर्या को सरल रखने की कोशिश कीजिए।
momJourney.reassurance	बहुत सी महिलाएँ सोचती हैं कि हर एहसास का मतलब प्रसव की शुरुआत है। यह अनिश्चितता बिलकुल सामान्य है।
nutrition.nutritionTheme	आख़िरी बढ़त में मदद
nutrition.focusNutrients[0]	प्रोटीन
nutrition.focusNutrients[1]	आयरन
nutrition.whyNow	आपका शिशु लगातार वज़न बढ़ा रहा है और जन्म के बाद के पहले हफ़्तों के लिए पोषक तत्व जमा कर रहा है।
nutrition.foods[0]	पनीर
nutrition.foods[1]	राजमा
nutrition.foods[2]	मूंग दाल
nutrition.foods[3]	पालक
nutrition.foods[4]	दही
nutrition.indianSuperfoodOfTheWeek.food	पनीर
nutrition.indianSuperfoodOfTheWeek.benefit	आख़िरी बढ़त के दौर में ज़रूरी प्रोटीन और कैल्शियम देता है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	पनीर भुर्जी, पनीर टिक्का, या पनीर की सब्ज़ी।
nutrition.mealIdea	पनीर भुर्जी के साथ मल्टीग्रेन रोटी और सलाद।
nutrition.tip	मात्रा बढ़ाने के बजाय लगातार अच्छे पोषण पर ध्यान दीजिए।
actionPlan.doThisWeek	अपना अस्पताल बैग, आने-जाने की व्यवस्था और ज़रूरी नंबरों की सूची पक्की कर लीजिए।
actionPlan.skipThisWeek	डॉक्टर की सलाह के बिना अपने अस्पताल से दूर यात्रा करना।
actionPlan.redFlags	अगर पानी जैसा स्राव, ब्लीडिंग, नियमित दर्द भरे संकुचन, तेज़ सिरदर्द, नज़र में बदलाव, अचानक सूजन या शिशु की हलचल कम हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	प्रसव शुरू होते ही आपको तुरंत पता चल जाएगा।
actionPlan.mythBuster.truth	शुरुआती प्रसव धीरे-धीरे शुरू हो सकता है और कई बार उम्मीद से अलग महसूस होता है।
garbhSanskar.affirmation	मुझे अपने शरीर और अपने शिशु पर भरोसा है।
garbhSanskar.reflectionPrompt	जन्म के बाद के पहले हफ़्ते में आप किस बात को लेकर सबसे ज़्यादा उत्साहित हैं?
garbhSanskar.spokenLine	माँ, मैं आपसे मिलने के बहुत क़रीब हूँ।
reflectAndRemember.reflectionPrompt	जन्म के बाद के पहले हफ़्ते में आप किस बात को लेकर सबसे ज़्यादा उत्साहित हैं?
reflectAndRemember.journalPrompt	अपने शिशु को पहली बार गोद में लेने के पल की कल्पना लिखिए।
reflectAndRemember.photoPrompt	अपने तैयार अस्पताल बैग की, या शिशु के इंतज़ार में रखी किसी ख़ास चीज़ की तस्वीर लीजिए।
partnerCorner.whatSheMayFeel	शिशु से मिलने को तैयार, और साथ ही यह सोचती हुई कि प्रसव कब शुरू होगा।
partnerCorner.whatYouCanDo	एक शांत माहौल बनाइए और आख़िरी वक़्त की व्यवस्थाएँ सँभालिए।
partnerCorner.oneMission	साथ मिलकर अस्पताल की पूरी तैयारी एक बार जाँच लीजिए।
partnerCorner.shareMessage	उलटी गिनती अब सचमुच शुरू हो गई है ❤
