anomaly scan	anomaly scan
20 week scan	20 हफ्ते का स्कैन
mid pregnancy scan	गर्भावस्था के बीच का स्कैन
scan timing	स्कैन कब
anomaly scan kab	स्कैन कब होता है
scan kab hona	स्कैन कब कराना है
labour signs	लेबर के लक्षण
signs of labour	प्रसव के लक्षण
contractions starting	संकुचन शुरू
am i in labour	क्या मेरा लेबर शुरू हो गया
when to go to hospital	अस्पताल कब जाना है
labour shuru	लेबर शुरू
labour ke signs	प्रसव शुरू होने के संकेत
labour kab	लेबर कब
delivery ke signs	डिलीवरी के लक्षण
iron rich foods	आयरन वाला खाना
iron deficiency	आयरन की कमी
boost iron	आयरन बढ़ाना
iron badhane	आयरन कैसे बढ़ाएँ
iron wale food	आयरन वाली चीजें
khoon ki kami	खून की कमी
sleep on back	पीठ के बल सोना
sleeping position	सोने की मुद्रा
sleep position	सोने का तरीका
back sleeping	सीधा लेटकर सोना
which side to sleep	कौन सी करवट सही है
sleep on side	करवट लेकर सोना
peeth ke bal	पीठ के बल
peeth ke bal sona	कमर के बल सोना
kis karwat sona	किस करवट सोना
kis taraf sona	किस तरफ सोना
baby moving less	शिशु कम हिल रहा है
reduced movements	हलचल कम होना
less movement	कम हलचल
baby not moving	शिशु हिल नहीं रहा
fewer kicks	लातें कम
reduced fetal movement	शिशु की हलचल कम
kam move	कम हिलना
baby kam move	बच्चा कम हिल रहा
kam hil	कम हिल
movement kam	हलचल कम
