0	हार्मोन
1	गर्भावस्था का हार्मोन hCG बढ़ रहा है — यही घर का टेस्ट पकड़ता है।
2	आपकी बच्चेदानी
3	नन्हा embryo आपकी बच्चेदानी की परत में बस रहा है; हल्की spotting सामान्य हो सकती है।
4	कैसा लग सकता है
5	अक्सर अभी कुछ ख़ास नहीं — हल्की ऐंठन या स्तनों में हल्का खिंचाव हो सकता है।
6	ख़ून की सप्लाई
7	आपका शरीर शिशु के लिए ज़्यादा ख़ून बनाना शुरू कर रहा है।
8	हार्मोन
9	Progesterone और hCG बढ़ते रहते हैं, जिससे पहले लक्षण आ सकते हैं।
10	स्तन
11	ये भरे, झुनझुनाहट भरे या नरम लग सकते हैं जैसे milk ducts बनना शुरू होते हैं।
12	ऊर्जा
13	बढ़ता Progesterone आपको बहुत ज़्यादा थका महसूस करा सकता है।
14	मतली
15	सुबह की मतली शुरू हो सकती है — थोड़ा-थोड़ा बार-बार खाना मदद करता है।
16	आपकी बच्चेदानी
17	आपकी बच्चेदानी अभी छोटी है (लगभग नींबू जितनी) — अभी बंप नहीं दिखेगा।
18	हार्मोन
19	अब स्तर ज़्यादा स्थिर हैं — दूसरी तिमाही में कई लोगों को ज़्यादा ऊर्जा महसूस होती है।
20	आपका बंप
21	आपकी बच्चेदानी का ऊपरी हिस्सा नाभि तक पहुँच जाता है — बंप साफ़ दिखने लगता है।
22	पहली हलचल
23	आप इसी समय के आस-पास पहली हल्की हलचल (quickening) महसूस कर सकती हैं।
24	शरीर
25	ज़्यादा ख़ून के बहाव से एक गर्म "निखार", घने बाल, और कभी-कभी round-ligament खिंचाव आ सकता है।
