babySnapshot.milestone	गोल-मटोल होता हुआ
babySnapshot.weekHeadline	आपके शिशु पर चर्बी चढ़ रही है, ताक़त बढ़ रही है, और वह उस नवजात जैसा दिखने लगा है जिससे आप जल्द मिलेंगी।
babySnapshot.size.fruit	एक नारियल
babySnapshot.size.length	लगभग 41.1 cm
babySnapshot.size.weight	लगभग 1710 g
babySnapshot.reveal	माँ, मैं हर दिन और मज़बूत, और गोल-मटोल और आपसे मिलने के लिए और तैयार होता जा रहा हूँ।
babyDevelopment.whatImDoing	मेरे शरीर पर चर्बी चढ़ रही है, मांसपेशियाँ मज़बूत हो रही हैं, और मेरे फेफड़े और दिमाग़ लगातार परिपक्व हो रहे हैं। जगह भले ही तंग होने लगी हो, पर मेरी हरकतें और ताक़तवर होती जा रही हैं।
babyDevelopment.funFact	अब बहुत से शिशुओं में सोने-जागने का नियमित चक्र बन जाता है — शायद इसीलिए मैं दिन के कुछ ख़ास समय ज़्यादा सक्रिय लगता हूँ।
momJourney.physicalChanges	शिशु के बढ़ने के साथ आपको तेज़ खिंचाव, लातें और पसलियों पर दबाव महसूस हो सकता है। आरामदायक मुद्रा मिलना मुश्किल होने से नींद भी चुनौती बन सकती है।
momJourney.emotionalState	आप ख़ुद को कभी शिशु से मिलने के उत्साह में और कभी बाक़ी तैयारियों के बोझ में पा सकती हैं।
momJourney.commonSymptoms[0]	सोने में दिक़्क़त
momJourney.commonSymptoms[1]	कमर दर्द
momJourney.commonSymptoms[2]	सीने में जलन
momJourney.commonSymptoms[3]	साँस फूलना
momJourney.selfCareTip	शाम को एक आरामदेह रूटीन बनाइए और तकियों से अपनी कमर, बंप और पैरों को सहारा दीजिए।
momJourney.reassurance	शारीरिक तकलीफ़ का मतलब यह नहीं कि कुछ ग़लत है। आपका शिशु बस अभी तेज़ी से बढ़ रहा है।
nutrition.nutritionTheme	ताक़त बनाना
nutrition.focusNutrients[0]	प्रोटीन
nutrition.focusNutrients[1]	आयरन
nutrition.whyNow	आपका शिशु मांसपेशियाँ बना रहा है, पोषक तत्व जमा कर रहा है और आख़िरी हफ़्तों की तैयारी कर रहा है।
nutrition.foods[0]	पनीर
nutrition.foods[1]	मूंग दाल
nutrition.foods[2]	राजमा
nutrition.foods[3]	काला चना
nutrition.foods[4]	दही
nutrition.indianSuperfoodOfTheWeek.food	पनीर
nutrition.indianSuperfoodOfTheWeek.benefit	अच्छी गुणवत्ता का प्रोटीन और कैल्शियम देता है, जो मांसपेशियों और हड्डियों के विकास में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	पनीर भुर्जी, भुना हुआ पनीर, या पनीर की सब्ज़ी।
nutrition.mealIdea	पनीर भुर्जी के साथ मल्टीग्रेन रोटी और दही।
nutrition.tip	सारा प्रोटीन एक ही भोजन में लेने के बजाय उसे दिन भर में बाँटिए।
actionPlan.doThisWeek	डिलीवरी के बाद की मदद और रिकवरी की योजना पर अपने परिवार और साथी से बात शुरू कीजिए।
actionPlan.skipThisWeek	सब कुछ अकेले करने की कोशिश करना।
actionPlan.redFlags	अगर ब्लीडिंग, पानी जैसा स्राव, दर्द भरे संकुचन, तेज़ सिरदर्द, नज़र में बदलाव, अचानक सूजन या शिशु की हलचल कम हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	शिशु अब पूरी तरह बन चुका है और बस वज़न बढ़ा रहा है।
actionPlan.mythBuster.truth	दिमाग़, फेफड़ों और नर्वस सिस्टम का ज़रूरी विकास पूरी तीसरी तिमाही में चलता रहता है।
garbhSanskar.affirmation	मेरा शरीर और मेरा शिशु ख़ूबसूरती से साथ काम कर रहे हैं।
garbhSanskar.reflectionPrompt	गर्भावस्था ने आपको धीरज के बारे में क्या सिखाया?
garbhSanskar.spokenLine	माँ, मैं मज़बूत और गोल-मटोल होता जा रहा हूँ।
reflectAndRemember.reflectionPrompt	गर्भावस्था ने आपको धीरज के बारे में क्या सिखाया?
reflectAndRemember.journalPrompt	गर्भावस्था की कोई ऐसी स्थिति लिखिए जिसने आपको धीमा होना, प्रक्रिया पर भरोसा करना या ख़ुद के साथ धीरज रखना सिखाया।
reflectAndRemember.photoPrompt	रोज़ का कोई शांत पल क़ैद कीजिए जो आपके सफ़र के इस दौर को दर्शाता हो।
partnerCorner.whatSheMayFeel	शारीरिक रूप से थकी हुई और मानसिक रूप से खिंची हुई, क्योंकि नींद मुश्किल होती जा रही है।
partnerCorner.whatYouCanDo	उसके आराम की रक्षा कीजिए और जहाँ हो सके ग़ैर-ज़रूरी ज़िम्मेदारियाँ कम कीजिए।
partnerCorner.oneMission	बाक़ी गर्भावस्था के लिए घर की एक नियमित ज़िम्मेदारी पूरी तरह अपने ऊपर ले लीजिए।
partnerCorner.shareMessage	आज का आराम कल के लिए एक निवेश है ❤
