babySnapshot.milestone	लगभग तैयार
babySnapshot.weekHeadline	आपका शिशु जन्म की तैयारी के आख़िरी दौर में है और उसके ज़्यादातर मुख्य अंग अब अच्छी तरह बन चुके हैं।
babySnapshot.size.fruit	एक ख़रबूज़ा
babySnapshot.size.length	लगभग 45 cm
babySnapshot.size.weight	लगभग 2300 g
babySnapshot.reveal	माँ, मैं लगभग तैयार हूँ। हर दिन हमें एक-दूसरे से मिलने के और क़रीब ले जा रहा है।
babyDevelopment.whatImDoing	मेरे फेफड़े परिपक्व होते जा रहे हैं, मेरा दिमाग़ तेज़ी से बन रहा है, और मुझ पर वह चर्बी चढ़ रही है जो जन्म के बाद मेरा तापमान सँभालने में मदद करेगी। मेरे ज़्यादातर तंत्र अब बाहर की ज़िंदगी की तैयारी कर रहे हैं।
babyDevelopment.funFact	मेरे नाख़ून उँगलियों के सिरे तक बढ़ चुके हैं, और हो सकता है मेरे सिर पर पूरे बाल भी आ गए हों।
momJourney.physicalChanges	आपका शिशु अब काफ़ी जगह ले रहा है। आपको पेल्विस पर बढ़ा दबाव, तेज़ हरकतें और ज़्यादा शारीरिक थकान महसूस हो सकती है।
momJourney.emotionalState	बहुत सी माँएँ उत्साह, इंतज़ार और प्रसव को लेकर बीच-बीच में घबराहट — सब एक साथ महसूस करती हैं।
momJourney.commonSymptoms[0]	पेल्विस पर दबाव
momJourney.commonSymptoms[1]	कमर दर्द
momJourney.commonSymptoms[2]	सीने में जलन
momJourney.commonSymptoms[3]	थकान
momJourney.selfCareTip	अपने शरीर के संकेत सुनिए और ज़रूरत हो तो बेझिझक धीमे हो जाइए।
momJourney.reassurance	इस दौर में शारीरिक रूप से थका महसूस करना सामान्य है। आपका शरीर बहुत बड़ा काम कर रहा है।
nutrition.nutritionTheme	आख़िरी बढ़त का दौर
nutrition.focusNutrients[0]	प्रोटीन
nutrition.focusNutrients[1]	आयरन
nutrition.whyNow	आपका शिशु लगातार वज़न बढ़ा रहा है और वे पोषक तत्व जमा कर रहा है जो जन्म के बाद पहले महीनों में काम आएँगे।
nutrition.foods[0]	पनीर
nutrition.foods[1]	राजमा
nutrition.foods[2]	काला चना
nutrition.foods[3]	पालक
nutrition.foods[4]	दही
nutrition.indianSuperfoodOfTheWeek.food	राजमा
nutrition.indianSuperfoodOfTheWeek.benefit	प्रोटीन, आयरन और फ़ाइबर देता है, जो आख़िरी हफ़्तों की स्वस्थ बढ़त में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	राजमा की सब्ज़ी, चावल या रोटी के साथ।
nutrition.mealIdea	राजमा-चावल के साथ खीरे का सलाद और दही।
nutrition.tip	बिना ज़रूरत मात्रा बढ़ाने के बजाय पोषण से भरपूर खाने को प्राथमिकता देती रहिए।
actionPlan.doThisWeek	अपना अस्पताल बैग पूरा कीजिए, ज़रूरी काग़ज़ात व्यवस्थित कीजिए, और प्रसव के लक्षण एक बार पढ़ लीजिए।
actionPlan.skipThisWeek	कोई बड़ी नई ज़िम्मेदारी लेना या शरीर को थका देने वाले काम करना।
actionPlan.redFlags	अगर ब्लीडिंग, पानी जैसा स्राव, दर्द भरे संकुचन, तेज़ सिरदर्द, नज़र में बदलाव, अचानक सूजन या शिशु की हलचल कम हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	एक बार शिशु का सिर नीचे आ जाए, तो अब कुछ बनना बाक़ी नहीं रहता।
actionPlan.mythBuster.truth	दिमाग़, फेफड़ों और रोग-प्रतिरोधक तंत्र का ज़रूरी विकास जन्म तक चलता रहता है।
garbhSanskar.affirmation	मुझे भरोसा है कि मेरा शिशु बढ़ना जानता है और मेरा शरीर सँभालना जानता है।
garbhSanskar.reflectionPrompt	एक माँ के रूप में अपनी कौन सी तीन बातें आपको अभी से पसंद हैं?
garbhSanskar.spokenLine	माँ, मैं लगभग तैयार हूँ।
reflectAndRemember.reflectionPrompt	एक माँ के रूप में अपनी कौन सी तीन बातें आपको अभी से पसंद हैं?
reflectAndRemember.journalPrompt	ख़ुद के नाम एक प्यार भरा ख़त लिखिए — उस माँ के बारे में जो आप बन रही हैं, और जो कुछ आप पहले ही कर चुकी हैं।
reflectAndRemember.photoPrompt	ख़ुद को कुछ ऐसा करते हुए क़ैद कीजिए जिससे आपको मज़बूत, सक्षम या गर्व महसूस हो।
partnerCorner.whatSheMayFeel	अपनी ऊर्जा को लेकर सतर्क, प्रसव पर ध्यान लगाए हुए, और शांति व नियंत्रण की चाह रखती हुई।
partnerCorner.whatYouCanDo	उम्मीदों को सँभालने, तनाव कम करने और उसकी शारीरिक-भावनात्मक जगह की रक्षा करने में मदद कीजिए।
partnerCorner.oneMission	डिलीवरी के बाद मेहमानों को लेकर बात कीजिए और ऐसी सीमाएँ तय कीजिए जो रिकवरी में मदद करें।
partnerCorner.shareMessage	तुम्हारा आराम और सेहत बाक़ी हर तैयारी जितने ही मायने रखते हैं ❤
