0	मेरा anomaly scan कब होना चाहिए?
1	आपका anomaly scan (जिसे '20-week scan' कहते हैं) आम तौर पर 18 से 21 हफ़्ते के बीच होता है। यह एक विस्तृत ~30 मिनट का अल्ट्रासाउंड है जो शिशु की बढ़त देखता है और दिमाग़, दिल, रीढ़, चेहरा, kidney और दूसरे अंगों के साथ placenta को ग़ौर से जाँचता है। यह सबको दिया जाता है, और यह आपकी मर्ज़ी है।
2	आप लगभग हफ़्ता 20 पर हैं — बिलकुल इस स्कैन के दायरे में। यह शिशु का विकास देखने के सबसे विस्तृत और भरोसा देने वाले तरीक़ों में से एक है।
3	अगर अभी तक बुक नहीं किया, तो अपने अस्पताल/क्लिनिक से 18–21 हफ़्ते के लिए समय ले लीजिए।
4	क्लिनिक से पूछ लीजिए कि स्कैन से पहले पानी पीना है या नहीं।
5	Sonographer के लिए अपने सवाल लिख लीजिए।
6	अपॉइंटमेंट को अपने ParentVeda कैलेंडर में जोड़ लीजिए।
7	हफ़्ता 20 सफ़र — शिशु का विकास
8	साप्ताहिक फ़्लो में 'आपके स्कैन'
9	कैलेंडर — अपना अपॉइंटमेंट दर्ज कीजिए
10	माँएँ अक्सर पूछती हैं कि anomaly scan क्या जाँचता है — ज़्यादातर इसे गर्भावस्था का सबसे भरोसा देने वाला स्कैन कहती हैं।
11	स्कैन सेंटर / Sonography
12	आपकी gynaecologist / obstetrician
13	प्रसव शुरू होने के संकेत क्या हैं?
14	प्रसव के आम शुरुआती संकेत: एक 'show' (गुलाबी, जेली जैसा mucus plug), संकुचन जो लंबे, तेज़ और पास-पास होते जाते हैं, कमर दर्द या भारी पीरियड जैसा दर्द, और पानी का टूटना (धीरे या एकदम)। अभ्यास वाले 'Braxton Hicks' कसाव आम तौर पर दर्द-रहित, अनियमित होते हैं और बढ़ते नहीं।
15	गर्भावस्था के अंत के पास आपका शरीर तैयारी कर रहा होता है। असली प्रसव के संकुचन नियमित और तेज़ होते जाते हैं, जबकि अभ्यास वाले हल्के पड़ जाते हैं। 37 हफ़्ते से पहले ये संकेत जाँचवाने चाहिए, क्योंकि यह जल्दी शुरू हुआ प्रसव हो सकता है।
16	अपने संकुचन का समय देखिए (हमारा संकुचन टाइमर मदद करता है)।
17	ज़्यादातर को सलाह दी जाती है कि जब संकुचन नियमित हो जाएँ — लगभग हर 5 मिनट में, हर एक ~60 सेकंड का — तब अस्पताल जाएँ।
18	अगर पानी टूट जाए, ब्लीडिंग दिखे, हलचल कम हो जाए, या 37 हफ़्ते से पहले हो — तो तुरंत अपनी midwife / मैटरनिटी यूनिट को कॉल कीजिए।
19	अपना अस्पताल बैग तैयार रखिए।
20	संकुचन टाइमर
21	अस्पताल बैग चेकलिस्ट
22	हफ़्ते-दर-हफ़्ते प्रसव की तैयारी
23	एक बड़ा सवाल है असली प्रसव को Braxton Hicks से पहचानना — संकुचन का समय देखना सबसे साफ़ तरीक़ा है।
24	अस्पताल बैग की ज़रूरी चीज़ें
25	मैटरनिटी यूनिट / Labour ward
26	आपकी obstetrician / midwife
27	गर्भावस्था में Iron बढ़ाने के लिए कौन से खाने मदद करते हैं?
28	गर्भावस्था में आपको रोज़ लगभग 27 mg Iron चाहिए। Iron से भरपूर खानों में हैं: lean red meat, चिकन, मछली, अंडे, दाल, बीन्स, छोले, tofu, गहरी हरी सब्ज़ियाँ जैसे पालक, और Iron-fortified cereals। इन्हें Vitamin C (संतरा, नींबू, टमाटर, शिमला मिर्च, आँवला) के साथ खाइए ताकि Iron ज़्यादा सोखा जाए — और चाय/कॉफ़ी को खाने के समय से दूर रखिए, क्योंकि वे सोखना कम करते हैं।
29	गर्भावस्था में आपका blood volume लगभग 50% बढ़ जाता है, इसलिए Iron की ज़रूरत भी बढ़ जाती है। पर्याप्त Iron anaemia से बचाता है, जिससे बहुत थकान, चक्कर या साँस फूलना हो सकता है।
30	हर मुख्य भोजन में एक Iron से भरपूर चीज़ रखिए, साथ में एक Vitamin C वाली चीज़।
31	चाय और कॉफ़ी खाने के बीच में लीजिए, खाने के साथ नहीं।
32	अपना prescribed prenatal / Iron सप्लीमेंट सलाह के मुताबिक़ लीजिए।
33	अगर बहुत थकान, चक्कर या साँस फूलने लगे, तो डॉक्टर से haemoglobin (Hb) टेस्ट के बारे में पूछिए।
34	गर्भावस्था पोषण के पाठ
35	'क्या मैं खा सकती हूँ…' खाद्य संग्रह
36	रोज़ाना सीखें — पोषण
37	Iron और ऊर्जा सबसे ज़्यादा पूछे जाने वाले पोषण विषयों में से हैं — छोटे रोज़ के बदलाव काम आते हैं।
38	Dietitian / nutritionist
39	आपकी gynaecologist (Hb जाँच के लिए)
40	क्या गर्भावस्था में पीठ के बल सोना सुरक्षित है?
41	लगभग 28 हफ़्ते तक, पीठ के बल सोना आम तौर पर ठीक है। 28 हफ़्ते से (तीसरी तिमाही), सलाह है कि करवट लेकर सोइए — शोध तीसरी तिमाही में पीठ के बल सोने को ज़्यादा stillbirth ख़तरे से जोड़ता है, क्योंकि गर्भ एक बड़ी blood vessel पर दबाव डाल सकता है और शिशु तक ख़ून का बहाव कम कर सकता है। कोई भी करवट ठीक है। अगर आप पीठ के बल जाग जाएँ, तो घबराइए मत — बस करवट ले लीजिए।
42	आप लगभग हफ़्ता 20 पर हैं, तो अभी यह चिंता की बात नहीं — लेकिन अभी से करवट लेकर सोने की आदत डालना अच्छा है, ताकि तीसरी तिमाही तक यह स्वाभाविक लगे।
43	तीसरी तिमाही से, करवट (बाईं या दाईं) लेकर सोना शुरू कीजिए।
44	घुटनों के बीच तकिया या pregnancy pillow इस्तेमाल कीजिए ताकि करवट पर आराम रहे।
45	अगर पीठ के बल जागें, तो बस करवट ले लीजिए — चिंता की कोई बात नहीं।
46	नींद और आराम के पाठ
47	साप्ताहिक 'आपके लिए, माँ' सुझाव
48	करवट लेकर सोना और तकिए तीसरी तिमाही का बड़ा आराम-विषय हैं।
49	Pregnancy pillow
50	आपकी midwife (अगर नींद की चिंता बनी रहे)
51	मेरा शिशु आज कम हिल रहा है — मैं क्या करूँ?
52	अगर आपका शिशु आम से कम हिल रहा है, तो तुरंत अपनी मैटरनिटी यूनिट से संपर्क कीजिए — रुकिए मत, चाहे आधी रात हो। कम हलचल एक ज़रूरी संकेत हो सकता है जिसे जाँचना ज़रूरी है। शिशु को हिलाने के लिए ठंडे पेय, चीनी या घरेलू नुस्ख़ों पर भरोसा मत कीजिए — जाकर जाँच करवाइए।
53	हलचल की कोई तय 'सामान्य संख्या' नहीं होती — जो मायने रखता है वह है आपके शिशु का अपना पैटर्न। हलचल लगभग 32 हफ़्ते तक बढ़ती है फिर लगभग स्थिर रहती है; अंत के पास इन्हें कम नहीं होना चाहिए। आपके शिशु के सामान्य से कमी हमेशा जाँचवानी चाहिए।
54	अभी अपनी मैटरनिटी यूनिट / labour ward को कॉल कीजिए और बताइए कि हलचल कम है।
55	बाईं करवट लेटिए और हलचल पर ध्यान दीजिए जब तक आप जाँच का इंतज़ाम करती हैं।
56	जाकर जाँच करवाइए — वे शिशु की धड़कन सुनेंगे और निगरानी कर सकते हैं।
57	कभी कल तक इंतज़ार मत कीजिए।
58	शिशु की हलचल / Kick Counter टूल
59	'आपके शिशु की हलचल' पाठ
60	यह उन सबसे ज़रूरी चीज़ों में से है जिन पर जल्दी क़दम उठाना चाहिए — माँओं को हमेशा जाँच करवाने की सलाह दी जाती है, कभी इंतज़ार करने की नहीं।
61	मैटरनिटी यूनिट / Labour ward (अभी)
62	आपकी obstetrician / midwife
