0	English
1	नीचे बैठा Placenta
2	Placenta Previa
3	इसका मतलब है कि placenta बच्चेदानी में सामान्य से नीचे, cervix के पास या उस पर बैठा है। ज़्यादातर मामलों में बच्चेदानी बढ़ने के साथ यह धीरे-धीरे ऊपर खिसक जाता है और रास्ते से हट जाता है।
4	बीच की गर्भावस्था के स्कैन में यह आम बात है। बड़ी संख्या में मामलों में placenta आगे चलकर अपने आप ऊपर चला जाता है।
5	आपके डॉक्टर आम तौर पर आगे चलकर एक और स्कैन कराएँगे ताकि placenta की जगह देखी जा सके। वही स्कैन डिलीवरी की योजना तय करने में मदद करता है।
6	उल्टी मुद्रा (Breech)
7	Breech शिशु
8	इसका मतलब है कि आपका शिशु अभी सिर के बजाय कूल्हे या पैर नीचे किए हुए है। कई शिशु गर्भावस्था के शुरुआती दौर में breech होते हैं और जन्म से पहले ख़ुद ही सिर नीचे कर लेते हैं।
9	गर्भावस्था के बड़े हिस्से में breech होना आम है। डिलीवरी की तारीख़ जैसे-जैसे पास आती है, breech रह जाने वाले शिशुओं की संख्या घटती जाती है।
10	आपके डॉक्टर शिशु की मुद्रा देखते रहेंगे। अगर आगे भी शिशु breech रहा, तो वे उसे घुमाने के सौम्य तरीक़े, या जन्म की सबसे सुरक्षित योजना पर बात कर सकते हैं।
11	गर्दन के चारों ओर गर्भनाल
12	Nuchal Cord
13	इसका मतलब है कि गर्भनाल शिशु की गर्दन के चारों ओर लिपटी है। स्कैन में यह अक्सर दिख जाता है, और ज़्यादातर गर्भावस्थाओं में इससे कोई दिक़्क़त नहीं होती — गर्भनाल ऑक्सीजन पहुँचाती रहने के लिए ही बनी है।
14	Nuchal cord स्कैन में अक्सर मिलता है, ख़ासकर पूरे समय के क़रीब। बहुत से शिशु गर्दन में गर्भनाल के साथ सुरक्षित जन्म लेते हैं।
15	आपके डॉक्टर इसे दर्ज कर लेंगे और शिशु की सामान्य निगरानी जारी रखेंगे। आम तौर पर इससे जन्म की योजना नहीं बदलती।
16	गर्भावस्था की डायबिटीज़
17	GDM
18	इसका मतलब है कि गर्भावस्था के दौरान आपके शरीर को blood sugar सँभालने में थोड़ी दिक़्क़त हो रही है। सही क़दमों से यह आम तौर पर अच्छी तरह क़ाबू में रहती है, और ज़्यादातर शिशु के जन्म के बाद चली जाती है।
19	Gestational diabetes ज़्यादा आम नतीजों में से एक है, जो बीच की गर्भावस्था में एक सामान्य शुगर टेस्ट से पकड़ी जाती है।
20	आपके डॉक्टर खानपान, हल्की गतिविधि और शुगर जाँचने पर मार्गदर्शन देंगे। कुछ माँओं को दवा भी लगती है। नियमित जाँच से सब कुछ पटरी पर रहता है।
21	कम Amniotic Fluid
22	Oligohydramnios
23	इसका मतलब है कि आपके शिशु के आस-पास तरल की मात्रा कुछ कम है। यह स्तर बदल सकता है, और आपके डॉक्टर इसे शिशु की बढ़त और हलचल के साथ मिलाकर देखेंगे।
24	बाद के स्कैन में कभी-कभी तरल कम दिखता है, और यह माप एक स्कैन से दूसरे में बदल भी सकता है।
25	आपके डॉक्टर ज़्यादा पानी पीने, बार-बार स्कैन, या शिशु पर क़रीबी नज़र रखने की सलाह दे सकते हैं। योजना इस पर निर्भर करती है कि आप कितनी आगे हैं और शिशु कैसा है।
26	Preeclampsia
27	इसका मतलब है कि गर्भावस्था में आपका ब्लड प्रेशर बढ़ा हुआ है, कभी-कभी कुछ और संकेतों के साथ जो बताते हैं कि शरीर पर ज़्यादा ध्यान चाहिए। डॉक्टर इस पर सावधानी से नज़र रखते हैं और क़दम-दर-क़दम सँभालते हैं।
28	यह गर्भावस्था का एक जाना-पहचाना नतीजा है जिसके लिए हर सामान्य विज़िट पर जाँच होती है — इसीलिए हर बार आपका ब्लड प्रेशर और पेशाब देखा जाता है।
29	आपके डॉक्टर ब्लड प्रेशर पर और क़रीबी नज़र रखेंगे, कुछ टेस्ट करा सकते हैं, और सुरक्षित डिलीवरी का समय व योजना बताएँगे। आराम और बार-बार विज़िट आम तौर पर इसका हिस्सा होते हैं।
30	ज़्यादा Amniotic Fluid
31	Polyhydramnios
32	इसका मतलब है कि आपके शिशु के आस-पास औसत से थोड़ा ज़्यादा तरल है। कई बार कोई ख़ास वजह नहीं मिलती और गर्भावस्था अच्छी चलती रहती है।
33	बाद के स्कैन में तरल का ज़्यादा होना कभी-कभी दिखता है, और अक्सर हल्का ही होता है।
34	आपके डॉक्टर आगे के स्कैन और कुछ जाँचें सुझा सकते हैं ताकि वजह समझी जा सके, साथ ही आपकी सहूलियत और शिशु की बढ़त पर नज़र रखी जाए।
35	छोटा Cervix
36	इसका मतलब है कि स्कैन में cervix औसत से छोटा नाप रहा है। आपके डॉक्टर इस पर ध्यान देते हैं क्योंकि इससे पूरे समय तक गर्भावस्था सँभालने में मदद मिलती है।
37	यह वह बात है जो बीच की गर्भावस्था के स्कैन में पकड़ में आ सकती है, और इसे सँभालने के जाने-माने तरीक़े मौजूद हैं।
38	माप के हिसाब से आपके डॉक्टर आगे के स्कैन, ज़्यादा आराम, या एक आसान सहारा देने वाला इलाज सुझा सकते हैं। योजना वे आपके हिसाब से बनाएँगे।
39	Placenta में Calcification
40	इसका मतलब है कि placenta में calcium के छोटे जमाव दिख रहे हैं। गर्भावस्था आगे बढ़ने के साथ placenta का परिपक्व होना सामान्य है, ख़ासकर बाद के दौर में।
41	बाद के स्कैन में calcification आम बात है, और अक्सर यह सिर्फ़ परिपक्व होते placenta का संकेत होता है।
42	आम तौर पर कुछ ख़ास करने की ज़रूरत नहीं। आपके डॉक्टर शिशु की बढ़त और सेहत की सामान्य निगरानी जारी रखेंगे।
43	जुड़वाँ गर्भावस्था
44	इसका मतलब है कि आपके गर्भ में एक से ज़्यादा शिशु हैं। जुड़वाँ गर्भावस्था पर थोड़ी ज़्यादा क़रीबी नज़र रखी जाती है — कुछ अतिरिक्त स्कैन और विज़िट के साथ, आपके और आपके शिशुओं के लिए।
45	जुड़वाँ आम तौर पर शुरुआती स्कैन में ही पता चल जाते हैं। इन्हें अच्छी तरह समझा गया है और इनकी देखभाल रोज़ की बात है।
46	आपके डॉक्टर बढ़त और सेहत देखने के लिए अतिरिक्त स्कैन और जाँच का कार्यक्रम बनाएँगे, और आपको बताएँगे कि आगे क्या उम्मीद रखनी है।
47	गर्भावस्था में ख़ून की कमी
48	इसका मतलब है कि आपके ख़ून में सेहतमंद लाल कोशिकाएँ या Iron ज़रूरत से कम हैं — गर्भावस्था में यह आम है, क्योंकि शरीर शिशु के लिए ज़्यादा ख़ून बनाता है। इसे सुधारना आम तौर पर आसान होता है।
49	हल्की anemia गर्भावस्था में बहुत आम है और सामान्य ख़ून की जाँच में पकड़ में आ जाती है।
50	आपके डॉक्टर आम तौर पर Iron से भरपूर खाना और अक्सर एक Iron सप्लीमेंट सुझाएँगे, फिर स्तर दोबारा जाँचेंगे। इन आसान क़दमों से ज़्यादातर माँओं में सुधार हो जाता है।
51	शिशु की हलचल कम होना
52	इसका मतलब है कि आपके शिशु की हलचल पहले से कम या अलग महसूस हुई है। हलचल का ढंग स्वाभाविक रूप से बदलता है, और इसे जँचवा लेना हमेशा सही क़दम है।
53	कई माँओं को कभी न कभी हलचल में बदलाव महसूस होता है। जल्दी से तसल्ली कर लेने की यह सबसे आम वजहों में से एक है।
54	अगर कभी हलचल कम लगे, तो अपने डॉक्टर या अस्पताल से संपर्क कीजिए — वे शिशु को जाँचेंगे, अक्सर एक आसान धड़कन या निगरानी टेस्ट से। जँचवा लेना हमेशा ठीक है।
55	Braxton Hicks संकुचन
56	इसका मतलब है कि आपको अभ्यास वाले संकुचन महसूस हो रहे हैं — बच्चेदानी कस रही है और ढीली हो रही है, प्रसव की तैयारी में। ये आम तौर पर अनियमित होते हैं और आराम करने या करवट बदलने पर कम हो जाते हैं।
57	Braxton Hicks गर्भावस्था के दूसरे आधे हिस्से का बहुत आम, सामान्य हिस्सा हैं।
58	आम तौर पर आराम, पानी और मुद्रा बदलने से ज़्यादा कुछ नहीं चाहिए। आपके डॉक्टर बताएँगे कि इन्हें असली प्रसव से कैसे पहचानें, और कब फ़ोन करना है।
59	ज़्यादा ब्लड प्रेशर
60	Gestational Hypertension
61	इसका मतलब है कि गर्भावस्था में आपका ब्लड प्रेशर सामान्य से ज़्यादा है। आपकी देखभाल करने वाली टीम इस पर क़रीबी नज़र रखती है और क़दम-दर-क़दम सँभालती है।
62	बढ़ा हुआ ब्लड प्रेशर गर्भावस्था का एक जाना-पहचाना नतीजा है — इसीलिए हर सामान्य विज़िट पर इसकी जाँच होती है।
63	आपके डॉक्टर आपकी रीडिंग ज़्यादा बार देखेंगे, कुछ आराम और कुछ टेस्ट सुझा सकते हैं, और बताएँगे कि किन बातों पर ध्यान रखना है। बहुत सी माँएँ नियमित जाँच के साथ इसे अच्छी तरह सँभाल लेती हैं।
64	नीचे बैठा Placenta (ठीक हो गया)
65	Placenta ऊपर चला गया
66	यह अच्छी ख़बर है — जो placenta पहले नीचे बैठा था, वह बच्चेदानी बढ़ने के साथ अब ऊपर, cervix से दूर चला गया है। आम तौर पर ऐसा ही होता है।
67	ज़्यादातर नीचे बैठे placenta बाद के स्कैन तक इसी तरह ठीक हो जाते हैं। यही आम और अपेक्षित नतीजा है।
68	इसके लिए आम तौर पर आगे कुछ नहीं चाहिए। आपके डॉक्टर आपकी सामान्य गर्भावस्था देखभाल जारी रखेंगे।
69	उम्र के हिसाब से छोटा शिशु
70	SGA
71	इसका मतलब है कि आपका शिशु इस चरण के औसत से थोड़ा छोटा नाप रहा है। शिशु कई सेहतमंद आकारों में आते हैं, और आपके डॉक्टर एक अकेले नंबर के बजाय समय के साथ का रुझान देखते हैं।
72	यह स्कैन में आम बात है। कई बार शिशु बस स्वाभाविक रूप से छोटा होता है और अपनी ही curve पर लगातार बढ़ता रहता है।
73	आपके डॉक्टर आगे बढ़त वाले स्कैन करा सकते हैं और ख़ून का बहाव व तरल जाँच सकते हैं, ताकि पक्का हो कि शिशु अच्छे से बढ़ता रहे। योजना इस पर निर्भर करती है कि चीज़ें कैसे चलती हैं।
74	उम्र के हिसाब से बड़ा शिशु
75	LGA
76	इसका मतलब है कि आपका शिशु इस चरण के औसत से थोड़ा बड़ा नाप रहा है। स्कैन में आकार का अंदाज़ा लगभग होता है, और बड़ा शिशु अक्सर बस एक सेहतमंद, अच्छी तरह बढ़ा हुआ शिशु होता है।
77	यह स्कैन में आम बात है, और अंदाज़े बदल सकते हैं। बहुत से बड़े नाप वाले शिशु बिना किसी परेशानी के जन्म लेते हैं।
78	आपके डॉक्टर बढ़त पर नज़र रख सकते हैं और पूरे समय के क़रीब आरामदेह, सुरक्षित डिलीवरी की सबसे अच्छी योजना पर बात करेंगे।
79	Subchorionic Hematoma
80	इसका मतलब है कि गर्भ की थैली और बच्चेदानी की दीवार के बीच थोड़ा ख़ून जमा हो गया है। इनमें से कई छोटे होते हैं और अपने आप ठीक हो जाते हैं।
81	शुरुआती गर्भावस्था के स्कैन में यह काफ़ी आम बात है। ज़्यादातर गर्भावस्था आगे बढ़ने के साथ अपने आप ठीक हो जाते हैं।
82	आपके डॉक्टर आगे एक स्कैन और कभी-कभी थोड़ा ज़्यादा आराम सुझा सकते हैं। वे बताएँगे कि किन बातों पर ध्यान रखना है, जैसे spotting।
83	जुड़वाँ में से एक का न बढ़ना
84	इसका मतलब है कि शुरुआती स्कैन में दो गर्भ थैलियाँ दिखी थीं, और अब सिर्फ़ एक बढ़ रही है। यह बहुत शुरू में होता है, और चलती हुई गर्भावस्था आम तौर पर सामान्य रूप से आगे बढ़ती है।
85	यह शुरुआती गर्भावस्था की एक जानी-पहचानी बात है, जो अब इसलिए ज़्यादा दिखती है क्योंकि स्कैन इतनी जल्दी होने लगे हैं।
86	आपके डॉक्टर आपकी चल रही गर्भावस्था की देखभाल सामान्य रूप से जारी रखेंगे। मन में मिले-जुले भाव आना स्वाभाविक है — कृपया अपने आप पर नरमी रखिए।
87	किनारे पर जुड़ी गर्भनाल
88	इसका मतलब है कि गर्भनाल placenta के बीच के बजाय उसके किनारे के पास जुड़ी है। ज़्यादातर गर्भावस्थाओं में यह बिलकुल ठीक चलता है और शिशु सामान्य रूप से बढ़ता है।
89	स्कैन में यह कोई अनोखी बात नहीं। इसके साथ ज़्यादातर शिशु बिना किसी दिक़्क़त के बढ़ते और आते हैं।
90	आपके डॉक्टर बस पूरी तसल्ली के लिए एक-दो बढ़त वाले स्कैन जोड़ सकते हैं, ताकि शिशु की बढ़त पर नज़र रहे।
91	गर्भनाल में एक ही धमनी
92	Two-Vessel Cord
93	इसका मतलब है कि गर्भनाल में सामान्य दो के बजाय एक धमनी है (नस के साथ)। अकेले में यह अक्सर हानिरहित होता है और शिशु सामान्य रूप से विकसित होता है।
94	यह स्कैन में मिलने वाली एक जानी-पहचानी बात है। कई बार यह अकेली बात होती है और कोई और चिंता नहीं होती।
95	आपके डॉक्टर स्कैन में शिशु की बढ़त और बनावट को थोड़ा ग़ौर से देख सकते हैं, ताकि पक्का हो कि बाक़ी सब उम्मीद के मुताबिक़ बन रहा है।
96	हल्का Ventriculomegaly
97	इसका मतलब है कि शिशु के दिमाग़ की तरल भरी जगहें औसत से थोड़ी चौड़ी नाप रही हैं। जब यह हल्का और अकेला हो, तो आगे की उम्मीद आम तौर पर तसल्ली देने वाली होती है।
98	यह वह बात है जो anomaly scan पकड़ सकता है। हल्के, अकेले मामले अक्सर वैसे ही रहते हैं या अपने आप ठीक हो जाते हैं।
99	आपके डॉक्टर माप पर नज़र रखने के लिए एक और स्कैन, और कभी-कभी कुछ अतिरिक्त टेस्ट सुझा सकते हैं, ताकि पूरी तस्वीर साफ़ हो।
100	दिल में चमकीला बिंदु
101	EIF
102	इसका मतलब है कि स्कैन में शिशु के दिल में एक नन्हा चमकीला बिंदु दिखा। यह एक सामान्य भिन्नता है, दिल के काम पर असर नहीं डालती, और आम तौर पर समय के साथ मिट जाती है।
103	यह स्कैन में आम बात है, ख़ासकर anomaly scan में, और इसे समस्या नहीं बल्कि एक "soft marker" माना जाता है।
104	आम तौर पर कुछ करने की ज़रूरत नहीं। आपके डॉक्टर इसे आपके पूरे स्कैन के साथ मिलाकर देखेंगे, जो आम तौर पर तसल्ली देने वाला होता है।
105	स्कैन में Soft Markers
106	इसका मतलब है कि स्कैन में एक या ज़्यादा "soft marker" दिखे — छोटी, हल्की बातें जो आम तौर पर हानिरहित भिन्नताएँ होती हैं। ये अपने आप में कोई गड़बड़ी नहीं हैं।
107	बहुत से सामान्य anomaly scan में soft markers दिखते हैं। अकेले में ज़्यादातर चिंता की बात नहीं होते।
108	आपके डॉक्टर किसी भी marker को आपके पूरे स्कैन और पहले के टेस्ट के संदर्भ में देखेंगे, और बताएँगे कि आगे कुछ करना उपयोगी है या नहीं — अक्सर नहीं होता।
109	गर्भावस्था में Fibroids
110	इसका मतलब है कि बच्चेदानी की दीवार में एक या ज़्यादा fibroid हैं — मांसपेशी की ग़ैर-कैंसर वाली गाँठें। बहुत सी महिलाओं में ये होते हैं, और fibroid वाली ज़्यादातर गर्भावस्थाएँ आराम से आगे बढ़ती हैं।
111	Fibroids आम हैं, और अक्सर पहली बार गर्भावस्था के स्कैन में ही दिखते हैं। ज़्यादातर गर्भावस्था के दौरान कोई परेशानी नहीं करते।
112	आपके डॉक्टर इनका आकार और जगह दर्ज करेंगे और नज़र रखेंगे। कभी-कभी इनसे थोड़ी तकलीफ़ होती है, जिसे सँभाला जा सकता है; ज़रूरत पड़ने पर आपकी टीम मार्गदर्शन करेगी।
113	Group B Strep
114	GBS
115	इसका मतलब है कि Group B Strep नाम का एक आम bacteria मिला है, जो बहुत से सेहतमंद लोग स्वाभाविक रूप से साथ रखते हैं। यह बस आपके डॉक्टर को बताता है कि डिलीवरी के आस-पास एक आसान एहतियात बरतनी है।
116	GBS साथ रखना आम है और आम तौर पर इसके कोई लक्षण नहीं होते। बहुत सी माँओं की गर्भावस्था के आख़िरी दौर में इसकी जाँच होती है।
117	आपके डॉक्टर आम तौर पर एहतियात के तौर पर प्रसव के दौरान antibiotics की योजना बनाएँगे, जिससे शिशु को कोई भी ख़तरा बहुत कम हो जाता है। उससे पहले आम तौर पर कुछ नहीं चाहिए।
118	Rh-Negative गर्भावस्था
119	Rh Negative ख़ून
120	इसका मतलब है कि आपका ब्लड ग्रुप Rh-negative है। यह पूरी तरह सामान्य है — बस इतना कि आपके डॉक्टर आपकी आगे की गर्भावस्थाओं की रक्षा के लिए एक आसान, नियमित क़दम उठाते हैं।
121	Rh-negative होना आम है और अच्छी तरह समझा गया है। इसकी देखभाल सीधी और रोज़ की बात है।
122	आपके डॉक्टर आम तौर पर कुछ ख़ास मौक़ों पर, और ज़रूरत हो तो जन्म के बाद, एक इंजेक्शन (anti-D) देंगे। यह एक मानक, बचाव वाला क़दम है।
