You're halfway there	आप आधे रास्ते पर हैं
The anatomy scan, explained	Anatomy scan क्या होता है
Eating well in the second trimester	दूसरी तिमाही में अच्छा खान-पान
Your baby can hear you now	अब आपका शिशु आपको सुन सकता है
Those first flutters and kicks	पहली हलचल और पहली लातें
Week 20 - you've reached the halfway mark. It's a lovely moment to pause and take it in: from a single cell to a fully-forming little person, in just twenty weeks.\n\n	हफ़्ता 20 — आप आधे रास्ते पर पहुँच गई हैं। यह ठहरकर महसूस करने का प्यारा पल है: एक अकेली कोशिका से लेकर बनते हुए एक नन्हे इंसान तक, सिर्फ़ बीस हफ़्तों में।\n\n
Your baby is now around the length of a banana - roughly 25 cm from head to heel - and weighs about 300 grams. Fine hair, tiny eyebrows, and even the ridges of fingerprints are forming. They're swallowing small amounts of amniotic fluid, practising for feeding, and settling into cycles of sleep and wakefulness.\n\n	आपका शिशु अब लगभग एक केले जितना लंबा है — सिर से एड़ी तक क़रीब 25 cm — और वज़न लगभग 300 g। बारीक बाल, नन्ही भौंहें, और उँगलियों के निशानों की लकीरें तक बन रही हैं। वह थोड़ा-थोड़ा Amniotic fluid निगल रहा है, दूध पीने का अभ्यास कर रहा है, और सोने-जागने के चक्र में ढल रहा है।\n\n
For you, this is often the most comfortable stretch of pregnancy - the early tiredness has usually eased, and the bump is proudly showing but not yet heavy. Enjoy it. Take the photo, note how you feel; halfway is worth marking.	आपके लिए यह अक्सर गर्भावस्था का सबसे आरामदेह दौर होता है — शुरुआती थकान आम तौर पर हल्की पड़ चुकी होती है, और पेट दिखने लगा है पर अभी भारी नहीं। इसका मज़ा लीजिए। एक तस्वीर लीजिए, लिख लीजिए कि आज कैसा लग रहा है; आधा रास्ता मनाने लायक़ है।
Around now, most mothers have their mid-pregnancy scan - often called the anatomy or anomaly scan. It's usually the most detailed look at your baby in the whole pregnancy, so it's normal to feel both excited and a little nervous.\n\n	इन्हीं दिनों ज़्यादातर माँओं का mid-pregnancy scan होता है — जिसे अक्सर anatomy scan या anomaly scan कहते हैं। यह पूरी गर्भावस्था में आपके शिशु को सबसे बारीकी से देखने का मौक़ा होता है, इसलिए उत्साह और थोड़ी घबराहट, दोनों होना सामान्य है।\n\n
During it, the sonographer checks your baby's growth and carefully examines the developing organs - the heart, brain, spine, kidneys and more - along with the placenta, the fluid around the baby, and the umbilical cord. It's a thorough, reassuring check that everything is coming along as expected.\n\n	इसमें sonographer आपके शिशु की बढ़त देखते हैं और बन रहे अंगों की ध्यान से जाँच करते हैं — दिल, दिमाग़, रीढ़, kidney और बाक़ी — साथ ही Placenta, शिशु के आसपास का पानी और गर्भनाल भी। यह एक पूरी, तसल्ली देने वाली जाँच है कि सब कुछ उम्मीद के मुताबिक़ चल रहा है।\n\n
It can take a while, and the sonographer may go quiet as they concentrate - that's routine, not a warning sign. Bring your partner if you can; it's a special one to share. And if the results raise any questions, your doctor will walk you through them - that's exactly what they're there for.	इसमें वक़्त लग सकता है, और ध्यान लगाते हुए sonographer चुप हो सकते हैं — यह रोज़मर्रा की बात है, किसी चेतावनी का संकेत नहीं। हो सके तो अपने साथी को साथ लाइए; यह पल साथ देखने लायक़ है। और अगर नतीजों से कोई सवाल उठें, तो आपके डॉक्टर उन्हें आपको समझाएँगे — वे इसी के लिए हैं।
