babySnapshot.milestone	जागती हुई इंद्रियाँ
babySnapshot.weekHeadline	आपके शिशु की इंद्रियाँ और पैनी हो रही हैं, और उसकी त्वचा की रक्षा करने वाली परत बनना शुरू हो गई है।
babySnapshot.size.fruit	एक आम
babySnapshot.size.length	लगभग 15.3 cm
babySnapshot.size.weight	लगभग 240 g
babySnapshot.reveal	माँ, मैं हर दिन मज़बूत हो रहा हूँ और बाहर की दुनिया के लिए और तैयार होता जा रहा हूँ।
babyDevelopment.whatImDoing	मेरा दिमाग़ तेज़ी से बनता जा रहा है, मेरी इंद्रियाँ और पैनी हो रही हैं, और मेरी त्वचा पर vernix नाम की एक रक्षा करने वाली परत बनने लगी है। मेरे हाथ-पैर मज़बूत हैं और मैं और सक्रिय होता जा रहा हूँ।
babyDevelopment.funFact	मैं अपना ज़्यादातर दिन हिलने-डुलने, अंगड़ाई लेने और ऐसे हुनर सीखने में बिताता हूँ जो जन्म के बाद मेरे काम आएँगे।
momJourney.physicalChanges	आपकी बच्चेदानी अब लगभग नाभि के बराबर पहुँच रही है। शिशु और बच्चेदानी के बढ़ने के साथ बहुत सी माँओं को ज़्यादा खिंचाव महसूस होता है।
momJourney.emotionalState	आप anomaly scan को लेकर उत्साहित हो सकती हैं, और साथ ही यह भी सोच सकती हैं कि गर्भावस्था का अगला आधा हिस्सा क्या लेकर आएगा।
momJourney.commonSymptoms[0]	ज़्यादा खिंचाव महसूस होना
momJourney.commonSymptoms[1]	कमर में तकलीफ़
momJourney.commonSymptoms[2]	बढ़ता हुआ बंप
momJourney.commonSymptoms[3]	भूख बढ़ना
momJourney.selfCareTip	दिन भर में थोड़े-थोड़े ब्रेक लेकर शरीर को खींचिए और मुद्रा बदलिए — ख़ासकर अगर आप देर तक बैठती हैं।
momJourney.reassurance	हर दिन आपका शिशु और मज़बूत और विकसित हो रहा है। इस दौर की बढ़त वाक़ई क़ाबिल-ए-तारीफ़ है।
nutrition.nutritionTheme	त्वचा और नर्वस सिस्टम
nutrition.focusNutrients[0]	अच्छी वसा
nutrition.focusNutrients[1]	Vitamin E
nutrition.whyNow	आपके शिशु की त्वचा, नर्वस सिस्टम और कुल विकास को अच्छी वसा और एंटीऑक्सिडेंट वाले खाने से फ़ायदा होता है।
nutrition.foods[0]	बादाम
nutrition.foods[1]	अख़रोट
nutrition.foods[2]	मूँगफली
nutrition.foods[3]	सूरजमुखी के बीज
nutrition.foods[4]	एवोकाडो
nutrition.indianSuperfoodOfTheWeek.food	बादाम
nutrition.indianSuperfoodOfTheWeek.benefit	Vitamin E, अच्छी वसा और एंटीऑक्सिडेंट देते हैं, जो त्वचा और नर्वस सिस्टम के विकास में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	रोज़ 5–6 भीगे हुए बादाम खाइए।
nutrition.mealIdea	दही का एक कटोरा, ऊपर से कटे बादाम, अख़रोट और मौसमी फल।
nutrition.tip	प्रोसेस्ड स्नैक्स के बजाय साबुत चीज़ों से अच्छी वसा लीजिए।
actionPlan.doThisWeek	Anomaly scan के लिए मन से तैयार होइए और अपने शिशु से जुड़ाव बढ़ाती रहिए।
actionPlan.skipThisWeek	स्कैन से पहले या बाद में ऑनलाइन डरावनी कहानियाँ पढ़ना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, पानी जैसा स्राव, बुख़ार, तेज़ सिरदर्द या अचानक सूजन हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	हर स्कैन में कोई न कोई गड़बड़ी निकलती है।
actionPlan.mythBuster.truth	ज़्यादातर स्कैन सामान्य होते हैं और यह भरोसा देते हैं कि शिशु ठीक से बढ़ रहा है।
garbhSanskar.affirmation	मुझे इस ख़ूबसूरत सफ़र पर और अपने भीतर पल रहे जीवन पर भरोसा है।
garbhSanskar.reflectionPrompt	अब तक गर्भावस्था का आपका सबसे ख़ुशनुमा पल कौन सा रहा?
garbhSanskar.spokenLine	माँ, मैं सुरक्षित हूँ और बढ़ रहा हूँ।
reflectAndRemember.reflectionPrompt	अब तक गर्भावस्था का आपका सबसे ख़ुशनुमा पल कौन सा रहा?
reflectAndRemember.journalPrompt	गर्भावस्था का कोई ऐसा पल लिखिए जिसे आप कभी नहीं भूलना चाहतीं।
reflectAndRemember.photoPrompt	इस हफ़्ते का कोई ख़ुशी भरा पल क़ैद कीजिए जो आपके सफ़र को दर्शाता हो।
partnerCorner.whatSheMayFeel	उत्साहित, पर थोड़ी घबराई हुई भी, क्योंकि anomaly scan क़रीब आ रहा है।
partnerCorner.whatYouCanDo	शांत रहिए, साथ दीजिए, और उसे अपनी बात और चिंताएँ कहने की जगह दीजिए।
partnerCorner.oneMission	उससे पूछिए कि शिशु के बारे में वह सबसे ज़्यादा क्या जानना चाहती है — और बिना किसी दख़ल के सुनिए।
partnerCorner.shareMessage	अपने नन्हे से मिलने की ओर एक और क़दम ❤
