babySnapshot.milestone	स्वाद और स्पर्श
babySnapshot.weekHeadline	आपका शिशु गर्भ के भीतर की दुनिया को और महसूस करने लगा है, और स्वाद तथा स्पर्श को नए तरीक़ों से जानने लगा है।
babySnapshot.size.fruit	एक गाजर
babySnapshot.size.length	लगभग 26.7 cm
babySnapshot.size.weight	लगभग 398 g
babySnapshot.reveal	माँ, मैं हर दिन नए एहसास खोज रहा हूँ और अपने आस-पास की दुनिया को और जान रहा हूँ।
babyDevelopment.whatImDoing	मेरी स्वाद ग्रंथियाँ बन रही हैं, मैं ज़्यादा एमनियोटिक द्रव निगल सकता हूँ, और मेरी हरकतें मज़बूत और बेहतर तालमेल वाली होती जा रही हैं। मेरा दिमाग़ लगातार लाखों नए तंत्रिका-जोड़ बना रहा है।
babyDevelopment.funFact	आप जो खाती हैं, उसका स्वाद एमनियोटिक द्रव के स्वाद पर हल्का असर डालता है — यही अलग-अलग स्वादों से मेरा पहला परिचय है।
momJourney.physicalChanges	आपका बंप ज़्यादा दिखने लगा है और हलचल पहले से तेज़ और नियमित महसूस हो सकती है। आपका शरीर शिशु की तेज़ बढ़त के साथ ख़ुद को ढालता जा रहा है।
momJourney.emotionalState	जैसे-जैसे हलचल बार-बार और साफ़ महसूस होने लगती है, बहुत सी माँएँ अपने शिशु से और गहरा जुड़ाव महसूस करती हैं।
momJourney.commonSymptoms[0]	शिशु की साफ़ महसूस होती हलचल
momJourney.commonSymptoms[1]	कमर में तकलीफ़
momJourney.commonSymptoms[2]	भूख बढ़ना
momJourney.commonSymptoms[3]	पैरों में हल्की ऐंठन
momJourney.selfCareTip	दिन में कुछ पल रुककर अपने शिशु की हलचल महसूस कीजिए और इन जुड़ाव के पलों का आनंद लीजिए।
momJourney.reassurance	हलचल का ढर्रा अभी बन ही रहा है। कुछ दिन ज़्यादा सक्रिय लग सकते हैं, कुछ कम।
nutrition.nutritionTheme	दिमाग़ के लिए अच्छी वसा
nutrition.focusNutrients[0]	Omega-3
nutrition.focusNutrients[1]	अच्छी वसा
nutrition.whyNow	आपके शिशु का दिमाग़ तेज़ी से बनता जा रहा है, और उसे लगातार अच्छी वसा से फ़ायदा होता है।
nutrition.foods[0]	अख़रोट
nutrition.foods[1]	अलसी
nutrition.foods[2]	चिया बीज
nutrition.foods[3]	मूँगफली
nutrition.foods[4]	सोयाबीन
nutrition.indianSuperfoodOfTheWeek.food	अख़रोट
nutrition.indianSuperfoodOfTheWeek.benefit	Omega-3 वसा देते हैं, जो दिमाग़ के स्वस्थ विकास में मदद करती है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	रोज़ 2–4 अख़रोट की फाँकें नाश्ते में।
nutrition.mealIdea	दही का कटोरा, ऊपर से अख़रोट, अलसी का पाउडर और मौसमी फल।
nutrition.tip	अपने शिशु के बढ़ते दिमाग़ के लिए हर दिन अच्छी वसा का एक स्रोत शामिल कीजिए।
actionPlan.doThisWeek	हर दिन कुछ मिनट अपने शिशु से बात कीजिए, गाइए या पढ़कर सुनाइए।
actionPlan.skipThisWeek	पैरों की लगातार ऐंठन या शरीर में पानी की कमी को नज़रअंदाज़ करना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पानी जैसा स्राव, पेट में तेज़ दर्द, तेज़ सिरदर्द या अचानक सूजन हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	गर्भ में शिशु को अपने आस-पास का कुछ पता नहीं होता।
actionPlan.mythBuster.truth	आपका शिशु अभी से सुनने, हिलने, स्वाद लेने और माहौल पर प्रतिक्रिया देने की क्षमता विकसित कर रहा है।
garbhSanskar.affirmation	मैं और मेरा शिशु अपनी ही ख़ास भाषा में बात करना सीख रहे हैं।
garbhSanskar.reflectionPrompt	दुनिया की कौन सी एक चीज़ आप अपने शिशु को सबसे ज़्यादा दिखाना चाहेंगी?
garbhSanskar.spokenLine	माँ, मैं आपकी दुनिया के स्वाद महसूस करने लगा हूँ।
reflectAndRemember.reflectionPrompt	दुनिया की कौन सी एक चीज़ आप अपने शिशु को सबसे ज़्यादा दिखाना चाहेंगी?
reflectAndRemember.journalPrompt	एक साल बाद अपने शिशु के साथ अपने एक परफ़ेक्ट दिन का वर्णन कीजिए।
reflectAndRemember.photoPrompt	किसी ऐसी जगह की तस्वीर लीजिए जहाँ आप एक दिन अपने बच्चे के साथ जाना चाहेंगी।
partnerCorner.whatSheMayFeel	शिशु से और जुड़ी हुई, और तेज़ होती हलचल से उत्साहित।
partnerCorner.whatYouCanDo	जब शिशु सक्रिय हो, तो रुककर वे पल साथ बाँटिए।
partnerCorner.oneMission	उसके बंप पर हाथ रखिए और धीरज से एक लात का इंतज़ार कीजिए।
partnerCorner.shareMessage	हर नन्ही लात याद दिलाती है कि तुम बढ़ रहे हो ❤
