Daily tip for Dad	पापा के लिए आज की बात
2 min · showing up	2 मिनट · साथ होना
When she can't sleep, the instinct is to solve it. Resist that. You don't need the right words.	जब उन्हें नींद नहीं आती, मन करता है कुछ ठीक कर दें। मत कीजिए। सही शब्दों की ज़रूरत नहीं है।
Sit up with her. A hand on her back. Let the quiet do the work - that's the part she'll remember.	उनके साथ जागिए। पीठ पर एक हाथ रखिए। चुप्पी को अपना काम करने दीजिए — याद उन्हें यही रहेगा।
Phone face-down	फ़ोन उलटा रखिए
No advice unless she asks for it	सलाह तभी, जब वे माँगें
Try: "Want me to stay up with you?"	कहिए: "मैं भी आपके साथ जागूँ?"
Mark as done today	आज यह कर लिया
Nice. Showing up is the whole thing.	बढ़िया। साथ होना ही सब कुछ है।
Support your partner	अपनी पार्टनर का साथ
Her centre of gravity is shifting as the bump grows, and her lower back is taking the strain. By evening, it aches.	बंप बढ़ने के साथ उनका संतुलन बदल रहा है, और सारा ज़ोर कमर पर आ रहा है। शाम तक दर्द बढ़ जाता है।
Small, specific help lands bigger than grand gestures right now. You do not have to be asked - noticing first is the whole gift.	अभी बड़ी-बड़ी बातों से ज़्यादा छोटी, ठोस मदद काम आती है। माँगने का इंतज़ार मत कीजिए — पहले ख़ुद नोटिस कर लेना ही असली तोहफ़ा है।
Take dinner off her plate - cook her favourite, or order it before she has to ask.	रात का खाना उनके ज़िम्मे से हटा दीजिए — उनकी पसंद का बनाइए, या माँगने से पहले मँगा लीजिए।
Rub her lower back for five minutes - no phone, no agenda.	पाँच मिनट उनकी कमर सहलाइए — न फ़ोन, न कोई मक़सद।
Quietly handle a chore she usually does, without announcing it.	उनका कोई रोज़ का काम चुपचाप निपटा दीजिए, बिना बताए।
Keep water and a small snack by her side of the bed.	उनकी तरफ़ बिस्तर के पास पानी और कुछ हल्का खाने को रखिए।
Ask "how are you feeling today?" and just listen - resist fixing it.	पूछिए "आज कैसा लग रहा है?" और बस सुनिए — ठीक करने की कोशिश मत कीजिए।
Take over the heavy lifting: groceries, laundry baskets, anything that strains her back.	भारी काम अपने ज़िम्मे लीजिए: सामान, कपड़ों की टोकरी, जो कुछ भी कमर पर ज़ोर डाले।
Come to the next scan, and write down the questions together beforehand.	अगले स्कैन पर साथ जाइए, और सवाल पहले ही साथ बैठकर लिख लीजिए।
Let her nap without guilt - take the evening shift on the house.	उन्हें बेझिझक सोने दीजिए — शाम को घर आप सँभालिए।
Help her settle on her side with a pillow tucked behind her back.	करवट लेकर लेटने में मदद कीजिए, पीठ के पीछे एक तकिया लगा दीजिए।
Say the small things out loud - "you are doing something incredible."	छोटी बातें बोलकर कहिए — "आप कुछ कमाल कर रही हैं।"
I'll handle dinner	खाना मैं देखता हूँ
Dinner's handled tonight. She'll feel it.	आज का खाना आपके ज़िम्मे। उन्हें फ़र्क़ महसूस होगा।
Today's read	आज का पाठ
4 min read · ParentVeda Reads	4 मिनट का पाठ · ParentVeda Reads
Around now the tiny bones of the inner ear finish forming - and your voice, lower and slower than hers, carries especially well through the body.	इन्हीं दिनों भीतरी कान की नन्ही हड्डियाँ बनकर पूरी होती हैं — और आपकी आवाज़, उनकी आवाज़ से भारी और धीमी, शरीर के भीतर ख़ास तौर पर अच्छी पहुँचती है।
Reading a few lines a day isn't sentimental. It's how your baby starts to know you before they ever see you.	रोज़ चार पंक्तियाँ पढ़ना कोई भावुक बात नहीं है। देखने से पहले ही शिशु आपको इसी तरह पहचानने लगता है।
Done reading	पढ़ लिया
Nice - a few minutes well spent.	बढ़िया — कुछ मिनट सही जगह लगे।
Read to your baby	अपने शिशु को सुनाइए
Read aloud · 1 min	पढ़कर सुनाएँ · 1 मिनट
Baby can recognise your voice now - lower and slower than hers, it carries especially well. Read it aloud, let your voice rise and fall, and play with the words.	शिशु अब आपकी आवाज़ पहचानने लगा है — उनकी आवाज़ से भारी और धीमी, यह ख़ास तौर पर अच्छी पहुँचती है। बोलकर पढ़िए, आवाज़ को चढ़ने-उतरने दीजिए, और शब्दों से खेलिए।
A minute is plenty. It's the rhythm that reaches them, not the meaning.	एक मिनट काफ़ी है। उन तक मतलब नहीं, लय पहुँचती है।
Done reading tonight	आज रात सुना दिया
Beautiful - your voice is a gift they already know.	बहुत बढ़िया — आपकी आवाज़ वह तोहफ़ा है जिसे शिशु पहले से जानता है।
Stories, fables & mythology	कहानियाँ, नीति-कथाएँ और पुराण
A 3-minute myth · read aloud	3 मिनट की पौराणिक कथा · पढ़कर सुनाएँ
Long ago, gods and demons gripped the same great rope, coiled it around a mountain, and churned the sea of milk for the nectar of immortality.	बहुत पहले, देवताओं और असुरों ने एक ही विशाल रस्सी थामी, उसे एक पर्वत के चारों ओर लपेटा, और अमृत के लिए क्षीरसागर का मंथन किया।
Read it slow. The bump can't follow the plot yet - but it can feel the rise and fall of your voice.	धीरे-धीरे पढ़िए। कहानी अभी बंप की समझ में नहीं आएगी — पर आपकी आवाज़ का चढ़ना-उतरना ज़रूर महसूस होगा।
Start reading	पढ़ना शुरू कीजिए
Find a quiet spot and read it slow.	कोई शांत कोना ढूँढिए और धीरे-धीरे पढ़िए।
Your journal	आपका जर्नल
Arjun	Arjun
Yesterday	कल
Felt the first kick against my palm tonight. I actually teared up.	आज रात पहली हलचल हथेली पर महसूस हुई। सच में आँख भर आई।
Tuesday	मंगलवार
Told her the nursery can wait - we just need each other right now.	उनसे कह दिया कि नर्सरी रुक सकती है — अभी बस एक-दूसरे की ज़रूरत है।
Write something first	पहले कुछ लिखिए
Just now	अभी
Saved to your journal	आपके जर्नल में सेव हो गया
Baby	शिशु
Mother	माँ
What's next	आगे क्या
ParentVeda	ParentVeda
Good $part, $_dadName	शुभ $part, $_dadName
Week $_week	हफ़्ता $_week
${(pct * 100).round()}%	${(pct * 100).round()}%
$weeksToGo weeks to go	$weeksToGo हफ़्ते बाक़ी
your partner is halfway there	आपकी पार्टनर आधा सफ़र तय कर चुकी हैं
Read more	और पढ़ें
${r.readingTime} · ${r.category}	${r.readingTime} · ${r.category}
Choose a few lines to read together.	साथ पढ़ने के लिए कुछ पंक्तियाँ चुन लीजिए।
“${_readAloudToday!.body}”	“${_readAloudToday!.body}”
Read it aloud	बोलकर पढ़िए
View all scans	सभी स्कैन देखें
Week ${m.anchorWeek}	हफ़्ता ${m.anchorWeek}
 · ${a.time}	 · ${a.time}
${d.day} ${S.now.monthShort(d.month)} ${d.year}	${d.day} ${S.now.monthShort(d.month)} ${d.year}
${fatherTaleKindTag(tale.kind)} · read aloud	${fatherTaleKindTag(tale.kind)} · पढ़कर सुनाएँ
Memory	याद
For baby	शिशु के लिए
Photo	फ़ोटो
Voice	आवाज़
"${_journalPreview(recent)}"	"${_journalPreview(recent)}"
See all entries	सारी एंट्री देखें
Added a photo	एक फ़ोटो जोड़ी
Recorded a voice note	एक वॉइस नोट रिकॉर्ड किया
A memory	एक याद
Today	आज
Reads	पाठ
Read	सुनाएँ
Journal	जर्नल
You	आप
That space is coming soon	वह जगह जल्द आ रही है
${r!.readingTime.now} · ${r.category.now}	${r!.readingTime.now} · ${r.category.now}
“${today.body}”	“${today.body}”
Recording… tap to stop	रिकॉर्ड हो रहा है… रोकने के लिए टैप करें
Saved · tap to re-record	सेव हो गया · दोबारा रिकॉर्ड करने के लिए टैप करें
Tap to record your voice	अपनी आवाज़ रिकॉर्ड करने के लिए टैप करें
Mom's view lives in the other tab	माँ वाला रूप दूसरे टैब में है
