Birth Confidence Masterclass	Birth Confidence Masterclass
Most-booked at 30 weeks	30 हफ़्ते पर सबसे ज़्यादा बुक होने वाली
What labour really feels like: breathing, pain relief, C-section prep, and emotional readiness. 90 min live + lifetime recording.	लेबर असल में कैसा लगता है: साँस, दर्द से राहत, C-section की तैयारी, और मन की तैयारी। 90 min live + recording हमेशा के लिए।
What labour really feels like - breathing, pain relief, C-section prep, and the emotional readiness no one talks about. One live evening that changes how you walk into the delivery room.	लेबर असल में कैसा लगता है — साँस, दर्द से राहत, C-section की तैयारी, और वह मन की तैयारी जिसकी बात कोई नहीं करता। एक live शाम, जो बदल देती है कि आप delivery room में किस भरोसे के साथ जाती हैं।
90 min	90 min
live	live
Sun 13 Jul	रवि 13 Jul
8:00 pm	8:00 pm
Forever	हमेशा के लिए
recording	recording
Dr. Ananya Rao	Dr. Ananya Rao
Obstetrician · 15 years	Obstetrician · 15 साल
Has delivered over 3,000 babies across Delhi's leading hospitals. Known for calm, plain-language guidance.	दिल्ली के बड़े अस्पतालों में 3,000 से ज़्यादा शिशुओं की डिलीवरी करा चुकी हैं। शांत, सीधी-सादी भाषा में समझाने के लिए जानी जाती हैं।
Deepti Sharma	Deepti Sharma
Doula & birth coach	Doula और birth coach
Has supported 400+ births. Brings the emotional side - fear, partners, and staying in control.	400+ जन्मों में साथ रह चुकी हैं। भावनात्मक पक्ष सामने लाती हैं — डर, partner, और खुद पर पकड़ बनाए रखना।
A clear picture of each stage of labour, minute by minute.	लेबर के हर चरण की साफ़ तस्वीर, मिनट-दर-मिनट।
Breathing techniques you can actually use through a contraction.	साँस की वे तकनीकें जो contraction के बीच सच में काम आती हैं।
The real pros and cons of epidural, natural and C-section.	epidural, normal और C-section — तीनों के असली फ़ायदे और नुक़सान।
How to write a birth plan your hospital will respect.	ऐसा birth plan कैसे लिखें जिसे आपका अस्पताल माने।
"I went in terrified and came out feeling like I could actually do this. The breathing section alone was worth it."	"मैं डरी हुई गई थी और लौटी यह भरोसा लेकर कि मैं यह कर सकती हूँ। अकेले साँस वाला हिस्सा ही पूरे पैसे वसूल था।"
Ananya P.	Ananya P.
delivered March 2025	डिलीवरी March 2025
"My husband finally understood how to help. We watched the recording together twice."	"मेरे पति को आख़िरकार समझ आया कि मदद कैसे करनी है। हमने recording साथ में दो बार देखी।"
Ritika M.	Ritika M.
34 weeks	34 हफ़्ते
What if I can't attend live?	अगर मैं live नहीं जुड़ पाई तो?
The full recording lands in your library within 24 hours, and it's yours forever.	पूरी recording 24 घंटे के भीतर आपकी library में आ जाती है, और हमेशा के लिए आपकी रहती है।
Is this okay at 30 weeks?	क्या 30 हफ़्ते पर यह ठीक है?
Can my partner join?	क्या मेरे partner भी जुड़ सकते हैं?
Is it in Hindi or English?	यह हिंदी में है या अंग्रेज़ी में?
Pregnancy Playbook Workshop	Pregnancy Playbook Workshop
Great to catch up on	पीछे से देखने के लिए बढ़िया
The whole journey, trimester by trimester, with a practical action plan.	पूरा सफ़र, तिमाही दर तिमाही, और साथ में एक काम आने वाला action plan।
The whole pregnancy journey, trimester by trimester - what to expect, how to prepare in body and mind, the common fears addressed head-on, and a practical action plan you will actually use.	गर्भावस्था का पूरा सफ़र, तिमाही दर तिमाही — क्या होने वाला है, शरीर और मन को कैसे तैयार करें, आम डरों का सीधा जवाब, और एक ऐसा action plan जो आप सच में इस्तेमाल करेंगी।
120 min	120 min
recorded	recorded
On demand	जब चाहें
anytime	कभी भी
access	access
Distils a whole pregnancy into a calm, do-this-next plan - warm, practical, and refreshingly non-preachy.	पूरी गर्भावस्था को एक शांत, "अब यह करें" वाले plan में समेट देती हैं — गर्मजोशी से भरी, काम की, और बिना कोई उपदेश दिए।
A month-by-month map of your pregnancy.	आपकी गर्भावस्था का महीने-दर-महीने नक़्शा।
How to prepare your body and your mind for each trimester.	हर तिमाही के लिए शरीर और मन को कैसे तैयार करें।
The fears no one talks about - named and addressed.	वे डर जिनकी बात कोई नहीं करता — नाम लेकर, जवाब के साथ।
A practical, week-by-week action plan.	हफ़्ते-दर-हफ़्ते का काम आने वाला action plan।
"Finally something that told me what to actually do, not just what to worry about."	"आख़िरकार कुछ ऐसा जिसने बताया कि करना क्या है, सिर्फ़ यह नहीं कि चिंता किस बात की करनी है।"
Sneha K.	Sneha K.
18 weeks	18 हफ़्ते
When should I take this?	इसे कब लेना चाहिए?
It's built for early second trimester, but it's useful at any stage - you keep lifetime access.	यह दूसरी तिमाही की शुरुआत के लिए बना है, पर किसी भी पड़ाव पर काम आता है — access हमेशा के लिए आपका रहता है।
Is there a workbook?	क्या इसके साथ workbook मिलती है?
The First 100 Days with Baby	The First 100 Days with Baby
Coming up next	अगला यही है
Newborn survival: feeding, sleep, and the fourth trimester.	नवजात के दिन संभालना: दूध पिलाना, नींद, और चौथी तिमाही।
Newborn survival, made calm: feeding rhythms, decoding those early sleep patterns, the fourth-trimester emotional rollercoaster, and setting up real help at home.	नवजात के दिन, शांति से: दूध पिलाने की लय, शुरुआती नींद के तौर-तरीक़े समझना, चौथी तिमाही का भावनात्मक उतार-चढ़ाव, और घर पर असली मदद खड़ी करना।
Sat 26 Jul	शनि 26 Jul
6:00 pm	6:00 pm
Dr. Kabir Rao	Dr. Kabir Rao
Paediatrician · 12 years	Paediatrician · 12 साल
Guides new parents through the newborn weeks with steady, no-panic advice grounded in Indian homes.	नए माता-पिता को नवजात के हफ़्तों से पार लगाते हैं — भारतीय घरों को समझने वाली, शांत और घबराहट-रहित सलाह के साथ।
Covers the mother's side of the fourth trimester - recovery, mood, and asking for help.	चौथी तिमाही का माँ वाला पक्ष सँभालती हैं — रिकवरी, मन का हाल, और मदद माँगना।
Reading your newborn's feeding and hunger cues.	अपने नवजात के भूख और दूध के इशारे पढ़ना।
Realistic newborn sleep - and how to protect your own.	नवजात की नींद की असली तस्वीर — और अपनी नींद कैसे बचाएँ।
The fourth trimester for you: recovery and mood.	चौथी तिमाही आपके लिए: रिकवरी और मन का हाल।
Setting up help in a joint family without friction.	संयुक्त परिवार में बिना खटपट के मदद का इंतज़ाम।
Is this before or after birth?	यह जन्म से पहले है या बाद में?
Take it now to feel ready - most mothers watch it again in the first week with the recording.	अभी ले लें ताकि तैयार महसूस करें — ज़्यादातर माँएँ पहले हफ़्ते में recording से इसे दोबारा देखती हैं।
Breastfeeding Basics	Breastfeeding Basics
Latch, supply, and the first week - before baby arrives.	Latch, दूध की सप्लाई, और पहला हफ़्ता — शिशु के आने से पहले।
