babySnapshot.milestone	बनती हुई शख़्सियत
babySnapshot.weekHeadline	आपके शिशु की इंद्रियाँ और पैनी हो रही हैं, और सोने-जागने का चक्र बनने लगा है।
babySnapshot.size.fruit	भुट्टे का एक डोडा
babySnapshot.size.length	लगभग 30 cm
babySnapshot.size.weight	लगभग 635 g
babySnapshot.reveal	माँ, मैं हर दिन और मज़बूत, और सजग और ज़्यादा प्रतिक्रिया देने वाला होता जा रहा हूँ।
babyDevelopment.whatImDoing	मेरी सुनने की शक्ति तेज़ हो रही है, मेरा दिमाग़ लगातार नए रास्ते बना रहा है, और मुझमें सोने और सक्रिय रहने के नियमित दौर बनने लगे हैं। मेरे फेफड़े भी अपने ज़रूरी विकास के सफ़र पर हैं।
babyDevelopment.funFact	हो सकता है दिन के कुछ समय अभी से मेरे पसंदीदा हों, जब मैं सबसे ज़्यादा सक्रिय रहता हूँ।
momJourney.physicalChanges	आपका बंप और उभरता जा रहा है, और शिशु की हरकतें ज़्यादा मज़बूत और अंदाज़ लगाने लायक़ महसूस हो सकती हैं।
momJourney.emotionalState	जैसे-जैसे हलचल का ढर्रा जाना-पहचाना होता है, बहुत सी माँएँ गहरा भावनात्मक जुड़ाव महसूस करने लगती हैं।
momJourney.commonSymptoms[0]	साफ़ महसूस होती लातें
momJourney.commonSymptoms[1]	कमर में तकलीफ़
momJourney.commonSymptoms[2]	पैरों में ऐंठन
momJourney.commonSymptoms[3]	पैरों में हल्की सूजन
momJourney.selfCareTip	ध्यान दीजिए कि आपका शिशु किस समय सबसे सक्रिय रहता है। ये पल रोज़ के ख़ास जुड़ाव-रिवाज़ बन सकते हैं।
momJourney.reassurance	हर शिशु गर्भ में अपनी अलग हलचल और अपनी अलग शख़्सियत बनाता है।
nutrition.nutritionTheme	फेफड़ों के विकास में मदद
nutrition.focusNutrients[0]	प्रोटीन
nutrition.focusNutrients[1]	आयरन
nutrition.whyNow	आपके शिशु के फेफड़े और दूसरे अंग परिपक्व होते जा रहे हैं और उन्हें लगातार पोषण चाहिए।
nutrition.foods[0]	पनीर
nutrition.foods[1]	राजमा
nutrition.foods[2]	मूंग दाल
nutrition.foods[3]	पालक
nutrition.foods[4]	काला चना
nutrition.indianSuperfoodOfTheWeek.food	राजमा
nutrition.indianSuperfoodOfTheWeek.benefit	प्रोटीन, आयरन और फ़ाइबर देता है, जो स्वस्थ विकास और ख़ून बनने में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	राजमा की सब्ज़ी, ब्राउन राइस या रोटी के साथ।
nutrition.mealIdea	राजमा-चावल के साथ खीरे का सलाद और दही।
nutrition.tip	आयरन वाले खाने के साथ विटामिन C वाले फल लीजिए, ताकि आयरन बेहतर सोखा जाए।
actionPlan.doThisWeek	हर दिन कुछ मिनट अपने शिशु की हलचल के ढर्रे पर ध्यान दीजिए।
actionPlan.skipThisWeek	शिशु की सक्रियता दिन-ब-दिन थोड़ी कम-ज़्यादा होने पर चिंता करना।
actionPlan.redFlags	अगर ब्लीडिंग, पानी जैसा स्राव, पेट में तेज़ दर्द, तेज़ सिरदर्द, नज़र में बदलाव या अचानक सूजन हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	गर्भ में शिशु हर समय सोता रहता है।
actionPlan.mythBuster.truth	शिशु में सोने और सक्रिय रहने के चक्र बनते हैं, और वह कई बार हैरान कर देने वाली तरह सक्रिय हो सकता है।
garbhSanskar.affirmation	मेरे भीतर जो ख़ूबसूरत प्रक्रिया चल रही है, मुझे उस पर भरोसा है।
garbhSanskar.reflectionPrompt	गर्भावस्था ने आपके भीतर कौन सी ताक़त दिखाई है?
garbhSanskar.spokenLine	माँ, मैं हर दिन और तैयार होता जा रहा हूँ।
reflectAndRemember.reflectionPrompt	गर्भावस्था ने आपके भीतर कौन सी ताक़त दिखाई है?
reflectAndRemember.journalPrompt	गर्भावस्था की कोई मुश्किल जो आपने पार की — और उसने आपको अपने बारे में क्या सिखाया, वह लिखिए।
reflectAndRemember.photoPrompt	इस सफ़र का कोई ऐसा पल क़ैद कीजिए जब आपको ख़ुद पर गर्व हुआ हो।
partnerCorner.whatSheMayFeel	पहले से ज़्यादा आश्वस्त, पर बीच-बीच में भरोसे के दो शब्द भी चाहती हुई।
partnerCorner.whatYouCanDo	वह रोज़ ख़ुद का और शिशु का जो ख़याल रखती है, उसे देखिए और सराहिए।
partnerCorner.oneMission	उसे एक ख़ास बात के लिए धन्यवाद कहिए जो उसने आपके बढ़ते परिवार के लिए की है।
partnerCorner.shareMessage	तुम अभी से एक कमाल की माँ हो ❤
