Nausea can quietly wear you down and make eating feel impossible. Knowing it is common, usually harmless, and manageable protects both your comfort and your baby's steady nourishment through these early weeks.	मिचली चुपचाप आपको थका देती है और खाना खाना नामुमकिन-सा लगने लगता है। यह जानना कि यह आम है, आमतौर पर नुकसान नहीं करती और सँभाली जा सकती है, इन शुरुआती हफ़्तों में आपके आराम और शिशु के लगातार पोषण, दोनों को बचाता है।
Morning sickness is linked to the rapid rise of pregnancy hormones like hCG. Studies consistently find ginger and vitamin B6 ease mild-to-moderate nausea. It typically peaks around weeks 9–11 and settles by the second trimester for most mothers.	सुबह की मिचली का नाता hCG जैसे गर्भावस्था के हॉर्मोन के तेज़ी से बढ़ने से है। अध्ययन बार-बार पाते हैं कि अदरक और Vitamin B6 हल्की से मध्यम मिचली को कम करते हैं। यह आमतौर पर 9–11 हफ़्ते के आसपास सबसे तेज़ होती है और ज़्यादातर माँओं में दूसरी तिमाही तक शांत हो जाती है।
Morning sickness only happens in the morning.	सुबह की मिचली सिर्फ़ सुबह ही होती है।
It can strike at any time of day or night - many mothers feel most queasy in the evening. The name is simply misleading.	यह दिन या रात किसी भी वक़्त आ सकती है — कई माँओं को शाम को सबसे ज़्यादा जी मिचलाता है। नाम ही भ्रम पैदा करता है।
Managing Morning Sickness	सुबह की मिचली को सँभालना
Nausea is common in the first trimester - small, gentle changes help.	पहली तिमाही में मिचली आम है — छोटे, नरम बदलाव मदद करते हैं।
4 min	4 मिनट
Mother Changes	माँ में बदलाव
Morning sickness affects many mothers in the first trimester, and despite the name it can strike at any time of day.\n\n	पहली तिमाही में कई माँओं को सुबह की मिचली होती है, और नाम के बावजूद यह दिन के किसी भी वक़्त आ सकती है।\n\n
Small, frequent meals keep your stomach from getting empty, which often makes nausea worse. Dry foods like toast or crackers before getting out of bed can help. Ginger - in tea, or a little ginger-honey water - is one of the better-studied natural settlers.\n\n	थोड़ा-थोड़ा और बार-बार खाने से पेट खाली नहीं रहता, और खाली पेट अक्सर मिचली बढ़ा देता है। बिस्तर से उठने से पहले toast या सूखे बिस्किट जैसी चीज़ें मदद करती हैं। अदरक — चाय में, या थोड़े अदरक-शहद के पानी में — सबसे ज़्यादा जाँचे-परखे प्राकृतिक उपायों में से एक है।\n\n
Stay hydrated in small sips, and rest when you can. For most mothers this eases by the second trimester. If you cannot keep fluids down, tell your doctor - there is safe, effective help available.	घूँट-घूँट पानी पीती रहें, और जब मौका मिले आराम करें। ज़्यादातर माँओं में यह दूसरी तिमाही तक कम हो जाती है। अगर पानी भी पेट में नहीं टिक रहा, तो डॉक्टर को बताएँ — सुरक्षित और असरदार मदद मौजूद है।
