babySnapshot.milestone	और मज़बूत होता हुआ
babySnapshot.weekHeadline	आपके शिशु का ढाँचा मज़बूत हो रहा है, शरीर पर धीरे-धीरे चर्बी बन रही है, और हरकतों में बेहतर तालमेल आ रहा है।
babySnapshot.size.fruit	एक नाशपाती
babySnapshot.size.length	लगभग 13 cm
babySnapshot.size.weight	लगभग 140 g
babySnapshot.reveal	माँ, मैं हर एक दिन अंगड़ाई ले रहा हूँ, लात मार रहा हूँ और मज़बूत हो रहा हूँ।
babyDevelopment.whatImDoing	मेरा ढाँचा नरम उपास्थि से बदलकर मज़बूत हड्डी बन रहा है। मेरी मांसपेशियाँ ताक़तवर हो रही हैं और मैं ऐसी हरकतों का अभ्यास कर रहा हूँ जो मुझे बढ़ने में मदद करेंगी।
babyDevelopment.funFact	भले ही आपको अभी मैं महसूस न होऊँ, पर मैं दिन भर हिलता-डुलता, अंगड़ाई लेता और नन्ही लातें मारने का अभ्यास करता रहता हूँ।
momJourney.physicalChanges	आपका बंप ज़्यादा दिखने लगा है और आपकी बच्चेदानी ऊपर की ओर बढ़ती जा रही है। बढ़ते शिशु के लिए आपके शरीर में ख़ून की मात्रा काफ़ी बढ़ रही है।
momJourney.emotionalState	इस समय उत्साह अक्सर बढ़ जाता है, क्योंकि माँएँ शिशु की पहली महसूस होने वाली हलचल का इंतज़ार करने लगती हैं।
momJourney.commonSymptoms[0]	बढ़ता हुआ बंप
momJourney.commonSymptoms[1]	भूख बढ़ना
momJourney.commonSymptoms[2]	कमर में हल्की तकलीफ़
momJourney.commonSymptoms[3]	जल्दी उठने पर कभी-कभी चक्कर
momJourney.selfCareTip	धीरे-धीरे उठिए-बैठिए और दिन भर पानी पीती रहिए।
momJourney.reassurance	अभी हलचल महसूस न होना बिलकुल सामान्य है। पहली बार माँ बनने वाली बहुत सी महिलाओं को लातें कुछ हफ़्ते बाद ही महसूस होती हैं।
nutrition.nutritionTheme	मज़बूत मांसपेशियाँ
nutrition.focusNutrients[0]	प्रोटीन
nutrition.focusNutrients[1]	मैग्नीशियम
nutrition.whyNow	आपके शिशु की मांसपेशियाँ तेज़ी से बढ़ रही हैं और उन्हें लगातार प्रोटीन और ज़रूरी खनिज चाहिए।
nutrition.foods[0]	मूंग दाल
nutrition.foods[1]	पनीर
nutrition.foods[2]	चना
nutrition.foods[3]	कद्दू के बीज
nutrition.foods[4]	दही
nutrition.indianSuperfoodOfTheWeek.food	मूंग दाल
nutrition.indianSuperfoodOfTheWeek.benefit	अच्छी गुणवत्ता का वनस्पति प्रोटीन और ज़रूरी खनिज देती है, जो मांसपेशियों के विकास में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	मूंग दाल की खिचड़ी, दाल का सूप, या मूंग का चीला।
nutrition.mealIdea	पनीर और सब्ज़ियों से भरा मूंग दाल का चीला।
nutrition.tip	नाश्ते, दोपहर और रात — तीनों के खाने में प्रोटीन का एक स्रोत रखने की कोशिश कीजिए।
actionPlan.doThisWeek	पेट में होने वाली नई हलचलों पर ध्यान दीजिए और रोज़ की सेहतमंद आदतें बनाती रहिए।
actionPlan.skipThisWeek	अभी तक शिशु की हलचल महसूस न होने पर चिंता करना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, पानी जैसा स्राव, तेज़ सिरदर्द, बुख़ार या काफ़ी सूजन हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	हर माँ को 17वें हफ़्ते तक शिशु की हलचल महसूस हो जाती है।
actionPlan.mythBuster.truth	हलचल महसूस होने का समय बहुत अलग-अलग होता है, ख़ासकर पहली गर्भावस्था में।
garbhSanskar.affirmation	मैं शांत विचारों और प्यार भरे इरादों से अपने शिशु को सींचती हूँ।
garbhSanskar.reflectionPrompt	आप अपने बच्चे में कौन सा गुण सबसे ज़्यादा देखना चाहेंगी?
garbhSanskar.spokenLine	माँ, मैं हर दिन मज़बूत हो रहा हूँ।
reflectAndRemember.reflectionPrompt	आप अपने बच्चे में कौन सा गुण सबसे ज़्यादा देखना चाहेंगी?
reflectAndRemember.journalPrompt	लिखिए कि आप अपने बच्चे को कैसा इंसान बनते देखना चाहती हैं और वे गुण आपके लिए क्यों मायने रखते हैं।
reflectAndRemember.photoPrompt	कोई ऐसी चीज़ क़ैद कीजिए जो आपके बच्चे के भविष्य के लिए आपकी उम्मीदों और सपनों को दर्शाती हो।
partnerCorner.whatSheMayFeel	इस बात से उत्साहित कि जल्द ही शिशु की पहली हलचल महसूस हो सकती है।
partnerCorner.whatYouCanDo	उसके उत्साह में शामिल हों और याद दिलाएँ कि हर गर्भावस्था अपनी रफ़्तार से चलती है।
partnerCorner.oneMission	उससे पूछिए कि वह आपके शिशु को कैसा सोचती है, और साथ मिलकर सपने बुनिए।
partnerCorner.shareMessage	बड़े पल क़रीब आ रहे हैं ❤
