babySnapshot.milestone	दिमाग़ की तेज़ बढ़त
babySnapshot.weekHeadline	आपके शिशु का दिमाग़ कमाल की रफ़्तार से बन रहा है और हर दिन ज़रूरी तंत्रिका-रास्ते मज़बूत हो रहे हैं।
babySnapshot.size.fruit	एक बड़ी पत्तागोभी
babySnapshot.size.length	लगभग 39.9 cm
babySnapshot.size.weight	लगभग 1520 g
babySnapshot.reveal	माँ, मेरा दिमाग़ तेज़ी से बढ़ रहा है और मुझे आपके गर्भ के बाहर की ज़िंदगी के लिए तैयार कर रहा है।
babyDevelopment.whatImDoing	मेरे दिमाग़ में नए मोड़ और जोड़ बन रहे हैं, मेरे फेफड़े परिपक्व होते जा रहे हैं, और मैं शरीर पर वह चर्बी बना रहा हूँ जो जन्म के बाद तापमान सँभालने में मदद करेगी।
babyDevelopment.funFact	कुछ हफ़्ते पहले के मुक़ाबले अब मेरा दिमाग़ एक नवजात के दिमाग़ जैसा कहीं ज़्यादा दिखता है।
momJourney.physicalChanges	बढ़ती बच्चेदानी आपके डायाफ़्राम पर ऊपर की ओर दबाव डाल सकती है, जिससे सामान्य कामों में भी साँस जल्दी फूल सकती है।
momJourney.emotionalState	बहुत सी माँएँ अब प्रसव, डिलीवरी और उसके बाद की रिकवरी के बारे में गंभीरता से सोचने लगती हैं।
momJourney.commonSymptoms[0]	साँस फूलना
momJourney.commonSymptoms[1]	सीने में जलन
momJourney.commonSymptoms[2]	कमर दर्द
momJourney.commonSymptoms[3]	सोने में दिक़्क़त
momJourney.selfCareTip	ज़रूरत हो तो रफ़्तार धीमी कीजिए, और बिना अपराधबोध के आराम करने की इजाज़त ख़ुद को दीजिए।
momJourney.reassurance	तीसरी तिमाही में शारीरिक रूप से धीमा महसूस होना अपेक्षित है और अक्सर इस बात की निशानी है कि आपका शरीर शिशु की बढ़त के साथ ढल रहा है।
nutrition.nutritionTheme	बढ़ते दिमाग़ का पोषण
nutrition.focusNutrients[0]	Omega-3
nutrition.focusNutrients[1]	प्रोटीन
nutrition.whyNow	आपके शिशु का दिमाग़ पूरी गर्भावस्था के सबसे अहम विकास दौरों में से एक से गुज़र रहा है।
nutrition.foods[0]	अख़रोट
nutrition.foods[1]	अलसी
nutrition.foods[2]	सोयाबीन
nutrition.foods[3]	पनीर
nutrition.foods[4]	दूध
nutrition.indianSuperfoodOfTheWeek.food	अलसी
nutrition.indianSuperfoodOfTheWeek.benefit	वनस्पति से मिलने वाली Omega-3 वसा देती है, जो दिमाग़ के स्वस्थ विकास में मदद करती है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	पिसी हुई अलसी आटे, दही या स्मूदी में मिलाइए।
nutrition.mealIdea	सब्ज़ी वाला पराठा, दही, और दही में मिलाया एक चम्मच पिसी अलसी।
nutrition.tip	दिमाग़ की बढ़त के लिए कभी-कभार का अच्छा खाना नहीं, बल्कि लगातार अच्छा पोषण चाहिए।
actionPlan.doThisWeek	प्रसव के चरणों के बारे में जानना शुरू कीजिए और जन्म से जुड़े सवाल अपने डॉक्टर से पूछिए।
actionPlan.skipThisWeek	यह मान लेना कि प्रसव की तैयारी आख़िरी कुछ हफ़्तों के लिए छोड़ी जा सकती है।
actionPlan.redFlags	अगर ब्लीडिंग, पानी जैसा स्राव, दर्द भरे संकुचन, तेज़ सिरदर्द, नज़र में बदलाव, अचानक सूजन या शिशु की हलचल कम हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	प्रसव हमेशा नाटकीय ढंग से पानी की थैली फटने से शुरू होता है।
actionPlan.mythBuster.truth	प्रसव कई अलग-अलग तरीक़ों से शुरू हो सकता है, धीरे-धीरे बढ़ते संकुचनों से भी।
garbhSanskar.affirmation	मैं चिंता के बजाय शांति चुनती हूँ।
garbhSanskar.reflectionPrompt	अनिश्चितता के पलों में आपको शांत रहने में क्या मदद करता है?
garbhSanskar.spokenLine	माँ, मेरा दिमाग़ तेज़ी से बढ़ रहा है।
reflectAndRemember.reflectionPrompt	अनिश्चितता के पलों में आपको शांत रहने में क्या मदद करता है?
reflectAndRemember.journalPrompt	वे लोग, आदतें और विचार लिखिए जो आपको सुरक्षित और सहारा मिला हुआ महसूस कराते हैं।
reflectAndRemember.photoPrompt	अपनी पसंदीदा आरामदेह जगह या वह कोना क़ैद कीजिए जहाँ आपको सबसे ज़्यादा सुकून मिलता है।
partnerCorner.whatSheMayFeel	प्रसव और डिलीवरी के बारे में गंभीरता से सोचने लगी है, और उत्साह व अनिश्चितता के बीच संतुलन बना रही है।
partnerCorner.whatYouCanDo	उसके साथ मिलकर प्रसव के बारे में सीखिए और एक जानकार सहारा बनिए।
partnerCorner.oneMission	साथ मिलकर प्रसव से जुड़ा एक वीडियो देखिए या एक लेख पढ़िए।
partnerCorner.shareMessage	हर हफ़्ता हमें अपने शिशु से मिलने के और क़रीब ले जा रहा है ❤
