0	तिमाही 1 · महीना 3
1	स्ट्रॉबेरी
2	3.1 से 3.2 cm
3	लगभग 4 g
4	मैं निगल रहा हूँ और लात मार रहा हूँ
5	मेरी उँगलियाँ अब अलग-अलग हो गई हैं
6	मेरे नाख़ून बनने लगे हैं
7	मेरा ढाँचा धीरे-धीरे हड्डी बनता जा रहा है
8	मेरे कानों की बाहरी बनावट उभर रही है
9	मेरी kidney अपने छन्ने बना रही हैं
10	मेरे अंग आपस में तालमेल बिठाने लगे हैं
11	मेरा दिमाग़ लाखों तंत्रिका कोशिकाएँ बना रहा है
12	Round ligament का खिंचाव
13	आपकी उभरी नसें
14	आपकी बदलती त्वचा
15	मतली
16	दिन भर थोड़ा-थोड़ा, बार-बार खाइए
17	सादा नाश्ता जैसे बिस्किट या टोस्ट पास रखिए
18	अदरक की चाय, नींबू पानी या शिकंजी पीजिए
19	जिन गंधों से मतली बढ़े, उनसे दूर रहिए
20	थकान
21	जब भी मौक़ा मिले आराम कीजिए, छोटी झपकी भी
22	रोज़ से थोड़ा पहले सो जाइए
23	पानी पीती रहिए और समय पर संतुलित खाना खाइए
24	हल्की हलचल, जैसे थोड़ी देर टहलना, मदद करती है
25	स्तनों में नरमी और दर्द
26	नरम, सही नाप की सहारा देने वाली ब्रा पहनिए
27	रात में बिना तार वाली या स्लीप ब्रा आज़माइए
28	तंग कपड़ों से बचिए जो वहाँ दबाव डालें
29	गुनगुनी या ठंडी सिंकाई से आराम मिलता है
30	सिर दर्द
31	पानी पीजिए और थोड़ा-थोड़ा, समय पर खाइए
32	ठंडे, शांत, अँधेरे कमरे में आराम कीजिए
33	सिर पर गुनगुनी या ठंडी सिंकाई आज़माइए
34	पूरी नींद लीजिए और जितना हो सके तनाव कम रखिए
35	स्राव का बढ़ना
36	ज़्यादा आराम लगे तो पैंटी लाइनर लगाइए
37	सूती, हवा आने-जाने वाला अंतर्वस्त्र पहनिए
38	उस जगह की सफ़ाई सिर्फ़ पानी से कीजिए
39	ख़ुशबूदार साबुन या douching से बचिए
40	पनीर
41	ऐसे खाइए: पालक पनीर या सिंके हुए पनीर के टुकड़े।
42	पनीर और दूध से बनी चीज़ें
43	दही और छाछ
44	साबुत अनाज और ओट्स
45	खट्टे फल और आँवला
46	केला और सादे फल
47	मेवे और बीज
48	पालक और हरी पत्तेदार सब्ज़ियाँ
49	कच्चा या अधपका माँस और अंडे
50	बिना pasteurise किया दूध
51	ज़्यादा Mercury वाली मछली
52	बहुत ज़्यादा caffeine
53	शराब
54	Folic acid हर एक दिन लीजिए।
55	डॉक्टर के पास पहली बार जितनी जल्दी हो सके जाइए।
56	मतली कम करने के लिए थोड़ा-थोड़ा, बार-बार खाइए।
57	शरीर जितना आराम माँगे, उतना दीजिए।
58	दिन भर ख़ूब पानी पीजिए।
59	खाना अच्छी तरह पकाइए और फल-सब्ज़ियाँ धोइए।
60	Caffeine कम कीजिए, और शराब व धूम्रपान बिलकुल नहीं।
61	डॉक्टर की मंज़ूरी से, हल्की हलचल जारी रखिए।
62	अपना मन किसी अपने के साथ बाँटिए।
63	NT scan
64	हफ़्ता 11 से 14
65	Double marker test
66	हफ़्ता 11 से 14 · आम तौर पर NT scan के साथ
67	बचे हुए लक्षणों को लेकर धीरज रखिए।
68	रसोई और घर के काम ज़्यादा अपने ज़िम्मे लीजिए।
69	खिंचाव उठे तो उन्हें धीरे-धीरे चलने में मदद कीजिए।
70	आरामदायक, सहारा देने वाले कपड़े पास रखिए।
71	आने वाले NT scan के बारे में साथ मिलकर पूछिए।
72	दूसरी तिमाही कितनी क़रीब है, यह साथ में मनाइए।
