babySnapshot.milestone	पूरा समय
babySnapshot.weekHeadline	बधाई हो। आपका शिशु अब पूरे समय का माना जाता है और किसी भी दिन आ सकता है।
babySnapshot.size.fruit	एक पेठा
babySnapshot.size.length	लगभग 48.6 cm
babySnapshot.size.weight	लगभग 2900 g
babySnapshot.reveal	माँ, अब मैं आधिकारिक रूप से पूरे समय का हो गया हूँ। जब सही वक़्त आएगा, मैं आपसे मिलने को तैयार हूँ।
babyDevelopment.whatImDoing	मेरे फेफड़े गर्भ के बाहर की ज़िंदगी के लिए तैयार हैं, मेरा दिमाग़ लगातार बन रहा है, और मैं जन्म के बाद काम आने वाली सजगताओं का अभ्यास कर रहा हूँ। अब मेरा ज़्यादातर विकास ताक़त बढ़ाने और ऊर्जा जमा करने पर है।
babyDevelopment.funFact	भले ही मुझे पूरे समय का माना जाता है, फिर भी मेरा दिमाग़ आख़िरी हफ़्तों में और जन्म के बाद भी तेज़ी से बनता रहेगा।
momJourney.physicalChanges	जैसे-जैसे शरीर प्रसव की तैयारी करता है, आपको पेल्विस पर ज़्यादा दबाव, बार-बार पेशाब और बीच-बीच में संकुचन महसूस हो सकते हैं।
momJourney.emotionalState	उत्साह, बेसब्री और इंतज़ार बहुत आम हैं। आप हर दिन सोच सकती हैं कि आज प्रसव शुरू होगा या नहीं।
momJourney.commonSymptoms[0]	पेल्विस पर दबाव
momJourney.commonSymptoms[1]	Braxton Hicks संकुचन
momJourney.commonSymptoms[2]	बार-बार पेशाब आना
momJourney.commonSymptoms[3]	सोने में दिक़्क़त
momJourney.selfCareTip	आराम, पानी और ऊर्जा बचाने पर ध्यान दीजिए। प्रसव किसी भी समय शुरू हो सकता है।
momJourney.reassurance	यह चाहना कि गर्भावस्था अब पूरी हो जाए, और साथ ही प्रसव से घबराना — दोनों बिलकुल सामान्य हैं।
nutrition.nutritionTheme	ऊर्जा बनाए रखना
nutrition.focusNutrients[0]	प्रोटीन
nutrition.focusNutrients[1]	जटिल कार्बोहाइड्रेट
nutrition.whyNow	प्रसव और जन्म की तैयारी के लिए आपके शरीर को लगातार ऊर्जा चाहिए।
nutrition.foods[0]	ओट्स
nutrition.foods[1]	पनीर
nutrition.foods[2]	मूंग दाल
nutrition.foods[3]	ब्राउन राइस
nutrition.foods[4]	केला
nutrition.indianSuperfoodOfTheWeek.food	केला
nutrition.indianSuperfoodOfTheWeek.benefit	तुरंत ऊर्जा, पोटैशियम और आसानी से पचने वाला पोषण देता है।
nutrition.indianSuperfoodOfTheWeek.howToConsume	नाश्ते में, स्मूदी में, या पीनट बटर के साथ।
nutrition.mealIdea	सब्ज़ी वाली दाल खिचड़ी के साथ दही और केला।
nutrition.tip	खाना छोड़िए मत। इन आख़िरी दिनों में आपके शरीर को लगातार ईंधन चाहिए।
actionPlan.doThisWeek	अपना फ़ोन चार्ज रखिए, अस्पताल बैग तैयार रखिए, और आने-जाने की व्यवस्था पक्की कर लीजिए।
actionPlan.skipThisWeek	हर छोटे लक्षण पर बहुत ज़्यादा सोचना, या अपने प्रसव की तुलना दूसरों से करना।
actionPlan.redFlags	अगर ब्लीडिंग, पानी जैसा स्राव, नियमित दर्द भरे संकुचन, शिशु की हलचल कम होना, तेज़ सिरदर्द या नज़र में बदलाव हो — तो तुरंत अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	डिलीवरी की तारीख़ ही वह दिन है जब शिशु आएगा।
actionPlan.mythBuster.truth	ज़्यादातर शिशु डिलीवरी की तारीख़ से कुछ दिन पहले या बाद के दायरे में आते हैं।
garbhSanskar.affirmation	मैं और मेरा शिशु इस ख़ूबसूरत बदलाव के लिए तैयार हैं।
garbhSanskar.reflectionPrompt	अपने शिशु से मिलते वक़्त आप सबसे ज़्यादा क्या देखने को उत्साहित हैं?
garbhSanskar.spokenLine	माँ, हम किसी भी दिन मिल सकते हैं।
reflectAndRemember.reflectionPrompt	अपने शिशु से मिलते वक़्त आप सबसे ज़्यादा क्या देखने को उत्साहित हैं?
reflectAndRemember.journalPrompt	अपने शिशु से मिलने के बाद सबसे पहले आप क्या करना चाहेंगी — यह लिखिए।
reflectAndRemember.photoPrompt	अपने बंप की आख़िरी तस्वीर लीजिए और इस ज़िंदगी में एक बार आने वाले पल को क़ैद कीजिए।
partnerCorner.whatSheMayFeel	उत्साहित, बेसब्र, भावुक, और लगातार यह सोचती हुई कि प्रसव कब शुरू होगा।
partnerCorner.whatYouCanDo	शांत रहिए, उपलब्ध रहिए और भरोसा दीजिए। एक सुकून भरा माहौल बनाइए।
partnerCorner.oneMission	अस्पताल की योजना आख़िरी बार दोहराइए और पक्का कीजिए कि सब कुछ तैयार है।
partnerCorner.shareMessage	पूरा समय ❤ हम किसी भी दिन अपने शिशु से मिल सकते हैं।
