0	गर्भावस्था की पुष्टि
2	यह सच में हो रहा है। एक नन्ही सी जान ने आपके साथ अपना सफ़र शुरू कर दिया है। 🌟
3	पहली धड़कन
5	आपके शिशु का दिल धड़कने लगा है — एक शांत, स्थिर धड़कन सिर्फ़ आपके लिए। ❤️
6	पहली तिमाही पूरी
8	आपने अपने सफ़र का एक-तिहाई हिस्सा पूरा कर लिया। सबसे नाज़ुक हफ़्ते अब पीछे हैं। 🎉
9	हफ़्ता 18–20
10	पहली हलचल महसूस
12	वे पहली हल्की हलचलें — जैसे नन्ही तितलियाँ — आपका शिशु नमस्ते कह रहा है। 🦋
13	आधा सफ़र
15	आधा सफ़र पूरा। देखिए आप और आपका शिशु साथ में कितनी दूर आ चुके हैं। 🎉
16	Viability का पड़ाव
18	एक ज़रूरी पड़ाव — आपका शिशु हर दिन और मज़बूत हो रहा है। 🎉
19	तीसरी तिमाही शुरू
21	आख़िरी अध्याय शुरू। जल्द ही आप अपने नन्हे को गोद में लेंगी। 🎉
22	पूरा समय
24	आपका शिशु अब पूरे समय का है — सही वक़्त आने पर दुनिया से मिलने के लिए तैयार। 🎉
25	डिलीवरी की तारीख़
27	चालीस हफ़्तों का प्यार, ताक़त और जादू। आपका नन्हा बस आने ही वाला है। 🎉
28	हफ़्ता 6–8
29	पहला अल्ट्रासाउंड
30	यह क्यों ज़रूरी है
31	पहला स्कैन गर्भावस्था की पुष्टि करता है और अक्सर शिशु की धड़कन और आप कितने हफ़्तों की हैं यह दिखाता है।
32	आम तौर पर कब
33	आम तौर पर हफ़्ता 6 से 8 के बीच।
34	तैयारी के सुझाव
35	जल्दी वाले स्कैन में भरा bladder मदद करता है — अपने क्लिनिक से पूछिए।
36	आरामदायक, ढीले कपड़े पहनिए।
37	क्या पूछें
38	मैं कितने हफ़्तों की हूँ, और मेरी डिलीवरी की तारीख़ क्या है?
39	क्या सब कुछ ठीक से विकसित हो रहा है?
40	हफ़्ता 11–13
41	NT Scan
42	यह क्यों ज़रूरी है
43	एक routine screening scan जो शुरुआती बढ़त जाँचता है। अक्सर blood test के साथ होता है।
44	आम तौर पर कब
45	आम तौर पर हफ़्ता 11 से 13 के बीच।
46	तैयारी के सुझाव
47	अपनी पुरानी रिपोर्ट साथ ले जाइए।
48	शांत रहिए — यह आराम से होने वाला routine check है।
49	क्या पूछें
50	क्या आप कोई और screening सुझाते हैं?
51	हफ़्ता 18–22
52	Anomaly Scan
53	यह क्यों ज़रूरी है
54	एक विस्तृत स्कैन जो देखता है कि आपके शिशु के अंग और शरीर कैसे विकसित हो रहे हैं।
55	आम तौर पर कब
56	आम तौर पर हफ़्ता 18 से 22 के बीच।
57	तैयारी के सुझाव
58	यह दूसरे स्कैन से ज़्यादा वक़्त ले सकता है — थोड़ा समय रखिए।
59	आपको शिशु की मुद्रा पता चल सकती है।
60	क्या पूछें
61	क्या शिशु इस चरण के हिसाब से ठीक बढ़ रहा है?
62	Placenta की स्थिति कहाँ है?
63	हफ़्ता 24–28
64	Glucose Screening
65	यह क्यों ज़रूरी है
66	एक आसान टेस्ट जो देखता है कि गर्भावस्था में आपका शरीर sugar को कैसे सँभाल रहा है।
67	आम तौर पर कब
68	आम तौर पर हफ़्ता 24 से 28 के बीच।
69	तैयारी के सुझाव
70	क्लिनिक आपसे ख़ाली पेट आने को कह सकती है — पहले पुष्टि कर लीजिए।
71	टेस्ट के बाद के लिए एक स्नैक साथ रखिए।
72	क्या पूछें
73	टेस्ट से पहले मुझे कुछ तैयारी करनी है?
74	Growth Scan (अगर सलाह हो)
75	यह क्यों ज़रूरी है
76	अगर सलाह हो, यह स्कैन डिलीवरी की तारीख़ पास आने पर शिशु का आकार, मुद्रा और बढ़त जाँचता है।
77	आम तौर पर कब
78	लगभग हफ़्ता 32, सिर्फ़ जब डॉक्टर सलाह दें।
79	क्या पूछें
80	क्या शिशु अच्छी मुद्रा में है?
81	क्या बढ़त ठीक चल रही है?
82	जन्म की योजना वाली मुलाक़ात
83	यह क्यों ज़रूरी है
84	अपनी जन्म से जुड़ी पसंद और आख़िरी हफ़्तों में क्या उम्मीद करें, इस पर बात करने का मौक़ा।
85	आम तौर पर कब
86	लगभग हफ़्ता 36।
87	क्या पूछें
88	मुझे अस्पताल कब जाना चाहिए?
89	दर्द कम करने के क्या विकल्प हैं?
90	मैं किसी भी वक़्त किसे कॉल कर सकती हूँ?
91	हफ़्ता 36–37
92	Group B Strep Test
93	यह क्यों ज़रूरी है
94	पूरे समय के पास एक आसान swab देखता है कि आप Group B Strep साथ रखती हैं या नहीं, ताकि ज़रूरत पर टीम जन्म के समय शिशु को सुरक्षित रख सके। इसे साथ रखना आम है और आपके लिए हानिरहित है।
95	आम तौर पर कब
96	आम तौर पर हफ़्ता 36 से 37 के बीच।
97	क्या पूछें
98	अगर मैं GBS साथ रखती हूँ, तो प्रसव में क्या होगा?
99	क्या यहाँ यह टेस्ट रूटीन में होता है?
100	Embryo से Fetus
101	क्या हो रहा है
102	आपका शिशु embryo से fetus बन गया है — नन्हे हाथ-पैर और नक़्श बन रहे हैं।
103	इसका मतलब
104	बुनियादी चीज़ें बन चुकी हैं; अब सिर्फ़ बढ़ना बाक़ी है।
105	मज़ेदार बात
106	आपका शिशु अभी लगभग एक रसभरी जितना बड़ा है।
107	शिशु आवाज़ सुनता है
108	क्या हो रहा है
109	नन्हे कान बन रहे हैं और आपका शिशु आवाज़ें सुनने लगता है।
110	इसका मतलब
111	यह बात करने, गाने और हल्का संगीत सुनाने का प्यारा समय है।
112	मज़ेदार बात
113	आपकी आवाज़ उन पहली आवाज़ों में है जो आपका शिशु पहचानना सीखता है।
114	आवाज़ पर हलचल करता है
115	क्या हो रहा है
116	आपका शिशु अब आवाज़ों और आपकी आवाज़ पर हिल सकता है।
117	इसका मतलब
118	आपके और आपके नन्हे के बीच एक सच्चा दो-तरफ़ा रिश्ता बन रहा है।
119	मज़ेदार बात
120	बच्चे अक्सर उस संगीत से शांत हो जाते हैं जो उन्होंने गर्भ में बार-बार सुना हो।
121	आँखें खुलती हैं
122	क्या हो रहा है
123	आपके शिशु की आँखें अब खुल-बंद हो सकती हैं और रोशनी महसूस कर सकती हैं।
124	इसका मतलब
125	इंद्रियाँ परिपक्व हो रही हैं, बाहर की दुनिया के लिए तैयार।
126	मज़ेदार बात
127	आपके पेट पर पड़ी हल्की रोशनी की तरफ़ शिशु मुड़ सकता है।
128	साँस लेने का अभ्यास
129	क्या हो रहा है
130	आपका शिशु साँस लेने की हरकतें अभ्यास करता है, फेफड़ों को तैयार करता है।
131	इसका मतलब
132	जन्म के बाद पहली साँस के लिए ज़रूरी तैयारी।
133	मज़ेदार बात
134	अभ्यास के लिए शिशु amniotic fluid को अंदर-बाहर "साँस" लेता है।
135	सिर नीचे आ सकता है
136	क्या हो रहा है
137	कई शिशु सिर-नीचे बैठने लगते हैं, जन्म के लिए मुद्रा में आते हैं।
138	इसका मतलब
