week4.garbhSanskar.spokenLine	माँ, अब मैं यहाँ हूँ।	Maa, I have arrived.	माँ, मैं आ गया हूँ।
week5.babyDevelopment.whatImDoing	मेरे कान अब मेरे सिर के दोनों तरफ़ अपनी आख़िरी जगह के क़रीब हैं। मेरी त्वचा अभी पतली और पारदर्शी है, इसलिए उसके नीचे मेरी रक्त-नलिकाएँ और हड्डियाँ आसानी से दिख जाती हैं। छोटे-छोटे बाल बढ़ते जा रहे हैं — मेरी भौंहें, पलकों के बाल और सिर के महीन बाल भी। अब मेरे पैर मेरे हाथों से लंबे हो गए हैं, और मेरे सारे अंग और जोड़ हिलने लगे हैं, उँगलियाँ और पैर की उँगलियाँ चलती रहती हैं, और शायद चुपचाप हिचकियाँ लेने का अभ्यास भी चल रहा है।	My ears are now close to their final position on the sides of my head. My skin is still thin and see-through, so my blood vessels and skeleton are easy to spot underneath. Tiny hairs keep growing, including my eyebrows, eyelashes and the fine hair on my head. My legs have grown longer than my arms now, and I'm moving all my limbs and joints, wiggling my fingers and toes, and maybe practising silent hiccups too.	मेरे कान अब मेरे सिर के दोनों तरफ़ अपनी आख़िरी जगह के क़रीब हैं। मेरी त्वचा अभी पतली और पारदर्शी है, इसलिए उसके नीचे मेरी रक्त-नलिकाएँ और हड्डियाँ आसानी से दिख जाती हैं। छोटे-छोटे बाल बढ़ते जा रहे हैं — मेरी भौंहें, पलकों के बाल और सिर के महीन बाल भी। अब मेरे पैर मेरे हाथों से लंबे हो गए हैं, और मैं अपने सारे अंग और जोड़ हिला रहा हूँ, उँगलियाँ और पैर की उँगलियाँ चला रहा हूँ, और शायद चुपचाप हिचकियाँ लेने का अभ्यास भी कर रहा हूँ।
week11.babySnapshot.reveal	माँ, मेरी अंगड़ाइयाँ और लातें चलती रहती हैं, और हर दिन मुझमें ताक़त आ रही है — भले ही आपको अभी मैं महसूस न होऊँ।	Maa, I'm stretching, kicking and growing stronger every day, even if you can't feel me yet.	माँ, मैं अंगड़ाई ले रहा हूँ, लात मार रहा हूँ और हर दिन मज़बूत हो रहा हूँ — भले ही आपको अभी मैं महसूस न होऊँ।
week11.babyDevelopment.whatImDoing	मेरी उँगलियाँ और पैर की उँगलियाँ पूरी तरह अलग हो चुकी हैं, मेरी हड्डियाँ मज़बूत होने लगी हैं, और अब अपनी नन्ही दुनिया में अंगड़ाई लेना, लात मारना और हिलना-डुलना — सब मुझसे हो जाता है। मेरे चेहरे के नैन-नक्श हर दिन और साफ़ होते जा रहे हैं।	My fingers and toes are fully separated, my bones are beginning to harden, and I can stretch, kick and move inside my tiny world. My facial features are becoming more recognizable every day.	मेरी उँगलियाँ और पैर की उँगलियाँ पूरी तरह अलग हो चुकी हैं, मेरी हड्डियाँ मज़बूत होने लगी हैं, और मैं अपनी नन्ही दुनिया में अंगड़ाई ले सकता हूँ, लात मार सकता हूँ और हिल-डुल सकता हूँ। मेरे चेहरे के नैन-नक्श हर दिन और साफ़ होते जा रहे हैं।
week12.babyDevelopment.whatImDoing	मेरे ज़्यादातर मुख्य अंग बन चुके हैं और काम करने लगे हैं। अब मुझसे हाथ-पैर हिलते हैं, नन्ही उँगलियाँ खुलती-बंद होती हैं, और मेरी सजगता हर दिन बढ़ रही है।	Most of my major organs have formed and are beginning to function. I can move my arms and legs, open and close my tiny fingers, and my reflexes are developing every day.	मेरे ज़्यादातर मुख्य अंग बन चुके हैं और काम करने लगे हैं। मैं अपने हाथ-पैर हिला सकता हूँ, अपनी नन्ही उँगलियाँ खोल-बंद कर सकता हूँ, और मेरी सजगता हर दिन बढ़ रही है।
week13.babyDevelopment.whatImDoing	मेरी आवाज़ की नलियाँ बन रही हैं, मेरी उँगलियों के निशान उभरने लगे हैं, और मेरी हड्डियाँ लगातार मज़बूत हो रही हैं। अपनी नन्ही दुनिया में अब मुझे घूमने की पूरी आज़ादी है।	My vocal cords are forming, my fingerprints are beginning to develop, and my bones continue getting stronger. I can move around freely inside my tiny world.	मेरी आवाज़ की नलियाँ बन रही हैं, मेरी उँगलियों के निशान उभरने लगे हैं, और मेरी हड्डियाँ लगातार मज़बूत हो रही हैं। मैं अपनी नन्ही दुनिया में आज़ादी से घूम सकता हूँ।
week14.babySnapshot.reveal	माँ, मेरे चेहरे पर नन्हे-नन्हे हाव-भाव आने लगे हैं, और हर दिन मेरी अपनी पहचान थोड़ी और उभरती जा रही है।	Maa, I'm starting to make tiny expressions and becoming more uniquely me every day.	माँ, मैं नन्हे-नन्हे हाव-भाव बनाने लगा हूँ और हर दिन थोड़ा और 'मैं' बनता जा रहा हूँ।
week14.babyDevelopment.whatImDoing	मेरे चेहरे की मांसपेशियाँ बन रही हैं, जिनसे नन्हे-नन्हे हाव-भाव बनने लगे हैं। मेरी गर्दन मज़बूत हो रही है, और पहली बार मेरा शरीर मेरे सिर से तेज़ी से बढ़ रहा है।	My facial muscles are developing, allowing me to make tiny expressions. My neck is becoming stronger, and my body is growing faster than my head for the first time.	मेरे चेहरे की मांसपेशियाँ बन रही हैं, जिनसे मैं नन्हे हाव-भाव बना पाता हूँ। मेरी गर्दन मज़बूत हो रही है, और पहली बार मेरा शरीर मेरे सिर से तेज़ी से बढ़ रहा है।
week14.garbhSanskar.spokenLine	माँ, मेरे चेहरे पर नन्हे-नन्हे हाव-भाव बन रहे हैं।	Maa, I am making tiny facial expressions.	माँ, मैं नन्हे-नन्हे हाव-भाव बना रहा हूँ।
week15.babySnapshot.reveal	माँ, मेरी अंगड़ाइयाँ और हलचल चलती रहती हैं, और हर बीतते दिन के साथ मुझमें ताक़त आ रही है।	Maa, I am stretching, moving and growing stronger with each passing day.	माँ, मैं अंगड़ाई ले रहा हूँ, हिल-डुल रहा हूँ और हर बीतते दिन के साथ मज़बूत हो रहा हूँ।
week15.babyDevelopment.whatImDoing	मेरी मांसपेशियाँ और हड्डियाँ मज़बूत हो रही हैं। अब मेरे हाथ, पैर और जोड़ ज़्यादा आसानी से हिलते हैं। मेरे कान बन रहे हैं, और आने वाले हफ़्तों में अपने आस-पास की दुनिया सुनने की तैयारी मेरे भीतर चल रही है।	My muscles and bones are becoming stronger. I can move my arms, legs and joints more smoothly now. My ears are developing, and I am preparing to hear the world around me in the weeks ahead.	मेरी मांसपेशियाँ और हड्डियाँ मज़बूत हो रही हैं। अब मैं अपने हाथ, पैर और जोड़ ज़्यादा आसानी से हिला पाता हूँ। मेरे कान बन रहे हैं, और मैं आने वाले हफ़्तों में अपने आस-पास की दुनिया सुनने की तैयारी कर रहा हूँ।
week16.babySnapshot.reveal	माँ, हर दिन मुझमें ताक़त आ रही है, और आपकी आवाज़ सुनने की तैयारी मेरे भीतर चल रही है।	Maa, I am growing stronger every day and getting ready to hear your voice.	माँ, मैं हर दिन मज़बूत हो रहा हूँ और आपकी आवाज़ सुनने की तैयारी कर रहा हूँ।
week17.babySnapshot.reveal	माँ, हर एक दिन मेरी अंगड़ाइयाँ और लातें चलती हैं, और मुझमें ताक़त आती जा रही है।	Maa, I am stretching, kicking and growing stronger every single day.	माँ, मैं हर एक दिन अंगड़ाई ले रहा हूँ, लात मार रहा हूँ और मज़बूत हो रहा हूँ।
