Anjali	अंजलि
Sneha	स्नेहा
Dr. Meera	Dr. Meera
IBCLC	IBCLC
Ritu	ऋतु
Pooja	पूजा
Neha	नेहा
Divya	दिव्या
Kavya	काव्या
ParentVeda	ParentVeda
Aishwarya	ऐश्वर्या
Shruti	श्रुति
Simran	सिमरन
Fatima	फ़ातिमा
Aisha	आयशा
Tanvi	तन्वी
Dr. Aarti Desai	Dr. Aarti Desai
Meghna	मेघना
Dr. Meera Nair	Dr. Meera Nair
Dr. Priya Sharma	Dr. Priya Sharma
Dr. Ananya Rao	Dr. Ananya Rao
OB-GYN	OB-GYN
Dr. Kavita Menon	Dr. Kavita Menon
Dr. Sneha Iyer	Dr. Sneha Iyer
DNB	DNB
Dr. Riya Kapoor	Dr. Riya Kapoor
Dr. Neha Bansal	Dr. Neha Bansal
Dr. Pooja Reddy	Dr. Pooja Reddy
Dr. Shalini Verma	Dr. Shalini Verma
Dr. Ritu Agarwal	Dr. Ritu Agarwal
Dr. Divya Pillai	Dr. Divya Pillai
Dr. Sana Khan	Dr. Sana Khan
Dr. Tara Joshi	Dr. Tara Joshi
PsyD	PsyD
Dr. Ishita Gupta	Dr. Ishita Gupta
DCH	DCH
Dr. Lakshmi Subramanian	Dr. Lakshmi Subramanian
Dr. Farah Ahmed	Dr. Farah Ahmed
Dr. Megha Saxena	Dr. Megha Saxena
Dr. Nandini Rao	Dr. Nandini Rao
Dr. Sweta Mishra	Dr. Sweta Mishra
Dr. Aisha Sheikh	Dr. Aisha Sheikh
Dr. Vidya Hegde	Dr. Vidya Hegde
Dr. Charita Reddy	Dr. Charita Reddy
Dr. Ramya Krishnan	Dr. Ramya Krishnan
Meera	मीरा
${_monthSlugs[month]}$year	${_monthSlugs[month]}$year
weight gain	weight gain
milk supply	milk supply
hospital bag	hospital bag
c-section	c-section
due date	due date
blood pressure	blood pressure
talk to baby	talk to baby
read to	read to
flu shot	flu shot
PCOS	PCOS
Endometriosis	Endometriosis
IVF	IVF
IUI	IUI
Dr. Anjali Menon	Dr. Anjali Menon
MD, Reproductive Medicine	MD, प्रजनन चिकित्सा
Dr. Sandeep Rao	Dr. Sandeep Rao
MS, Andrology	MS, पुरुष प्रजनन
Dr. Kavya Nair	Dr. Kavya Nair
MD, Obstetrics & Gynaecology	MD, प्रसूति एवं स्त्री रोग
Dr. Ishita Bose	Dr. Ishita Bose
Clinical Psychologist	नैदानिक मनोवैज्ञानिक
Dr. Rhea Kulkarni	Dr. Rhea Kulkarni
Fertility Nutritionist	Fertility आहार विशेषज्ञ
Dr. Tanvi Shah	Dr. Tanvi Shah
MD, Reproductive Endocrinology	MD, प्रजनन हॉर्मोन चिकित्सा
Trying	Trying
Rohit	रोहित
Karthik	कार्तिक
Priya	प्रिया
Paediatrician	बाल रोग विशेषज्ञ
Dr. Neha Sharma	Dr. Neha Sharma
MD, Paediatrics	MD, बाल रोग
Dr. Priya Menon	Dr. Priya Menon
Dr. Kavita Reddy	Dr. Kavita Reddy
Paed. Nutritionist	बाल आहार विशेषज्ञ
Child Psychologist	बाल मनोवैज्ञानिक
Paediatric Physio	बाल physio
Sleep Consultant	नींद सलाहकार
Dr. Pooja Verma	Dr. Pooja Verma
Paediatric Dentist	बाल दंत चिकित्सक
Developmental Paed	बाल विकास विशेषज्ञ
Parenting	Parenting
Ishita	इशिता
Aditi	अदिति
Rhea	रिया
Nidhi	निधि
Meghana	मेघाना
Farida	फ़रीदा
Tara	तारा
Pallavi	पल्लवी
Ritika	रितिका
Sana	सना
Deepa	दीपा
Sonia	सोनिया
Anita	अनीता
