babySnapshot.milestone	हर दिन और मज़बूत
babySnapshot.weekHeadline	आपके शिशु का वज़न तेज़ी से बढ़ रहा है, मांसपेशियाँ बन रही हैं, और वह गर्भ के बाहर की ज़िंदगी की तैयारी कर रहा है।
babySnapshot.size.fruit	एक सीताफल कद्दू
babySnapshot.size.length	लगभग 38.6 cm
babySnapshot.size.weight	लगभग 1370 g
babySnapshot.reveal	माँ, मैं हर दिन और मज़बूत, और गोल-मटोल और दुनिया के लिए और तैयार होता जा रहा हूँ।
babyDevelopment.whatImDoing	मैं अपनी त्वचा के नीचे चर्बी बना रहा हूँ, मांसपेशियाँ मज़बूत कर रहा हूँ, और मेरे फेफड़े और दिमाग़ लगातार परिपक्व हो रहे हैं। बढ़ने के साथ मेरी हरकतें और ताक़तवर होती जा रही हैं।
babyDevelopment.funFact	मेरे दिमाग़ में ऐसी लकीरें और मोड़ बन रहे हैं जो जन्म के बाद सीखने, याद रखने और सोचने में मदद करेंगे।
momJourney.physicalChanges	आपका शिशु ज़्यादा जगह ले रहा है, जिससे आपकी पसलियों, मूत्राशय और पाचन तंत्र पर दबाव बढ़ सकता है।
momJourney.emotionalState	आप ख़ुद को प्रसव, डिलीवरी और नवजात के साथ ज़िंदगी के बारे में ज़्यादा सोचते हुए पा सकती हैं।
momJourney.commonSymptoms[0]	बार-बार पेशाब आना
momJourney.commonSymptoms[1]	सीने में जलन
momJourney.commonSymptoms[2]	साँस फूलना
momJourney.commonSymptoms[3]	कमर में तकलीफ़
momJourney.selfCareTip	अगर सीने की जलन परेशान कर रही है, तो थोड़ा-थोड़ा करके बार-बार खाइए।
momJourney.reassurance	शारीरिक तकलीफ़ का मतलब यह नहीं कि कुछ ग़लत है। आपका शिशु बस अभी तेज़ी से बढ़ रहा है।
nutrition.nutritionTheme	सेहतमंद वज़न बढ़ने में मदद
nutrition.focusNutrients[0]	प्रोटीन
nutrition.focusNutrients[1]	अच्छी वसा
nutrition.whyNow	आपका शिशु तेज़ी से वज़न बढ़ने और शरीर पर चर्बी बनने के दौर में है।
nutrition.foods[0]	पनीर
nutrition.foods[1]	मूँगफली
nutrition.foods[2]	अख़रोट
nutrition.foods[3]	मूंग दाल
nutrition.foods[4]	दही
nutrition.indianSuperfoodOfTheWeek.food	मूँगफली
nutrition.indianSuperfoodOfTheWeek.benefit	प्रोटीन, अच्छी वसा और ऊर्जा देती है, जो विकास में मदद करती हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	भुनी मूँगफली नाश्ते में या चाट में मिलाकर।
nutrition.mealIdea	पनीर भुर्जी के साथ रोटी और एक छोटी कटोरी मूँगफली की चाट।
nutrition.tip	ज़्यादा प्रोसेस्ड खाने के बजाय पोषण से भरपूर स्नैक्स चुनिए।
actionPlan.doThisWeek	शिशु की ज़रूरी चीज़ों की एक सरल सूची बनाना शुरू कीजिए और अपने डॉक्टर से जन्म से जुड़ी पसंद पर बात कीजिए।
actionPlan.skipThisWeek	सोशल मीडिया पर दिखने वाला हर बेबी प्रोडक्ट ख़रीद लेना।
actionPlan.redFlags	अगर ब्लीडिंग, पानी जैसा स्राव, दर्द भरे संकुचन, तेज़ सिरदर्द, नज़र में बदलाव, अचानक सूजन या शिशु की हलचल कम हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	बड़ा बंप मतलब आसान डिलीवरी।
actionPlan.mythBuster.truth	बंप के आकार से न डिलीवरी के अनुभव का, न शिशु के आकार का भरोसेमंद अंदाज़ा लगता है।
garbhSanskar.affirmation	मुझे अपनी अंतर्दृष्टि और अपने सफ़र पर भरोसा है।
garbhSanskar.reflectionPrompt	बचपन की कौन सी सीख आप सबसे ज़्यादा आगे देना चाहेंगी?
garbhSanskar.spokenLine	माँ, मैं आपकी दुनिया को अपने तरीक़े से महसूस कर रहा हूँ।
reflectAndRemember.reflectionPrompt	बचपन की कौन सी सीख आप सबसे ज़्यादा आगे देना चाहेंगी?
reflectAndRemember.journalPrompt	अपने शिशु को कोई ऐसी सीख बताइए जिसने आपकी ज़िंदगी बनाई, और वह क्यों मायने रखती है।
reflectAndRemember.photoPrompt	अपने बचपन से जुड़ी किसी चीज़, जगह या याद की तस्वीर लीजिए।
partnerCorner.whatSheMayFeel	शिशु की तैयारियों पर ज़्यादा ध्यान लगाए हुए, और इस बात से सजग कि प्रसव क़रीब आ रहा है।
partnerCorner.whatYouCanDo	ज़रूरी और ग़ैर-ज़रूरी ख़रीद में फ़र्क़ करने में मदद कीजिए, ताकि फ़ैसलों का बोझ कम हो।
partnerCorner.oneMission	साथ मिलकर शिशु की ज़रूरी चीज़ों की एक व्यावहारिक सूची बनाइए।
partnerCorner.shareMessage	हम अपना घर किसी बहुत ख़ास के लिए तैयार कर रहे हैं ❤
